time/episodes,train/learning_rate,rollout/success rate,time/total timesteps,train/actor_loss,train/n_updates,train/critic_loss,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed
20,0.001,0.1,95810,193.18940216064453,95700,24.447120318412782,20,-10155.3597638,4790.5,4701
21,0.001,0.09523809523809523,100810,188.96853546142577,100700,35.147578587532045,20,-9798.688794809523,4800.476190476191,4946
22,0.001,0.09090909090909091,105810,193.01619079589844,105700,14.380607604980469,20,-9903.810411545453,4809.545454545455,5189
23,0.001,0.13043478260869565,106319,191.67418121337892,106200,25.774906821250916,20,-9482.524515913043,4622.565217391304,5222
24,0.001,0.125,111319,187.50580657958983,111200,19.12479543209076,20,-9220.112998875002,4638.291666666667,5468
25,0.001,0.12,116319,188.3915399169922,116200,42.46517869949341,20,-9388.428085040001,4652.76,5708
26,0.001,0.11538461538461539,121319,189.87594909667968,121200,33.70891056060791,20,-9311.678787384617,4666.115384615385,5951
27,0.001,0.1111111111111111,126319,187.2054522705078,126200,16.327443742752074,20,-9085.987546555556,4678.481481481482,6195
28,0.001,0.10714285714285714,131319,183.86426361083986,131200,28.5450843334198,20,-8992.999290107144,4689.964285714285,6437
29,0.001,0.10344827586206896,136319,184.22939056396484,136200,13.193678693771362,20,-9039.162891896553,4700.6551724137935,6681
30,0.001,0.1,141319,182.11441192626953,141200,14.26231292963028,20,-8859.044053533335,4710.633333333333,6923
31,0.001,0.0967741935483871,146319,179.83262237548828,146200,15.046122612953186,20,-8762.959781741936,4719.967741935484,7167
32,0.001,0.09375,151319,183.5619467163086,151200,15.744695601463318,20,-8882.53196015625,4728.71875,7406
33,0.001,0.09090909090909091,156319,179.61622650146484,156200,65.691169962883,20,-8733.008716121212,4736.939393939394,7650
34,0.001,0.08823529411764706,161319,180.7399465942383,161200,38.869739847183226,20,-8709.127884058822,4744.676470588235,7894
35,0.001,0.11428571428571428,165665,176.18184661865234,165500,11.503135075569153,20,-8588.483118457143,4733.285714285715,8117
36,0.001,0.1111111111111111,170665,175.53088348388673,170500,23.300233163833617,20,-8445.76230511111,4740.694444444444,8362
37,0.001,0.10810810810810811,175665,172.34991119384765,175500,19.855529906749727,20,-8462.07162462162,4747.7027027027025,8606
38,0.001,0.10526315789473684,180665,169.01679077148438,180500,39.17681831359863,20,-8350.353731789472,4754.3421052631575,8856
39,0.001,0.10256410256410256,185665,168.70968688964842,185500,12.30987829208374,20,-8287.162347102561,4760.641025641025,9101
40,0.001,0.1,190665,168.9962612915039,190500,22.399921593666075,20,-8195.373892325,4766.625,9346
41,0.001,0.0975609756097561,195665,166.69562286376953,195500,16.925550527572632,20,-8287.105705292683,4772.317073170731,9593
42,0.001,0.09523809523809523,200665,168.13716522216797,200500,13.581905903816223,20,-8210.881692666666,4777.738095238095,9835
43,0.001,0.09302325581395349,205665,166.09952667236328,205500,22.654680099487305,20,-8222.44999332558,4782.906976744186,10080
44,0.001,0.09090909090909091,210665,164.3624530029297,210500,8.176479661464692,20,-8245.42630140909,4787.840909090909,10326
45,0.001,0.08888888888888889,215665,163.62472045898437,215500,24.802621891498564,20,-8197.440597555555,4792.555555555556,10568
46,0.001,0.08695652173913043,220665,162.49924377441405,220500,11.790207326412201,20,-8096.347445173913,4797.065217391304,10815
47,0.001,0.0851063829787234,225665,164.36554901123046,225500,28.410509643554686,20,-8144.218263404256,4801.382978723404,11054
48,0.001,0.08333333333333333,230665,158.79880432128905,230500,27.864705429077148,20,-8059.331067229167,4805.520833333333,11295
49,0.001,0.08163265306122448,235665,158.0681396484375,235500,20.600306494235994,20,-7978.070662061225,4809.489795918367,11540
50,0.001,0.08,240665,158.20601348876954,240500,17.90276489019394,20,-7958.628783300001,4813.3,11783
51,0.001,0.0784313725490196,245665,155.54962036132812,245500,10.234125533103942,20,-7929.562021274511,4816.9607843137255,12033
52,0.001,0.09615384615384616,247197,158.54903411865234,247000,9.19221778869629,20,-7800.174174903847,4753.788461538462,12111
53,0.001,0.09433962264150944,252197,157.23553588867188,252000,34.2032581782341,20,-7827.462448622643,4758.433962264151,12354
54,0.001,0.09259259259259259,257197,158.02100646972656,257000,25.743564665317535,20,-7719.619028685186,4762.907407407408,12600
55,0.001,0.09090909090909091,262197,156.4832012939453,262000,25.597774724960328,20,-7784.683485000001,4767.218181818182,12843
56,0.001,0.08928571428571429,267197,154.23252838134766,267000,9.906010997295379,20,-7730.176895839286,4771.375,13087
57,0.001,0.08771929824561403,272197,156.7093975830078,272000,20.095921015739442,20,-7721.533961614035,4775.3859649122805,13330
58,0.001,0.10344827586206896,274159,154.05016174316407,274000,9.40303492307663,20,-7600.9493421034485,4726.879310344828,13421
59,0.001,0.1016949152542373,279159,155.36706604003905,279000,20.679873700141908,20,-7640.764233050847,4731.5084745762715,13667
60,0.001,0.1,284159,157.2254379272461,284000,25.342745208740233,20,-7722.228654233333,4735.983333333334,13912
61,0.001,0.09836065573770492,289159,150.94880279541016,289000,10.496463680267334,20,-7624.988832639344,4740.311475409836,14158
62,0.001,0.0967741935483871,294159,153.82767517089843,294000,7.364761555194855,20,-7649.799820838709,4744.5,14403
63,0.001,0.09523809523809523,299159,154.88941467285156,299000,16.813817870616912,20,-7665.681300746031,4748.555555555556,14648
64,0.001,0.09375,304159,153.25964721679688,304000,6.018096191883087,20,-7673.595424125,4752.484375,14895
65,0.001,0.09230769230769231,309159,153.76238220214844,309000,44.073250050544736,20,-7658.624721876923,4756.292307692308,15138
66,0.001,0.09090909090909091,314159,152.55978546142578,314000,21.794257278442384,20,-7592.961235772727,4759.984848484848,15381
67,0.001,0.08955223880597014,319159,151.14645324707033,319000,12.14241359949112,20,-7604.152568522388,4763.567164179104,15624
68,0.001,0.10294117647058823,320899,154.41915161132812,320700,10.624882850646973,20,-7506.0746105,4719.10294117647,15704
69,0.001,0.10144927536231885,325899,151.39845977783204,325700,24.701536026000976,20,-7526.709362985507,4723.173913043478,15946
70,0.001,0.1,330899,151.62263916015624,330700,18.492716155052186,20,-7449.865683957143,4727.128571428571,16189
71,0.001,0.09859154929577464,335899,151.30241622924805,335700,17.94883461713791,20,-7421.751291929577,4730.971830985915,16433
72,0.001,0.09722222222222222,340899,148.5527392578125,340700,13.846382868289947,20,-7363.860928680555,4734.708333333333,16677
73,0.001,0.0958904109589041,345899,148.6933822631836,345700,13.175878970623016,20,-7332.006763534246,4738.342465753424,16921
74,0.001,0.0945945945945946,350899,149.64521759033204,350700,11.442873475551606,20,-7308.789965148647,4741.878378378378,17165
75,0.001,0.10666666666666667,354631,148.09122344970703,354500,12.189159269332885,20,-7293.627358386666,4728.413333333333,17345
76,0.001,0.10526315789473684,359631,146.88061096191407,359500,14.685275764465333,20,-7267.791468539473,4731.986842105263,17588
77,0.001,0.1038961038961039,364631,149.89216033935546,364500,27.535858952999114,20,-7345.51283212987,4735.467532467533,17835
78,0.001,0.11538461538461539,366841,148.9438134765625,366700,20.441249270439148,20,-7265.176261397435,4703.089743589743,17947
79,0.001,0.11392405063291139,371841,149.74668090820313,371700,15.433547697067262,20,-7249.009204240506,4706.848101265823,18188
80,0.001,0.1125,376841,149.34048126220702,376700,25.97732871055603,20,-7209.164522612499,4710.5125,18429
81,0.001,0.1111111111111111,381841,148.73381881713868,381700,26.043104269504546,20,-7212.146042160493,4714.086419753086,18669
82,0.001,0.10975609756097561,386841,146.6269500732422,386700,8.498495576381684,20,-7190.197700012194,4717.573170731707,18912
83,0.001,0.10843373493975904,391841,147.78690673828126,391700,14.662000961303711,20,-7184.679634084336,4720.975903614458,19153
