time/time_elapsed,train/actor_loss,time/fps,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean,time/total timesteps,rollout/success rate,train/n_updates,time/episodes,train/critic_loss
7676,239.44768615722657,20,0.001,1967.506329113924,-5086.233679025317,155433,0.8734177215189873,155300,79,315.50343368530275
7704,237.02217590332032,20,0.001,1950.7875,-5044.97566845,156063,0.875,155900,80,229.00573280334473
7727,237.93838623046875,20,0.001,1932.6543209876543,-5004.745118567901,156545,0.8765432098765432,156400,81,264.98104888916015
7747,231.78445556640625,20,0.001,1912.9024390243903,-4954.975142939024,156858,0.8780487804878049,156700,82,491.7004428100586
7784,237.55516815185547,20,0.001,1899.433734939759,-4932.070138614457,157653,0.8795180722891566,157500,83,262.8407144165039
7837,239.2550436401367,20,0.001,1889.7619047619048,-4890.058837488095,158740,0.8809523809523809,158600,84,511.9281172943115
7886,231.69315338134766,20,0.001,1878.4588235294118,-4851.542367800001,159669,0.8823529411764706,159500,85,360.19958267211916
7914,237.1270980834961,20,0.001,1863.2441860465117,-4817.259839569768,160239,0.8837209302325582,160100,86,255.91772537231446
7945,236.05146331787108,20,0.001,1848.8850574712644,-4795.165686954024,160853,0.8850574712643678,160700,87,379.6895841217041
7988,237.44530883789062,20,0.001,1837.0454545454545,-4768.488776624999,161660,0.8863636363636364,161500,88,230.5833448791504
8067,234.26523773193358,20,0.001,1834.6966292134832,-4757.675896584269,163288,0.8876404494382022,163100,89,331.1475222015381
8131,236.43938598632812,20,0.001,1828.1222222222223,-4737.647720922221,164531,0.8888888888888888,164400,90,244.70029022216798
8177,231.7679364013672,20,0.001,1817.4615384615386,-4712.387463483516,165389,0.8901098901098901,165200,91,323.59402183532717
8272,234.12529541015624,20,0.001,1820.0869565217392,-4690.1345691413035,167448,0.8913043478260869,167300,92,282.7359226989746
8276,229.4301416015625,20,0.001,1801.1075268817203,-4640.181398688171,167503,0.8924731182795699,167400,93,426.6908871459961
8324,231.82746185302733,20,0.001,1792.2978723404256,-4616.522294351063,168476,0.8936170212765957,168300,94,346.6173091125488
8388,226.68599517822267,20,0.001,1787.3052631578948,-4585.48940576842,169794,0.8947368421052632,169600,95,202.25188301086425
8427,227.95982482910156,20,0.001,1776.3333333333333,-4554.4941648854165,170528,0.8958333333333334,170400,96,258.0987986755371
8450,226.2387322998047,20,0.001,1763.5154639175257,-4536.867232247422,171061,0.8969072164948454,170900,97,325.6411446380615
8479,230.39868865966798,20,0.001,1750.142857142857,-4526.186615204082,171514,0.8979591836734694,171400,98,368.518692779541
