train/n_updates,rollout/success rate,train/learning_rate,time/episodes,train/actor_loss,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total timesteps,train/critic_loss,time/fps
418680,0.0,0.001,4188,109.74798202514648,-99.39860788,4930,100.0,418800,185.24873156547545,84
419080,0.0,0.001,4192,109.68167190551758,-99.04018135,5029,100.0,419200,180.68953185081483,83
419480,0.0,0.001,4196,110.67100067138672,-99.46219107,5148,100.0,419600,196.52133197784423,81
419880,0.0,0.001,4200,110.69549713134765,-99.51176017,5258,100.0,420000,133.14771490097047,79
420280,0.0,0.001,4204,109.53074722290039,-98.48456616000001,5376,100.0,420400,231.9160277366638,78
420680,0.0,0.001,4208,108.16027145385742,-98.04255635999999,5452,100.0,420800,376.2025846481323,77
421080,0.0,0.001,4212,109.94109954833985,-98.15880263000003,5564,100.0,421200,218.33974928855895,75
421480,0.0,0.001,4216,109.38405303955078,-99.41341235,5692,100.0,421600,198.53196387290956,74
421880,0.0,0.001,4220,109.73506774902344,-97.53720102,5805,100.0,422000,217.3967945575714,72
422280,0.0,0.001,4224,108.47958145141601,-97.19703804000001,5905,100.0,422400,295.25793466567995,71
422680,0.0,0.001,4228,107.88319931030273,-97.39510593000001,6019,100.0,422800,383.79284553527833,70
423080,0.0,0.001,4232,109.13887481689453,-96.010612,6128,100.0,423200,303.2328905582428,69
423480,0.0,0.001,4236,109.81915969848633,-93.73763100000002,6236,100.0,423600,190.2830280780792,67
423880,0.0,0.001,4240,109.37221603393554,-91.86047758999997,6369,100.0,424000,220.74974231719972,66
424280,0.0,0.001,4244,109.16904830932617,-90.71134057,6472,100.0,424400,296.1040937423706,65
424680,0.0,0.001,4248,108.75734252929688,-91.39758679,6564,100.0,424800,178.61044702529907,64
425080,0.0,0.001,4252,108.12882385253906,-94.62324339000003,6647,100.0,425200,263.90728282928467,63
425480,0.0,0.001,4256,108.65335845947266,-95.64445399999998,6740,100.0,425600,283.2455457210541,63
425880,0.0,0.001,4260,107.68529739379883,-96.84694843000003,6859,100.0,426000,236.84372143745424,62
426280,0.0,0.001,4264,107.73648223876953,-97.53582864,6954,100.0,426400,260.9576457500458,61
426680,0.0,0.001,4268,108.09421997070312,-99.62430975000001,7051,100.0,426800,179.02907910346985,60
427080,0.0,0.001,4272,108.18960037231446,-101.78586182999997,7156,100.0,427200,122.63696312904358,59
427480,0.0,0.001,4276,107.7846061706543,-100.96592550000001,7284,100.0,427600,321.65861015319825,58
427880,0.0,0.001,4280,107.65196228027344,-102.38292097,7374,100.0,428000,209.54837555885314,58
428280,0.0,0.001,4284,107.53183822631836,-103.13772737000001,7469,100.0,428400,231.77160291671754,57
428680,0.0,0.001,4288,107.80193405151367,-103.78955908999998,7585,100.0,428800,117.35989260673523,56
429080,0.0,0.001,4292,107.10899276733399,-105.90109250000002,7682,100.0,429200,208.43856391906738,55
429480,0.0,0.001,4296,107.10908279418945,-107.41819124,7796,100.0,429600,187.15103874206542,55
429880,0.0,0.001,4300,106.88050231933593,-108.6070356,7923,100.0,430000,243.68719396591186,54
430280,0.0,0.001,4304,107.06631774902344,-107.42858997000002,8066,100.0,430400,217.1849473953247,53
430680,0.0,0.001,4308,106.00058288574219,-106.76660720000001,8178,100.0,430800,250.01608390808104,52
431080,0.0,0.001,4312,106.27231292724609,-107.18787861000001,8273,100.0,431200,250.01564359664917,52
431480,0.0,0.001,4316,106.70057907104493,-108.42098985000001,8360,100.0,431600,195.49562215805054,51
431880,0.0,0.001,4320,106.55583114624024,-109.59110992,8465,100.0,432000,181.43571553230285,51
432280,0.0,0.001,4324,105.8260871887207,-109.12487035,8564,100.0,432400,225.10110626220703,50
432680,0.0,0.001,4328,106.7214340209961,-109.72675261999998,8666,100.0,432800,143.98578085899354,49
433080,0.0,0.001,4332,105.44835891723633,-111.47070490999997,8743,100.0,433200,260.2261147022247,49
433480,0.0,0.001,4336,105.95536804199219,-112.12412629000002,8852,100.0,433600,209.75538997650148,48
433880,0.0,0.001,4340,105.66117477416992,-112.91703750000002,8947,100.0,434000,226.76848721504211,48
434280,0.0,0.001,4344,105.8029396057129,-113.22479719999997,9055,100.0,434400,170.1393831253052,47
434680,0.0,0.001,4348,104.94026565551758,-112.11161343000002,9171,100.0,434800,265.8192296028137,47
435080,0.0,0.001,4352,105.51695938110352,-110.83710900999999,9260,100.0,435200,249.9367039680481,46
435480,0.0,0.001,4356,105.37592544555665,-108.03875864,9375,100.0,435600,227.90809321403503,46
435880,0.0,0.001,4360,104.84001007080079,-106.36405195000002,9481,100.0,436000,225.1329752922058,45
436280,0.0,0.001,4364,104.951416015625,-105.802089,9574,100.0,436400,239.1943497657776,45
436680,0.0,0.001,4368,105.53055419921876,-105.67256531000001,9660,100.0,436800,156.55277562141418,45
437080,0.0,0.001,4372,103.72768936157226,-105.49508784,9757,100.0,437200,332.37438278198243,44
437480,0.0,0.001,4376,104.50213775634765,-108.03628331,9825,100.0,437600,330.69003105163574,44
437880,0.0,0.001,4380,104.3997184753418,-106.34376199999998,9924,100.0,438000,241.91254410743713,44
438280,0.0,0.001,4384,103.70634384155274,-105.22915590000001,10004,100.0,438400,244.1053584098816,43
438680,0.0,0.001,4388,104.86629333496094,-105.31666279000001,10103,100.0,438800,186.919127368927,43
439080,0.0,0.001,4392,103.84035186767578,-103.95392197999999,10216,100.0,439200,227.1298010826111,42
439480,0.0,0.001,4396,104.1137092590332,-102.94005508000001,10309,100.0,439600,182.95601253509523,42
439880,0.0,0.001,4400,103.94875640869141,-101.92328304999997,10420,100.0,440000,202.06399369239807,42
440280,0.0,0.001,4404,103.8165382385254,-103.92090235000002,10512,100.0,440400,167.20622258186341,41
440680,0.0,0.001,4408,103.48558883666992,-104.33431412999998,10614,100.0,440800,194.62767362594604,41
441080,0.0,0.001,4412,103.4028076171875,-104.14076182999999,10725,100.0,441200,234.75083031654358,41
441480,0.0,0.001,4416,103.71169967651367,-103.42432118,10813,100.0,441600,172.91049499511718,40
441880,0.0,0.001,4420,104.0534568786621,-103.04532026999999,10901,100.0,442000,132.507905626297,40
442280,0.0,0.001,4424,103.37801513671874,-102.39497816,11003,100.0,442400,184.5260546207428,40
442680,0.0,0.001,4428,103.4413963317871,-99.28197616,11132,100.0,442800,161.3729256629944,39
443080,0.0,0.001,4432,102.78162155151367,-97.77821375999999,11209,100.0,443200,201.1925730228424,39
443480,0.0,0.001,4436,103.18219985961915,-98.19875530999998,11308,100.0,443600,256.8628221035004,39
443880,0.0,0.001,4440,102.85559997558593,-98.95764733,11427,100.0,444000,172.1388686180115,38
444280,0.0,0.001,4444,102.80181198120117,-100.23029344999999,11520,100.0,444400,204.24144263267516,38
444680,0.0,0.001,4448,102.18820037841797,-102.98146875,11615,100.0,444800,215.0465159893036,38
445080,0.0,0.001,4452,102.31451110839843,-103.50820221000002,11725,100.0,445200,202.1494568824768,37
445480,0.0,0.001,4456,101.80005950927735,-107.05000258,11807,100.0,445600,227.18605909347534,37
445880,0.0,0.001,4460,101.71169738769531,-109.08552230000004,11949,100.0,446000,219.72578191757202,37
446280,0.0,0.001,4464,101.46801376342773,-108.75714215000002,12066,100.0,446400,203.21693000793456,36
446680,0.0,0.001,4468,102.01620025634766,-108.36787631000001,12184,100.0,446800,182.44723768234252,36
447080,0.0,0.001,4472,101.50433044433593,-107.00538505,12315,100.0,447200,168.1692325592041,36
447480,0.0,0.001,4476,100.97167205810547,-105.54199708999998,12403,100.0,447600,286.33357162475585,36
447880,0.0,0.001,4480,100.64365463256836,-105.55384683999999,12529,100.0,448000,193.23904128074645,35
448280,0.0,0.001,4484,101.46852035522461,-105.13061563000001,12633,100.0,448400,144.13735666275025,35
448680,0.0,0.001,4488,100.38509521484374,-104.45792856,12739,100.0,448800,223.53490982055663,35
449080,0.0,0.001,4492,100.51724700927734,-104.34280287000001,12904,100.0,449200,195.3894920349121,34
449480,0.0,0.001,4496,100.59770278930664,-106.3202713,13003,100.0,449600,156.97446336746216,34
449880,0.0,0.001,4500,100.4344268798828,-106.81898692000003,13090,100.0,450000,214.11538791656494,34
450280,0.0,0.001,4504,100.11436233520507,-107.4059448,13181,100.0,450400,169.93395166397096,34
450680,0.0,0.001,4508,99.5460823059082,-106.46874457999996,13284,100.0,450800,247.91534533500672,33
451080,0.0,0.001,4512,99.72294387817382,-105.33930729999999,13397,100.0,451200,212.787286901474,33
451480,0.0,0.001,4516,99.28514251708984,-104.06380961,13524,100.0,451600,298.8079649925232,33
451880,0.0,0.001,4520,99.63611907958985,-104.51156822000002,13611,100.0,452000,224.34011080265046,33
452280,0.0,0.001,4524,99.45113754272461,-104.43886741,13704,100.0,452400,209.79398946762086,33
452680,0.0,0.001,4528,98.90136108398437,-107.74356948,13799,100.0,452800,231.695210647583,32
453080,0.0,0.001,4532,98.90121383666992,-107.41823846999999,13897,100.0,453200,231.4024025440216,32
453480,0.0,0.001,4536,99.52131881713868,-109.05761695999999,13983,100.0,453600,174.2250081539154,32
453880,0.0,0.001,4540,99.19639892578125,-107.89231633,14092,100.0,454000,225.48737835884094,32
454280,0.0,0.001,4544,99.25236206054687,-106.69291862000001,14188,100.0,454400,172.78195896148682,32
454680,0.0,0.001,4548,98.8666488647461,-104.57679032000001,14299,100.0,454800,215.18726172447205,31
455080,0.0,0.001,4552,98.13375473022461,-104.33607701999999,14388,100.0,455200,269.7289465427399,31
