train/ent_coef,rollout/ep_rew_mean,rollout/success rate,train/std,time/fps,time/episodes,train/ent_coef_loss,time/total timesteps,rollout/ep_len_mean,train/n_updates,train/learning_rate,train/critic_loss,train/actor_loss,time/time_elapsed
0.07277678698301315,-65.75362375,0.02,0.05003262683749199,1072,2044,-2.5086512565612793,200400,98.36,10014,0.0003,23.198652267456055,73.1562271118164,186
0.07249440997838974,-65.89454011000001,0.03,0.05003216862678528,570,2048,-1.4634335041046143,200781,98.17,10034,0.0003,126.85951232910156,73.39641571044922,352
0.07222191989421844,-65.09618991,0.03,0.050032466650009155,376,2052,-4.051732063293457,201181,98.17,10054,0.0003,91.70651245117188,74.08960723876953,533
0.07193231582641602,-64.5965792,0.03,0.050030093640089035,278,2056,-4.974783897399902,201581,98.17,10074,0.0003,73.49952697753906,73.50162506103516,722
0.07167032361030579,-64.0871641,0.03,0.050029005855321884,217,2060,-6.82893180847168,201981,98.17,10094,0.0003,146.02011108398438,73.56181335449219,930
0.07140681892633438,-63.27415719,0.03,0.05002811551094055,179,2064,-10.522232055664062,202381,98.17,10114,0.0003,2.753572940826416,74.30221557617188,1129
0.07111559808254242,-64.24255173999998,0.03,0.05002643167972565,157,2068,-3.569706678390503,202781,98.17,10134,0.0003,109.69685363769531,73.39219665527344,1285
0.07086486369371414,-65.57410629,0.03,0.05002512037754059,137,2072,-5.98677396774292,203181,98.17,10154,0.0003,20.11796760559082,73.15657806396484,1477
0.07063273340463638,-66.81960237,0.03,0.05002434551715851,123,2076,-7.7201642990112305,203581,98.17,10174,0.0003,109.14996337890625,73.47935485839844,1652
0.07040402293205261,-67.29772363,0.02,0.0500263087451458,109,2080,-8.006254196166992,203981,98.85,10194,0.0003,44.79632568359375,73.55274200439453,1865
0.07021470367908478,-65.51435055,0.03,0.05002790689468384,101,2084,-4.714261054992676,204288,97.92,10209,0.0003,2.870759963989258,73.56513214111328,2021
0.0700090304017067,-65.34498456,0.04,0.05002904683351517,92,2088,-5.34591007232666,204649,97.53,10227,0.0003,87.68690490722656,73.126953125,2219
0.0697573721408844,-65.8717597,0.03,0.05002659559249878,84,2092,-7.194406509399414,205049,98.49,10247,0.0003,25.211318969726562,73.57621765136719,2436
0.06950666010379791,-66.69502059,0.03,0.05002422258257866,77,2096,-0.7628306150436401,205449,98.49,10267,0.0003,43.47380828857422,72.27351379394531,2638
0.06924804300069809,-66.55510021,0.03,0.05002225935459137,71,2100,-4.045058250427246,205849,98.49,10287,0.0003,40.778079986572266,73.45865631103516,2889
0.0690203607082367,-68.62379006,0.04,0.050021033734083176,66,2104,-15.613815307617188,206232,98.32,10306,0.0003,42.43669891357422,72.72111511230469,3116
0.06874467432498932,-68.20017105000001,0.04,0.05001811310648918,61,2108,-1.3582179546356201,206632,98.32,10326,0.0003,65.86851501464844,73.20217895507812,3342
0.06850598752498627,-67.60167394,0.04,0.05001990124583244,58,2112,-10.34001636505127,207032,98.32,10346,0.0003,18.611438751220703,73.30204772949219,3552
0.06820075958967209,-67.30884141,0.04,0.05001368373632431,55,2116,-6.7043304443359375,207432,98.32,10366,0.0003,65.88069152832031,72.8048095703125,3762
0.06794942915439606,-68.37981566,0.04,0.05001350864768028,52,2120,-1.0393445491790771,207832,98.32,10386,0.0003,58.932456970214844,73.23951721191406,3972
0.06768620014190674,-68.65524405000001,0.04,0.05001452565193176,49,2124,-3.5643961429595947,208232,98.32,10406,0.0003,114.69790649414062,72.56256103515625,4204
0.06745132058858871,-68.24266356999999,0.05,0.0500122606754303,47,2128,-6.966813087463379,208566,97.66,10423,0.0003,3.2109928131103516,73.62459564208984,4409
0.06721556186676025,-68.10330563000001,0.05,0.05001380294561386,45,2132,-9.946633338928223,208966,97.66,10443,0.0003,62.431884765625,73.56156921386719,4604
0.06696563959121704,-68.39632321,0.06,0.05001085251569748,43,2136,-7.688022613525391,209356,97.56,10462,0.0003,84.8609848022461,73.25341796875,4827
0.06670788675546646,-67.79729463000001,0.06,0.05000780150294304,41,2140,-4.849405288696289,209756,97.56,10482,0.0003,85.42842102050781,72.93849182128906,5058
0.06648065894842148,-67.68585370000001,0.06,0.05000707507133484,39,2144,-4.74115514755249,210156,97.56,10502,0.0003,48.347389221191406,73.01677703857422,5258
0.0662006065249443,-67.52244798000001,0.05,0.0500023290514946,38,2148,-3.0577049255371094,210556,97.75,10522,0.0003,108.39262390136719,72.70832061767578,5470
0.06598324328660965,-68.58727324,0.06,0.050001196563243866,37,2152,-2.0732173919677734,210954,97.73,10542,0.0003,4.449896812438965,72.22796630859375,5674
0.06576352566480637,-68.92115271,0.06,0.0499989315867424,35,2156,-0.8560565114021301,211354,97.73,10562,0.0003,42.654624938964844,72.34065246582031,5882
0.06553501635789871,-68.84236786000001,0.06,0.049998462200164795,34,2160,-5.65601921081543,211754,97.73,10582,0.0003,76.91073608398438,71.98654174804688,6103
0.06529628485441208,-69.01465663,0.06,0.049997568130493164,33,2164,-8.491158485412598,212154,97.73,10602,0.0003,22.969324111938477,72.18047332763672,6286
0.06505031883716583,-68.79687062999999,0.06,0.049994371831417084,32,2168,-0.7694470882415771,212554,97.73,10622,0.0003,128.61996459960938,72.13028717041016,6483
0.06476311385631561,-66.76256574000001,0.06,0.04998918995261192,31,2172,-10.45762825012207,212954,97.73,10642,0.0003,43.89554977416992,71.7890625,6680
0.06451814621686935,-64.67180495000001,0.06,0.04998759180307388,31,2176,-4.604173183441162,213354,97.73,10662,0.0003,33.11331558227539,72.61650848388672,6874
