time/time_elapsed,train/actor_loss,train/learning_rate,time/fps,rollout/success rate,train/n_updates,train/critic_loss,time/total timesteps,train/ent_coef_loss,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,train/ent_coef,train/std
249,40.89421848297119,0.0003,60,0.0,14800,0.020065777990967034,15000,0.5142371551692486,-14098.443626,15000.0,1,0.02125251408666372,0.04973842203617096
491,71.28777168273926,0.0003,61,0.0,29800,0.2478981695510447,30000,-2.3834336027503014,-15724.507797,15000.0,2,0.04364189606159925,0.05069351568818092
734,95.34930809020996,0.0003,61,0.0,44800,0.15308849718421697,45000,0.34138581924140454,-18937.202126333334,15000.0,3,0.12006563864648342,0.04939114674925804
977,130.7626040649414,0.0003,61,0.0,59800,0.5992550060153008,60000,-0.8729043559730053,-22530.46291925,15000.0,4,0.08373022191226483,0.04936297982931137
1220,122.93949241638184,0.0003,61,0.0,74800,0.6325881349295378,75000,-0.017334722094237805,-19574.461603800002,15000.0,5,0.14003163427114487,0.04976079240441322
1463,115.00844879150391,0.0003,61,0.0,89800,0.4314836847037077,90000,0.09195249836891889,-17779.043335666665,15000.0,6,0.10040360331535339,0.04971981421113014
1705,134.76304191589355,0.0003,61,0.0,104800,0.6729981867969036,105000,-0.2675760634243488,-20372.714015,15000.0,7,0.07456659242510795,0.049778856337070465
1764,132.51867378234863,0.0003,61,0.125,108400,0.19872576151043175,108597,-0.04502755410969257,-17925.5467115,13574.625,8,0.07401111759245396,0.049813318997621536
2007,149.61531494140624,0.0003,61,0.1111111111111111,123400,0.9855334248393774,123597,-0.06253507733345032,-20295.57149611111,13733.0,9,0.07551621347665786,0.049935366958379745
2250,138.5937010192871,0.0003,61,0.1,138400,0.5854095337539911,138597,-0.28642391139641404,-18675.7864283,13859.7,10,0.0951573358476162,0.050242528319358826
2492,131.0739907836914,0.0003,61,0.09090909090909091,153400,0.8842399768531323,153597,-0.09952631540596485,-18455.007300727273,13963.363636363636,11,0.09654308877885341,0.050413019955158234
2735,122.18363098144532,0.0003,61,0.08333333333333333,168400,0.421545927003026,168597,-0.1182965701073408,-17628.840907916667,14049.75,12,0.07656327247619629,0.0502782016992569
2981,117.63001487731934,0.0003,61,0.07692307692307693,183400,2.3879218800365924,183597,0.035567815527319906,-16947.98600746154,14122.846153846154,13,0.07100403428077698,0.05080747604370117
3224,113.6519701385498,0.0003,61,0.07142857142857142,198400,5.173183863535524,198597,-0.24362036291509867,-16761.99596357143,14185.5,14,0.07056273356080055,0.05182065814733505
3467,114.7059294128418,0.0003,61,0.06666666666666667,213400,0.4409144002571702,213597,0.09892922509461641,-16335.107652733333,14239.8,15,0.07126434467732906,0.05267607420682907
3710,121.4523078918457,0.0003,61,0.0625,228400,2.0300344686210154,228597,0.275237942263484,-17332.206533750003,14287.3125,16,0.05377318233251572,0.052863508462905884
3953,120.5079795074463,0.0003,61,0.058823529411764705,243400,0.3099217885732651,243597,0.2272747341915965,-17616.16949817647,14329.235294117647,17,0.05178041841834784,0.05320313200354576
4196,118.67990943908691,0.0003,61,0.05555555555555555,258400,0.17281169455498457,258597,-0.009331693425774574,-17308.2959785,14366.5,18,0.04751840576529503,0.05334853008389473
