rollout/ep_rew_mean,rollout/success rate,time/fps,train/learning_rate,train/actor_loss,time/total timesteps,time/episodes,train/n_updates,time/time_elapsed,train/critic_loss,rollout/ep_len_mean
-104.80331413999997,0.0,24,0.001,121.6000259399414,354400,3544,354280,14333,264.41932382583616,100.0
-103.01910335000001,0.0,24,0.001,122.52499618530274,354800,3548,354680,14451,205.20890350341796,100.0
-101.39360206,0.0,24,0.001,121.35635147094726,355200,3552,355080,14571,279.9402780532837,100.0
-100.46115212999999,0.0,24,0.001,121.94623641967773,355600,3556,355480,14667,231.89082159996033,100.0
-101.91087687,0.0,24,0.001,122.39895858764649,356000,3560,355880,14767,280.199706363678,100.0
-100.38833688999999,0.0,23,0.001,121.62984085083008,356400,3564,356280,14876,341.0002269744873,100.0
-99.78219051,0.0,23,0.001,121.89978332519532,356800,3568,356680,14983,276.4880027294159,100.0
-99.21018982999998,0.0,23,0.001,121.81164093017578,357200,3572,357080,15091,327.3558035850525,100.0
-98.40861845999999,0.0,23,0.001,120.67778549194335,357600,3576,357480,15204,396.1767608642578,100.0
-95.80387194,0.0,23,0.001,120.31755218505859,358000,3580,357880,15318,371.82233066558837,100.0
-96.08539467,0.0,23,0.001,121.39966125488282,358400,3584,358280,15429,268.33059220314027,100.0
-96.14173534000001,0.0,23,0.001,120.56889266967774,358800,3588,358680,15541,190.17951827049257,100.0
-95.86242452999997,0.0,22,0.001,121.72225570678711,359200,3592,359080,15654,250.52450127601622,100.0
-94.72040830000002,0.0,22,0.001,121.49089279174805,359600,3596,359480,15774,190.84318437576295,100.0
-94.37693558,0.0,22,0.001,120.7318359375,360000,3600,359880,15881,264.16961297988894,100.0
-93.96114615999998,0.0,22,0.001,120.99855117797851,360400,3604,360280,15978,273.7069645881653,100.0
-93.29147165,0.0,22,0.001,120.50335540771485,360800,3608,360680,16088,305.06648721694944,100.0
-90.76876195999999,0.0,22,0.001,120.28285446166993,361200,3612,361080,16175,381.98042392730713,100.0
-90.33522906999998,0.0,22,0.001,120.84748992919921,361600,3616,361480,16266,306.92466802597045,100.0
-91.44406400999998,0.0,22,0.001,120.94945068359375,362000,3620,361880,16360,242.9359628677368,100.0
-91.57712535999997,0.0,22,0.001,120.00394821166992,362400,3624,362280,16459,337.7680190086365,100.0
-90.58947437,0.0,21,0.001,121.59920120239258,362800,3628,362680,16553,254.87258472442628,100.0
-91.58151919999999,0.0,21,0.001,120.12068634033203,363200,3632,363080,16656,334.63211994171144,100.0
-91.43135147000001,0.0,21,0.001,120.00822525024414,363600,3636,363480,16756,367.8221965789795,100.0
-91.21486533,0.0,21,0.001,119.84584732055664,364000,3640,363880,16858,247.8356897354126,100.0
-90.83604245000001,0.0,21,0.001,119.59842834472656,364400,3644,364280,16959,313.29025382995604,100.0
-90.49401976000001,0.0,21,0.001,119.86954345703126,364800,3648,364680,17068,273.5530407905579,100.0
-89.43707842999999,0.0,21,0.001,118.35619277954102,365200,3652,365080,17186,390.44287424087526,100.0
-90.66453086999998,0.0,21,0.001,120.67931518554687,365600,3656,365480,17281,243.68869891166688,100.0
-89.51648474,0.0,21,0.001,119.96263809204102,366000,3660,365880,17392,223.17443399429322,100.0
-90.76501624999999,0.0,20,0.001,119.71251602172852,366400,3664,366280,17476,369.28449296951294,100.0
-91.43428181999998,0.0,20,0.001,119.95537109375,366800,3668,366680,17576,306.2838931083679,100.0
-92.58016787000001,0.0,20,0.001,120.61841659545898,367200,3672,367080,17674,295.87706608772277,100.0
-92.85973248999998,0.0,20,0.001,120.67440567016601,367600,3676,367480,17788,281.87835364341737,100.0
-92.74279867999999,0.0,20,0.001,119.6129020690918,368000,3680,367880,17895,350.4182646751404,100.0
-92.53103437999998,0.0,20,0.001,120.3388442993164,368400,3684,368280,17995,256.7132884025574,100.0
-94.24179628000002,0.0,20,0.001,120.50475158691407,368800,3688,368680,18087,260.68853960037234,100.0
-95.01327066,0.0,20,0.001,119.39986572265624,369200,3692,369080,18216,294.10235352516173,100.0
-95.738982,0.0,20,0.001,119.282666015625,369600,3696,369480,18319,284.391198348999,100.0
-95.81945524999998,0.0,20,0.001,119.52811126708984,370000,3700,369880,18424,293.5943745613098,100.0
-96.39782153,0.0,19,0.001,120.02404022216797,370400,3704,370280,18557,304.88628816604614,100.0
-97.12324272000002,0.0,19,0.001,118.9413444519043,370800,3708,370680,18647,296.39444761276246,100.0
-98.57700989000001,0.0,19,0.001,118.6382568359375,371200,3712,371080,18757,258.0880840301514,100.0
-97.53022973000002,0.0,19,0.001,120.29159164428711,371600,3716,371480,18869,280.07860832214357,100.0
-97.61234961000002,0.0,19,0.001,119.97855682373047,372000,3720,371880,18985,177.09104294776915,100.0
-97.22629542,0.0,19,0.001,119.69150390625,372400,3724,372280,19094,180.6027593612671,100.0
-97.6615328,0.0,19,0.001,118.9840087890625,372800,3728,372680,19196,228.11728944778443,100.0
-98.14582989,0.0,19,0.001,118.7260627746582,373200,3732,373080,19297,360.71163873672486,100.0
-98.91009637,0.0,19,0.001,118.71015625,373600,3736,373480,19403,313.4004961490631,100.0
-98.66677594,0.0,19,0.001,119.11919708251953,374000,3740,373880,19512,345.6442070007324,100.0
-97.29397376000001,0.0,19,0.001,118.93211135864257,374400,3744,374280,19615,333.6493286132812,100.0
-97.50121831,0.0,18,0.001,119.23384246826171,374800,3748,374680,19733,333.27627482414243,100.0
