train/n_updates,rollout/ep_len_mean,train/actor_loss,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total timesteps,time/episodes,train/learning_rate,rollout/success rate,train/critic_loss
,51.77,,203,2494,-58.26728149,508436,8792,,0.56,
508420,51.77,326.98712463378905,201,2523,-62.99756872000001,508536,8793,0.001,0.56,4197.454891967774
508520,51.77,320.4325897216797,199,2553,-62.846122140000006,508636,8794,0.001,0.56,3465.3996643066407
,50.79,,199,2554,-59.59277497000001,508638,8795,,0.57,
508560,50.94,320.3057800292969,198,2563,-59.29492647,508666,8796,0.001,0.57,5115.090539550782
,50.79,,197,2571,-58.94256592,508674,8797,,0.57,
508660,51.62,317.3062805175781,195,2598,-63.846345770000006,508774,8798,0.001,0.56,4683.392376708985
508760,51.62,315.40044860839845,194,2617,-65.52234369000001,508874,8799,0.001,0.56,4382.235722351074
508780,51.72,314.03696594238284,193,2624,-65.71734555000002,508890,8800,0.001,0.56,5389.014782714844
508820,52.06,316.1573974609375,193,2635,-66.62323919,508926,8801,0.001,0.56,3639.7661361694336
,51.93,,192,2637,-66.44190988999999,508933,8802,,0.56,
508920,52.89,321.58367309570315,191,2661,-66.98899422,509033,8803,0.001,0.55,4886.0845001220705
509020,52.89,320.04490661621094,190,2676,-65.93312125,509133,8804,0.001,0.55,4256.63583984375
509080,53.45,315.66481323242186,188,2697,-66.70464231000001,509194,8805,0.001,0.55,4310.649334716797
509180,53.45,319.04286804199216,187,2712,-71.29192474,509294,8806,0.001,0.55,3026.8919525146484
509280,54.39,322.2256195068359,186,2728,-75.87405824000001,509394,8807,0.001,0.54,3967.7452850341797
509300,53.6,320.0899261474609,186,2738,-75.22210171,509415,8808,0.001,0.55,4573.018640136719
509340,53.83,319.7230285644531,185,2749,-75.83781284000001,509451,8809,0.001,0.55,4656.637551879883
,53.35,,184,2757,-75.50725047,509458,8810,,0.55,
509360,53.41,319.5972961425781,183,2773,-76.04797921000001,509471,8811,0.001,0.55,3963.878713989258
509460,54.33,313.25975036621094,182,2792,-77.86846956,509571,8812,0.001,0.54,4817.537072753907
509560,54.33,322.0623077392578,181,2813,-79.93861151,509671,8813,0.001,0.54,3626.083380126953
509580,53.51,322.83165283203124,180,2823,-74.51427095999999,509689,8814,0.001,0.55,4380.292510986328
,52.56,,180,2830,-73.88351349999999,509694,8815,,0.56,
509680,52.56,318.7502471923828,178,2863,-74.80547969,509794,8816,0.001,0.56,4813.6953125
509780,52.56,314.1633544921875,176,2888,-75.61874592999999,509894,8817,0.001,0.56,5822.164465332031
509880,53.53,315.0280395507813,174,2918,-81.203139,509994,8818,0.001,0.55,4917.046890258789
509900,52.62,321.27875366210935,174,2922,-80.08887791,510003,8819,0.001,0.56,4077.350506591797
510000,53.31,320.0048461914063,173,2946,-80.42482998999999,510103,8820,0.001,0.55,6991.743109130859
,52.42,,172,2954,-75.39075258,510114,8821,,0.56,
510080,52.87,319.4992950439453,171,2976,-75.72498824,510182,8822,0.001,0.56,5738.6718078613285
510180,52.98,314.40906982421876,170,2993,-78.52317976999998,510282,8823,0.001,0.55,4733.853253173828
,53.04,,170,2997,-78.55594699,510291,8824,,0.55,
,52.1,,169,3005,-77.83058169,510297,8825,,0.56,
510200,52.12,320.6211700439453,168,3019,-77.83611857,510304,8826,0.001,0.56,4586.271658325195
510300,53.04,323.3632415771484,167,3043,-79.37850984,510404,8827,0.001,0.55,4076.315625
,52.08,,167,3050,-78.62212012,510408,8828,,0.56,
510400,52.08,320.2238311767578,165,3076,-78.69048858000001,510508,8829,0.001,0.56,3893.405433654785
510500,53.03,315.2075714111328,164,3099,-84.24313072999999,510608,8830,0.001,0.55,4645.1419876098635
,52.99,,164,3102,-84.29851349,510616,8831,,0.55,
510520,52.04,315.3099884033203,164,3104,-83.38942356,510621,8832,0.001,0.56,4762.594735717774
,52.12,,164,3110,-83.72127491,510635,8833,,0.56,
510620,52.12,320.8901123046875,162,3136,-85.36285734,510735,8834,0.001,0.56,4326.555584716797
510720,53.0,322.8482360839844,161,3155,-90.52788315,510835,8835,0.001,0.55,4671.73677368164
510820,53.0,323.1419372558594,160,3173,-94.84323520000002,510935,8836,0.001,0.55,4340.762710571289
510920,53.95,319.96201477050784,160,3193,-99.86600204,511035,8837,0.001,0.54,4019.106585693359
,53.68,,159,3199,-99.56838041,511038,8838,,0.54,
511020,54.58,318.6662261962891,159,3214,-104.53598515,511138,8839,0.001,0.53,3990.2282318115235
511120,54.58,325.37762451171875,158,3234,-104.78079765999999,511238,8840,0.001,0.53,4626.724615478515
511160,53.93,317.8380950927734,157,3251,-104.98317743999998,511273,8841,0.001,0.54,4288.133602905274
511260,53.93,318.10988159179686,156,3275,-109.91197823999997,511373,8842,0.001,0.54,4154.4823745727535
511280,53.02,321.0202239990234,156,3277,-109.36832207999998,511382,8843,0.001,0.55,3614.3823303222657
,53.03,,155,3280,-109.50931312999997,511387,8844,,0.55,
511380,53.03,317.9267822265625,154,3301,-109.59629043,511487,8845,0.001,0.55,4244.569953918457
511480,53.9,320.2554656982422,153,3331,-110.80050206999998,511587,8846,0.001,0.54,5610.400485229492
511540,54.49,317.64838256835935,152,3350,-110.87555365999998,511657,8847,0.001,0.54,5372.444583129883
511560,54.57,325.76312255859375,152,3359,-110.88793624999998,511674,8848,0.001,0.54,3658.0245147705077
511660,54.57,325.85517578125,150,3391,-108.0806095,511774,8849,0.001,0.54,5127.904425048828
,54.56,,150,3398,-107.98174411999999,511779,8850,,0.54,
511680,54.55,322.1354156494141,150,3401,-107.96793833,511789,8851,0.001,0.54,5035.787313842773
,53.6,,150,3404,-107.17165046,511794,8852,,0.55,
,53.58,,150,3406,-107.21962533,511799,8853,,0.55,
511700,52.62,318.6102996826172,149,3413,-106.5216354,511803,8854,0.001,0.56,3930.464547729492
511800,52.62,324.37803649902344,149,3435,-107.51149582,511903,8855,0.001,0.56,4528.98755493164
511900,53.54,320.44789733886716,148,3453,-111.13432354000001,512003,8856,0.001,0.55,4645.0490051269535
512000,54.36,317.5841430664062,147,3480,-111.58926433000002,512103,8857,0.001,0.54,5264.912228393555
512020,53.63,326.93775329589846,146,3489,-110.6506079,512130,8858,0.001,0.55,3567.4992767333983
512120,54.58,323.8964385986328,145,3510,-115.40445411999997,512230,8859,0.001,0.54,4015.4113677978517
,54.49,,145,3512,-115.29102333999998,512236,8860,,0.54,
512140,53.6,319.0570343017578,145,3516,-114.17308891999997,512247,8861,0.001,0.55,5364.494226074219
512240,53.6,318.3099060058594,144,3540,-114.09479652999998,512347,8862,0.001,0.55,5144.156158447266
,52.68,,144,3543,-111.55892496999999,512355,8863,,0.56,
512340,53.48,317.21323852539064,143,3576,-112.29757864999998,512455,8864,0.001,0.55,5100.396699523926
512440,53.48,318.40807189941404,142,3606,-112.03688224,512555,8865,0.001,0.55,5291.359732055664
512460,52.59,320.78196716308594,141,3610,-111.59803655999998,512566,8866,0.001,0.56,3896.9679626464845
512560,53.47,319.9283081054688,141,3628,-116.55233945999998,512666,8867,0.001,0.55,4400.669427490235
,53.44,,141,3629,-116.53448274999997,512670,8868,,0.55,
512660,54.39,318.7815826416016,140,3650,-121.94058306999999,512770,8869,0.001,0.54,4990.902847290039
512760,55.35,320.17621154785155,139,3678,-122.55744224,512870,8870,0.001,0.53,5767.453338623047
,54.42,,139,3682,-120.74705938000001,512877,8871,,0.54,
512860,55.35,324.8645263671875,138,3713,-121.96032102999999,512977,8872,0.001,0.53,4930.185211181641
512960,55.35,318.40321044921876,136,3746,-119.27373268,513077,8873,0.001,0.53,5235.458023071289
513060,55.35,319.81834106445314,136,3770,-120.45104805999999,513177,8874,0.001,0.53,5780.982763671875
513160,56.3,318.00705871582034,135,3796,-125.42347332,513277,8875,0.001,0.52,3123.167889404297
513180,55.39,318.9319732666016,135,3801,-124.92509708,513286,8876,0.001,0.53,4368.683142089843
513280,56.16,313.58135986328125,134,3825,-129.01183206000002,513386,8877,0.001,0.52,4194.833465576172
513300,56.06,319.8895233154297,133,3834,-128.82690213,513411,8878,0.001,0.52,3699.1923950195314
,56.04,,133,3837,-129.02484729000003,513415,8879,,0.52,
513320,55.95,315.0461029052734,133,3841,-128.87170672,513425,8880,0.001,0.52,6039.657122802734
513340,55.97,318.6403350830078,133,3850,-128.59767306,513452,8881,0.001,0.52,4757.089205932617
