train/actor_loss,time/episodes,train/critic_loss,rollout/ep_len_mean,time/total timesteps,train/learning_rate,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/success rate,train/n_updates
366.8496063232422,7596,5904.866439819336,24.69,404117,0.001,1444,-30.53132038,279,0.86,404000
367.7140319824219,7600,5928.174401855469,23.71,404163,0.001,1462,-30.09052475,276,0.87,404060
365.57513427734375,7604,5940.172741699219,23.97,404323,0.001,1512,-35.135567509999994,267,0.87,404220
366.5005340576172,7608,5992.657727050781,23.89,404348,0.001,1524,-35.1824082,265,0.87,404240
369.98435363769534,7612,5702.227139282227,24.75,404560,0.001,1600,-35.856042959999996,252,0.87,404440
367.939453125,7616,4616.911151123047,24.72,404597,0.001,1628,-35.61567657999999,248,0.87,404480
376.6162567138672,7620,4729.610336303711,23.87,404645,0.001,1647,-34.891412800000005,245,0.88,404540
372.248486328125,7624,5009.471994018555,22.8,404680,0.001,1665,-33.87517612999999,242,0.89,404560
368.40393981933596,7628,6201.927401733398,22.46,404724,0.001,1679,-32.9940868,240,0.89,404620
369.2719787597656,7632,5587.540811157227,22.47,404762,0.001,1698,-32.9232055,238,0.89,404660
371.4132965087891,7636,6001.660784912109,22.02,404891,0.001,1745,-29.843599759999993,232,0.89,404780
370.06231079101565,7640,5826.380706787109,22.13,405017,0.001,1808,-26.63054357,223,0.89,404900
364.2969451904297,7644,6374.484344482422,22.21,405067,0.001,1832,-26.997339750000002,221,0.89,404960
369.9063018798828,7648,5721.675207519531,21.11,405116,0.001,1868,-24.11667292,216,0.9,405000
370.5350799560547,7652,5297.959558105469,21.03,405143,0.001,1883,-24.46614232,215,0.9,405040
375.6823272705078,7656,4564.56279296875,22.02,405359,0.001,1944,-30.05755492,208,0.89,405240
365.9031097412109,7660,6238.623944091797,21.9,405384,0.001,1953,-30.068152550000004,207,0.89,405280
372.985009765625,7664,5466.683557128907,22.0,405415,0.001,1972,-30.071983820000003,205,0.89,405300
367.585888671875,7668,6681.67505493164,21.23,405463,0.001,1998,-28.688164020000002,202,0.9,405360
369.2183349609375,7672,6390.77893371582,20.48,405491,0.001,2017,-26.823293510000003,201,0.9,405380
373.9130096435547,7676,3846.767694091797,20.81,405645,0.001,2071,-28.39831695,195,0.9,405540
370.3178009033203,7680,4374.153460693359,20.02,405685,0.001,2091,-26.09407611,193,0.91,405580
373.5593231201172,7684,4671.390379333496,18.52,405729,0.001,2114,-22.88064749,191,0.92,405620
372.15733337402344,7688,5189.517785644532,17.96,405821,0.001,2143,-20.07495758,189,0.93,405720
373.9218505859375,7692,5117.332727050782,17.79,405852,0.001,2154,-19.695004880000003,188,0.93,405740
370.4236358642578,7696,5270.1781555175785,18.27,405944,0.001,2188,-19.590638680000005,185,0.93,405840
369.50025634765626,7700,4634.767962646484,18.83,406046,0.001,2210,-20.182314620000003,183,0.93,405940
368.61903076171876,7704,6596.786767578125,17.84,406107,0.001,2243,-14.337952360000001,181,0.94,406000
368.98838806152344,7708,5030.677618408203,17.92,406140,0.001,2267,-14.18702386,179,0.94,406020
373.54315795898435,7712,6069.838302612305,17.17,406277,0.001,2307,-13.05110077,176,0.94,406160
369.5910583496094,7716,7402.291421508789,18.01,406398,0.001,2339,-16.871582030000003,173,0.93,406280
369.26353454589844,7720,6033.157055664063,18.74,406519,0.001,2368,-16.43852779,171,0.92,406400
372.4853515625,7724,4311.8029113769535,18.89,406569,0.001,2398,-16.569855049999997,169,0.92,406460
372.4228790283203,7728,6345.240155029297,18.77,406601,0.001,2412,-16.779921380000005,168,0.92,406500
372.7006500244141,7732,6337.474584960937,18.94,406656,0.001,2445,-16.85177861,166,0.92,406540
366.928125,7736,6308.360974121094,18.57,406748,0.001,2475,-18.40716424,164,0.93,406640
