time/time_elapsed,train/critic_loss,train/std,train/actor_loss,rollout/ep_rew_mean,train/ent_coef_loss,rollout/success rate,time/episodes,time/fps,train/learning_rate,time/total timesteps,train/ent_coef,rollout/ep_len_mean,train/n_updates
2359,20.981143951416016,0.050196483731269836,70.16902160644531,-364.9996374499999,-13.438064575195312,0.02,1108,46,0.0003,108977,0.20083507895469666,99.77,5443
2472,52.965660095214844,0.050198450684547424,70.36997985839844,-365.51679591,-8.694303512573242,0.02,1112,44,0.0003,109377,0.19986499845981598,99.77,5463
2637,2.8254170417785645,0.05019894242286682,70.28353881835938,-366.31149668000006,-9.700393676757812,0.02,1116,41,0.0003,109777,0.19894170761108398,99.77,5483
2793,40.26579666137695,0.05019938945770264,70.4935302734375,-363.66144365,-11.140220642089844,0.02,1120,39,0.0003,110177,0.1980125904083252,99.77,5503
2953,80.63915252685547,0.05019471049308777,70.71843719482422,-362.43892608000004,-7.974636077880859,0.02,1124,37,0.0003,110577,0.19702865183353424,99.77,5523
3136,25.55561637878418,0.0501900240778923,70.28839874267578,-358.85290762,-8.807077407836914,0.02,1128,35,0.0003,110977,0.19606667757034302,99.77,5543
3283,41.191837310791016,0.05018460750579834,70.08419799804688,-352.7684048700001,-9.05419921875,0.02,1132,33,0.0003,111377,0.19513289630413055,99.77,5563
3473,17.93906021118164,0.05018087849020958,70.84176635742188,-351.4301646299999,-8.056946754455566,0.01,1136,32,0.0003,111777,0.19420938193798065,99.96,5583
3651,45.408599853515625,0.05018286034464836,70.67338562011719,-344.6378490199999,-8.697576522827148,0.01,1140,30,0.0003,112177,0.19333846867084503,99.96,5603
3847,61.14019775390625,0.05018569156527519,70.52474212646484,-341.04967657000003,-9.326635360717773,0.01,1144,29,0.0003,112577,0.1924886256456375,99.96,5623
4031,22.644519805908203,0.050192367285490036,71.07376098632812,-344.18572407999994,-8.498156547546387,0.01,1148,28,0.0003,112977,0.19163160026073456,99.96,5643
4176,19.834259033203125,0.0501905232667923,70.81523132324219,-345.5512739100001,-9.80677604675293,0.01,1152,27,0.0003,113377,0.19074489176273346,99.96,5663
4331,3.35621976852417,0.05018765851855278,71.60521697998047,-342.90745069999997,-9.245819091796875,0.02,1156,26,0.0003,113748,0.1898808628320694,99.67,5682
4501,23.876968383789062,0.050185926258563995,70.75332641601562,-345.61226181000006,-10.1060791015625,0.02,1160,25,0.0003,114148,0.18899132311344147,99.67,5702
4686,22.047019958496094,0.050186868757009506,71.58706665039062,-350.72519661,-7.627067565917969,0.02,1164,24,0.0003,114548,0.18815308809280396,99.67,5722
4852,23.509822845458984,0.05018554627895355,71.5191650390625,-348.09926329999996,-10.292016983032227,0.02,1168,23,0.0003,114948,0.18731749057769775,99.67,5742
4999,115.6450424194336,0.05018239468336105,71.59098052978516,-349.5534897199999,-6.216516494750977,0.02,1172,23,0.0003,115348,0.1864910125732422,99.67,5762
5148,76.18766784667969,0.05018244683742523,71.36087036132812,-351.52879566,-8.62544059753418,0.01,1176,22,0.0003,115748,0.18566039204597473,99.71,5782
5303,19.70944595336914,0.05018400400876999,72.37472534179688,-347.73254199999997,-9.547102928161621,0.01,1180,21,0.0003,116148,0.18483243882656097,99.71,5802
5454,99.75202178955078,0.05018359050154686,71.3393783569336,-345.17047965999996,-15.148601531982422,0.01,1184,21,0.0003,116548,0.18400169909000397,99.71,5822
5600,41.267189025878906,0.05018585920333862,71.39964294433594,-346.98490986999997,-9.726043701171875,0.02,1188,20,0.0003,116922,0.1831948161125183,99.45,5841
5786,62.654998779296875,0.05018576234579086,71.56068420410156,-343.03887589,-7.322044849395752,0.02,1192,20,0.0003,117322,0.18236485123634338,99.45,5861
5946,41.34019470214844,0.0501827597618103,71.01936340332031,-344.07334714000007,-10.600325584411621,0.02,1196,19,0.0003,117722,0.18152357637882233,99.45,5881
6120,89.85601806640625,0.05017977952957153,71.001953125,-340.0652848099999,-7.175971031188965,0.04,1200,19,0.0003,118084,0.18074899911880493,99.07,5899
6296,82.12362670898438,0.0501759797334671,71.4545669555664,-344.24491652999995,-8.5556640625,0.04,1204,18,0.0003,118484,0.17989279329776764,99.07,5919
6464,23.05698013305664,0.05017572641372681,71.49307250976562,-343.87006323,-7.330199241638184,0.04,1208,18,0.0003,118884,0.1791260540485382,99.07,5939
6608,77.58757019042969,0.050172772258520126,71.54473114013672,-345.36752736999995,-8.921828269958496,0.04,1212,18,0.0003,119284,0.17829833924770355,99.07,5959
6798,64.3365478515625,0.05017712712287903,71.94682312011719,-337.21992481,-9.418045043945312,0.04,1216,17,0.0003,119684,0.1775365024805069,99.07,5979
