time/total timesteps,time/fps,train/critic_loss,rollout/ep_len_mean,train/actor_loss,time/episodes,rollout/ep_rew_mean,train/n_updates,train/learning_rate,time/time_elapsed,rollout/success rate
678553,20,163.40350212097167,9834.101449275362,899.6278515625,69,-80869.26316927535,678400,0.001,32966,0.043478260869565216
688553,20,428.7163372039795,9836.471428571429,889.4428125,70,-80340.85920218572,688400,0.001,33450,0.04285714285714286
698553,20,105.33921031951904,9838.774647887323,882.8155603027344,71,-79919.88477164789,698400,0.001,33938,0.04225352112676056
708553,20,86.41525848388672,9841.013888888889,872.9629040527344,72,-79396.18177497221,708400,0.001,34429,0.041666666666666664
716680,20,174.63871185302733,9817.534246575342,889.6761389160156,73,-79029.00763432875,716500,0.001,34828,0.0547945205479452
726680,20,592.4599904251098,9820.0,889.3725170898438,74,-79051.34396614865,726500,0.001,35314,0.05405405405405406
736680,20,210.82676147460938,9822.4,883.3921032714844,75,-79366.38794476,736500,0.001,35799,0.05333333333333334
738149,20,107.1066711807251,9712.486842105263,888.4272912597656,76,-78384.0733948421,738000,0.001,35877,0.06578947368421052
748149,20,269.5447038269043,9716.22077922078,878.9235571289063,77,-77802.10045607793,748000,0.001,36359,0.06493506493506493
758149,20,353.43136070251467,9719.858974358975,878.7135729980469,78,-77388.40803167949,758000,0.001,36842,0.0641025641025641
761869,20,214.2984281539917,9643.911392405063,882.4651098632812,79,-76543.75755349368,761700,0.001,37023,0.0759493670886076
771869,20,388.0089833068848,9648.3625,870.5742895507813,80,-75919.57019595001,771700,0.001,37511,0.075
781869,20,168.3869535446167,9652.703703703704,866.8179479980469,81,-75644.00879969136,781700,0.001,37997,0.07407407407407407
791869,20,192.15643692016602,9656.939024390244,881.2324096679688,82,-75963.55859967074,791700,0.001,38486,0.07317073170731707
801869,20,408.9035147476196,9661.072289156626,865.733359375,83,-75551.42551928916,801700,0.001,38973,0.07228915662650602
809148,20,229.00191089630127,9632.714285714286,860.4850170898437,84,-75251.04267738096,809000,0.001,39330,0.08333333333333333
819148,20,205.04440673828125,9637.035294117648,866.035029296875,85,-75164.33081458823,819000,0.001,39816,0.08235294117647059
825757,20,178.50768524169922,9601.82558139535,869.3248400878906,86,-75406.19840465115,825600,0.001,40132,0.09302325581395349
829149,20,241.24935468673706,9530.448275862069,868.1297338867188,87,-74718.74927503448,829000,0.001,40297,0.10344827586206896
833114,20,108.50490797042846,9467.204545454546,864.1649035644531,88,-74092.14261469318,833000,0.001,40491,0.11363636363636363
837049,20,184.40598587036132,9405.044943820225,856.2253015136719,89,-73569.72554566292,836900,0.001,40682,0.12359550561797752
838549,20,192.24818794250487,9317.211111111112,857.0788720703125,90,-72844.13964813334,838400,0.001,40753,0.13333333333333333
845826,20,195.20680507659912,9294.791208791208,859.0862878417969,91,-72379.3558094066,845700,0.001,41108,0.14285714285714285
850286,20,932.7900218963623,9242.239130434782,852.7496789550781,92,-71870.17504916305,850100,0.001,41320,0.15217391304347827
853518,20,330.90858932495115,9177.612903225807,857.75119140625,93,-71340.90470974194,853400,0.001,41482,0.16129032258064516
854438,20,141.73588550567626,9089.765957446809,853.2682922363281,94,-70630.69008845744,854300,0.001,41524,0.1702127659574468
864438,20,91.75007225036622,9099.347368421053,856.1530981445312,95,-70141.4089720737,864300,0.001,42006,0.16842105263157894
865564,20,129.37324569702147,9016.291666666666,849.9867419433593,96,-69426.43863301042,865400,0.001,42060,0.17708333333333334
867140,20,128.2065843963623,8939.58762886598,839.5402954101562,97,-68738.60482647423,867000,0.001,42140,0.18556701030927836
874131,20,185.14854930877686,8919.704081632653,839.2226599121094,98,-68234.56747855102,874000,0.001,42480,0.19387755102040816
878362,20,369.1653377532959,8872.343434343435,841.3247351074219,99,-67878.01366353534,878200,0.001,42683,0.20202020202020202
884097,20,119.84723062515259,8840.97,851.3828796386719,100,-67521.58547558,883900,0.001,42963,0.21
886006,20,77.7257765197754,8760.06,839.9381616210937,101,-65807.89188658,885900,0.001,43055,0.22
889014,20,334.9626243972778,8690.14,850.07841796875,102,-64632.51915426999,888900,0.001,43206,0.23
892092,20,270.950993347168,8620.92,844.7888610839843,103,-62938.569948690005,891900,0.001,43351,0.24
895636,20,127.63775880813598,8556.36,836.0609753417968,104,-61986.2511367,895500,0.001,43525,0.25
903914,20,272.96887042999265,8539.14,834.6859362792969,105,-60889.58940964,903800,0.001,43929,0.26
911641,20,445.0788888168335,8516.41,828.2394323730468,106,-60324.016968410004,911500,0.001,44303,0.27
913795,20,184.33035583496093,8437.95,831.3937963867188,107,-59713.61563758,913600,0.001,44401,0.28
922575,20,103.99089206695557,8425.75,822.4088293457031,108,-59225.79685531999,922400,0.001,44828,0.29
931670,20,232.226799659729,8416.7,825.3790246582031,109,-59203.00218648999,931500,0.001,45272,0.3
936452,20,206.9666020965576,8364.52,820.9706420898438,110,-58504.76973658,936300,0.001,45500,0.31
946452,20,173.31111747741699,8364.52,830.6180114746094,111,-58114.46375820999,946300,0.001,45987,0.31
956452,20,104.14749359130859,8364.52,838.0530847167969,112,-58615.2056322,956300,0.001,46481,0.31
956779,20,388.8611553573608,8267.79,833.9972985839844,113,-57288.3742509,956600,0.001,46501,0.32
957293,20,261.25910480499266,8172.93,836.1117626953124,114,-56817.44118396,957100,0.001,46528,0.33
964306,20,523.7145361328126,8143.06,834.5838195800782,115,-55594.200222190004,964200,0.001,46869,0.34
965363,20,218.57568004608154,8053.63,827.1451354980469,116,-54370.10348654998,965200,0.001,46916,0.35
969457,20,892.8068823432923,7994.57,824.8628674316407,117,-53602.41154675,969300,0.001,47117,0.36
975190,20,210.64792978286744,7951.9,824.0479797363281,118,-52629.88446732001,975000,0.001,47392,0.37
976504,20,346.98892669677736,7865.04,817.7979663085938,119,-51943.89226732,976400,0.001,47456,0.38
983323,20,101.88077737808227,7833.23,818.6594958496094,120,-51446.938438260004,983200,0.001,47785,0.39
