time/total timesteps,time/time_elapsed,rollout/success rate,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,train/n_updates,train/actor_loss,train/critic_loss,train/learning_rate
301626,1743,0.88,173,-2565.29958663,21.87,6652,,,,
301640,1757,0.88,171,-2569.09873453,21.94,6653,,,,
301645,1765,0.89,170,-2537.3136816600004,20.99,6654,301540,11170.15869140625,6000731.50625,0.001
301648,1767,0.89,170,-2526.0710484800006,20.93,6655,,,,
301689,1782,0.89,169,-2531.95338681,21.24,6656,301580,11211.0724609375,4743310.11875,0.001
301711,1805,0.89,167,-2533.04043762,21.27,6657,301600,11069.462109375,7583183.3625,0.001
301721,1808,0.89,166,-2533.52328535,21.29,6658,301620,11282.33134765625,7289821.6875,0.001
301726,1816,0.89,166,-2534.36693216,21.32,6659,,,,
301729,1833,0.89,164,-2523.56674257,21.29,6660,,,,
301829,1858,0.88,162,-2514.9313112399996,22.05,6661,301720,11241.1396484375,4964509.175,0.001
301832,1865,0.88,161,-2512.28925358,21.94,6662,,,,
301932,1882,0.87,160,-2539.6656252400003,22.9,6663,301820,10895.16494140625,7116862.15,0.001
301940,1911,0.87,157,-2538.8300048100004,22.88,6664,,,,
301948,1954,0.87,154,-2548.94698942,22.84,6665,301840,11183.67919921875,6575358.43125,0.001
301953,1972,0.87,153,-2549.3536316299997,22.84,6666,,,,
301956,1999,0.88,150,-2516.32395975,21.87,6667,,,,
301967,2023,0.88,149,-2519.9581632699997,21.93,6668,301860,11266.90419921875,7565015.5125,0.001
301972,2031,0.89,148,-2039.6690308899997,20.98,6669,,,,
302003,2057,0.89,146,-2043.47448049,21.24,6670,301900,11063.43916015625,8102606.325,0.001
302012,2061,0.9,146,-2015.0579519199998,20.33,6671,,,,
302018,2074,0.9,145,-2024.8039823599997,20.33,6672,,,,
302118,2092,0.89,144,-2125.98902649,21.27,6673,302000,11093.73193359375,7629823.3375,0.001
302122,2099,0.89,143,-2066.32926868,21.22,6674,302020,11139.46708984375,5485569.81875,0.001
302131,2123,0.89,142,-2067.5768731099997,21.23,6675,,,,
302139,2146,0.89,140,-2068.5809735899998,21.27,6676,,,,
302141,2148,0.89,140,-1956.62738151,20.56,6677,302040,11317.9716796875,5975043.8125,0.001
302151,2176,0.89,138,-1958.51760269,20.58,6678,,,,
302155,2203,0.89,137,-1977.2149731700001,20.55,6679,,,,
302255,2225,0.88,135,-2378.4126126200003,21.51,6680,302140,11061.5876953125,6093283.375,0.001
302263,2233,0.88,135,-2379.03553143,21.55,6681,302160,11087.86748046875,5793849.74375,0.001
302266,2250,0.88,134,-2387.80527176,21.51,6682,,,,
302270,2262,0.88,133,-2408.57002469,21.51,6683,,,,
302274,2274,0.88,132,-2406.86736442,21.45,6684,,,,
302284,2288,0.89,132,-2334.93961502,20.55,6685,302180,11200.14609375,5748440.79375,0.001
302291,2296,0.89,131,-2331.67806132,20.13,6686,,,,
302337,2338,0.89,129,-2349.1684386399997,20.55,6687,302220,11061.0501953125,6551660.95,0.001
302340,2354,0.9,128,-2313.80411554,19.58,6688,,,,
302356,2381,0.9,126,-2338.06661568,19.7,6689,302240,11205.1677734375,5358226.63125,0.001
302456,2407,0.89,125,-2386.5525950099995,20.65,6690,302340,11176.12119140625,5809902.925,0.001
302556,2439,0.89,124,-2330.05509682,20.65,6691,302440,11125.3955078125,5926843.7875,0.001
302560,2451,0.89,123,-2338.37998076,20.59,6692,,,,
302568,2484,0.89,121,-2347.64351214,20.53,6693,302460,11110.162109375,6558875.81875,0.001
302571,2501,0.89,120,-2340.47525177,20.35,6694,,,,
302576,2518,0.89,120,-2330.91234268,20.34,6695,,,,
302592,2534,0.89,119,-2331.2428012899995,20.31,6696,302480,11002.08505859375,7833782.5875,0.001
302609,2555,0.89,118,-2323.0413538,20.43,6697,302500,11249.37099609375,5345081.6125,0.001
302621,2560,0.89,118,-2348.2040786,19.95,6698,302520,11134.016796875,5314457.184375,0.001
302626,2593,0.89,116,-2324.61508961,19.88,6699,,,,
302726,2628,0.88,115,-2359.8220420800003,20.84,6700,302620,11212.39013671875,6760685.175,0.001
302730,2655,0.88,113,-2389.6317424199997,20.84,6701,,,,
302735,2658,0.88,113,-2395.5642958299995,20.68,6702,,,,
302743,2661,0.88,113,-2406.16036723,20.71,6703,302640,11185.798828125,6264524.2875,0.001
302752,2680,0.88,112,-2419.0839327,20.75,6704,,,,
302852,2715,0.87,111,-2445.0061768,21.71,6705,302740,11405.56103515625,5119001.56875,0.001
302873,2741,0.87,110,-2488.05843955,21.88,6706,302760,11302.57861328125,5959573.08125,0.001
302880,2745,0.88,110,-2406.0770000199996,20.95,6707,,,,
302887,2748,0.88,110,-2387.74395967,20.99,6708,302780,11075.31923828125,6394491.3375,0.001
302892,2765,0.88,109,-2387.8226028000004,21.0,6709,,,,
302913,2791,0.88,108,-2418.46308591,20.92,6710,302800,11442.3423828125,4617354.56875,0.001
303013,2828,0.88,107,-2358.02130847,20.92,6711,302900,11241.366015625,7589810.65,0.001
303024,2852,0.88,106,-2349.70109354,20.93,6712,302920,11282.3767578125,5407407.5125,0.001
303029,2890,0.88,104,-2350.95619592,20.94,6713,,,,
303034,2898,0.88,104,-2350.65246401,20.89,6714,,,,
303054,2910,0.88,104,-2349.79721612,21.0,6715,302940,11168.71435546875,7578366.175,0.001
303064,2918,0.88,103,-2362.3046224,21.05,6716,302960,11155.77490234375,7355307.1125,0.001
303069,2931,0.88,103,-2372.10359242,21.04,6717,,,,
303088,2936,0.88,103,-2342.85720963,21.11,6718,302980,11218.3025390625,4791241.503125,0.001
303089,2953,0.88,102,-2341.7967727500004,21.06,6719,,,,
303189,2969,0.87,102,-2386.17030679,21.93,6720,303080,11062.48291015625,6618363.325,0.001
303230,2991,0.87,101,-2368.2855455100002,22.26,6721,303120,11328.39931640625,4927798.2625,0.001
303330,3014,0.86,100,-2403.287825369999,23.0,6722,303220,10962.5220703125,7970658.7625,0.001
303334,3036,0.86,99,-2402.39059117,22.98,6723,,,,
303387,3065,0.87,98,-2334.88332261,22.51,6724,303280,11170.30654296875,6245059.35,0.001
303395,3144,0.87,96,-2303.59961353,22.47,6725,,,,
303495,3199,0.86,94,-1730.1019527100007,22.51,6726,303380,11151.0609375,4609556.8375,0.001
303497,3200,0.86,94,-1717.8734300400001,22.47,6727,,,,
303597,3250,0.85,93,-1763.40113737,23.43,6728,303480,11201.01240234375,6092836.571875,0.001
303697,3289,0.85,92,-2410.5984581700004,23.43,6729,303580,11282.9330078125,6754380.68125,0.001
303701,3302,0.85,91,-2407.75828881,23.4,6730,303600,11256.18076171875,5078618.175,0.001
303703,3313,0.85,91,-2401.1063504400004,22.77,6731,,,,
303708,3331,0.85,91,-2403.16754145,22.78,6732,,,,
303715,3349,0.85,90,-2404.8109385300004,22.84,6733,,,,
303719,3361,0.85,90,-2406.6545649500003,22.85,6734,,,,
303724,3409,0.85,89,-2405.00308288,22.85,6735,303620,11113.30166015625,6308437.421875,0.001
303728,3417,0.85,88,-2404.36212051,22.85,6736,,,,
303733,3419,0.86,88,-2333.0181660599997,21.9,6737,,,,
303833,3478,0.85,87,-2371.55021934,22.86,6738,303720,11219.5791015625,6822722.8875,0.001
303863,3484,0.85,87,-2368.0402415099998,23.1,6739,303760,11257.33359375,6753226.25,0.001
303963,3506,0.84,86,-2392.2118137400003,24.07,6740,303860,11285.1470703125,6589519.95,0.001
303974,3594,0.84,84,-2403.06412672,24.12,6741,,,,
303987,3609,0.84,84,-2414.20874614,24.18,6742,303880,11238.2685546875,5971256.278125,0.001
304087,3625,0.83,83,-2521.98675204,25.14,6743,303980,11057.90322265625,6612175.18125,0.001
304100,3644,0.83,83,-2553.12642477,25.19,6744,,,,
304103,3682,0.83,82,-2541.9107071900003,25.11,6745,304000,10994.373828125,8003886.55,0.001
304110,3690,0.83,82,-2544.2880520000003,25.15,6746,,,,
304114,3692,0.83,82,-2544.83387809,25.16,6747,,,,
