time/time_elapsed,time/total timesteps,train/learning_rate,train/actor_loss,rollout/ep_rew_mean,rollout/success rate,train/critic_loss,rollout/ep_len_mean,time/episodes,time/fps,train/n_updates
9554,2501387,0.001,5989.804013671875,-421368.19897515007,0.04,46982.26548828125,8263.87,435,261,2476300
9835,2516387,0.001,6145.229365234375,-426981.16488695005,0.04,56984.53245117187,8363.87,436,255,2491300
10114,2531387,0.001,6113.991826171875,-431871.1681254,0.04,54133.4648828125,8463.87,437,250,2506300
10393,2546387,0.001,6089.825146484375,-439689.11130597,0.04,135032.1305078125,8563.87,438,244,2521300
10674,2561387,0.001,6139.1694140625,-445760.79749135,0.04,37979.97625,8663.87,439,239,2536300
10953,2576387,0.001,6278.259365234375,-452666.1844765099,0.04,30939.184145507814,8763.87,440,235,2551300
11234,2591387,0.001,6238.67580078125,-460257.7622920999,0.04,31820.933173828125,8863.87,441,230,2566300
11485,2604891,0.001,6249.8963671875,-463121.69932972,0.05,37358.04946289062,8948.91,442,226,2579800
11765,2619891,0.001,6319.5076171875,-470540.22065877,0.05,68039.06122070312,9048.91,443,222,2594800
12046,2634891,0.001,6435.810224609375,-476964.66491818,0.05,43584.48819335937,9148.91,444,218,2609800
12325,2649891,0.001,6544.15125,-485474.38022660994,0.05,35566.08810546875,9248.91,445,214,2624800
12604,2664891,0.001,6558.89763671875,-492390.82593834,0.05,34384.790458984375,9348.91,446,211,2639800
12883,2679891,0.001,6731.93958984375,-497924.0168871299,0.05,73964.45116210937,9448.91,447,208,2654800
13177,2694891,0.001,7008.906669921875,-533875.57580185,0.05,52571.730625,9548.91,448,204,2669800
13407,2706796,0.001,7111.245244140625,-538254.5963703099,0.06,42637.61895507813,9617.96,449,201,2681700
13694,2721796,0.001,7298.500673828125,-549229.78253973,0.06,37465.9066796875,9717.96,450,198,2696700
13981,2736796,0.001,7370.291845703125,-554223.6273067099,0.06,35624.7071484375,9817.96,451,195,2711700
14270,2751796,0.001,7211.9920703125,-557554.5638010199,0.06,59379.4223828125,9917.96,452,192,2726700
14410,2759085,0.001,7358.528857421875,-558923.9889173099,0.07,40953.45561523437,9940.85,453,191,2734000
14698,2774085,0.001,7301.579189453125,-561043.0701717,0.07,70583.4830078125,10040.85,454,188,2749000
14986,2789085,0.001,7387.582724609375,-568273.8163312599,0.07,36104.12251953125,10140.85,455,186,2764000
15267,2804085,0.001,7450.172177734375,-576095.6155735899,0.07,68892.9816796875,10240.85,456,183,2779000
15544,2819085,0.001,7544.1756640625,-582407.19043716,0.07,41215.17444335938,10340.85,457,181,2794000
15820,2834085,0.001,7632.50822265625,-585906.17908162,0.07,55055.68943359375,10440.85,458,179,2809000
16098,2849085,0.001,7654.061064453125,-588635.2882715099,0.07,119150.02608398437,10540.85,459,176,2824000
16375,2864085,0.001,7758.63736328125,-600784.05593008,0.07,41989.504765625,10640.85,460,174,2839000
16662,2879085,0.001,7713.220322265625,-608130.00392392,0.07,54311.18719726562,10740.85,461,172,2854000
16837,2888534,0.001,7691.4051953125,-610155.9304251899,0.08,70672.22059570313,10785.34,462,171,2863500
17114,2903534,0.001,7919.921962890625,-620362.65932212,0.08,82285.47143554688,10885.34,463,169,2878500
17282,2912646,0.001,7841.906513671875,-621586.42990458,0.09,68177.68873046876,10926.46,464,168,2887600
17558,2927646,0.001,7928.506220703125,-629905.29653866,0.09,56985.01815429688,11026.46,465,166,2902600
17833,2942646,0.001,7749.96427734375,-635231.41342063,0.09,61391.65677734375,11126.46,466,165,2917600
18111,2957646,0.001,7916.768740234375,-647244.08568357,0.09,41837.11754882812,11226.46,467,163,2932600
18388,2972646,0.001,7837.599736328125,-652985.53651031,0.09,41838.157431640626,11326.46,468,161,2947600
18669,2987646,0.001,7804.373408203125,-659442.4689048999,0.09,76890.23297851562,11426.46,469,160,2962600
18955,3002646,0.001,7844.238662109375,-663138.5235715001,0.09,53095.513955078124,11526.46,470,158,2977600
19011,3005621,0.001,7738.2082421875,-662822.11318604,0.1,44497.55547851563,11506.21,471,158,2980600
19301,3020621,0.001,7821.5866015625,-668493.8982190699,0.1,80693.2575,11606.21,472,156,2995600
19590,3035621,0.001,7726.669521484375,-673662.26100519,0.1,92674.23462890626,11706.21,473,154,3010600
19680,3040301,0.001,7747.591728515625,-673864.59267942,0.11,45133.404892578124,11703.01,474,154,3015300
19957,3055301,0.001,7706.910595703125,-680316.97050249,0.11,50055.4628515625,11803.01,475,153,3030300
20231,3070301,0.001,7614.887236328125,-686627.4663376601,0.11,60802.995078125,11903.01,476,151,3045300
20336,3075958,0.001,7597.42189453125,-690356.26541442,0.12,38506.7409765625,11909.58,477,151,3050900
20611,3090958,0.001,7517.569267578125,-696023.0009976001,0.12,76517.96578125,12009.58,478,149,3065900
20886,3105958,0.001,7714.790302734375,-699804.5558791303,0.12,94321.232265625,12109.58,479,148,3080900
21161,3120958,0.001,7498.399599609375,-704439.6141424101,0.12,38325.92001953125,12209.58,480,147,3095900
21334,3130377,0.001,7504.150673828125,-706311.6792547002,0.13,47114.04708984375,12253.77,481,146,3105300
21608,3145377,0.001,7508.2730078125,-709350.26506031,0.13,64329.10848632813,12353.77,482,145,3120300
21664,3148384,0.001,7543.1771484375,-704345.23404852,0.14,78832.6090234375,12333.84,483,145,3123300
21938,3163384,0.001,7600.211484375,-706139.17370354,0.14,63837.30564453125,12433.84,484,144,3138300
22213,3178384,0.001,7563.913056640625,-712180.10920891,0.14,47098.88478515625,12533.84,485,143,3153300
22487,3193384,0.001,7732.882890625,-718738.9038797601,0.14,59992.43276367187,12633.84,486,142,3168300
22763,3208384,0.001,7536.97689453125,-725443.17911538,0.14,33309.81924804687,12733.84,487,140,3183300
22931,3217518,0.001,7393.1737890625,-725508.46608118,0.15,34559.3958984375,12775.18,488,140,3192500
23206,3232518,0.001,7456.1596875,-729174.6123334299,0.15,84044.06522460938,12875.18,489,139,3207500
23480,3247518,0.001,7566.244970703125,-735005.7985989801,0.15,78092.55834960938,12975.18,490,138,3222500
23756,3262518,0.001,7507.413251953125,-739439.2237778299,0.15,40390.09923828125,13075.18,491,137,3237500
24032,3277518,0.001,7459.836865234375,-745576.8303150499,0.15,87891.6762109375,13175.18,492,136,3252500
24307,3292518,0.001,7416.74779296875,-752929.85118135,0.15,51990.39955078125,13275.18,493,135,3267500
24582,3307518,0.001,7412.92078125,-756254.2762836997,0.15,64442.53922851563,13375.18,494,134,3282500
24849,3321923,0.001,7277.0843359375,-760014.0877429898,0.16,34051.61266601562,13469.23,495,133,3296900
25125,3336923,0.001,7385.40599609375,-763299.7186664599,0.16,49102.7385546875,13569.23,496,132,3311900
25400,3351923,0.001,7234.822666015625,-766740.76632714,0.16,58289.71497070313,13669.23,497,131,3326900
25675,3366923,0.001,7156.71259765625,-770417.17510312,0.16,37633.247353515624,13769.23,498,131,3341900
25950,3381923,0.001,7253.85478515625,-772675.6261415501,0.16,33792.94041015625,13869.23,499,130,3356900
26225,3396923,0.001,7129.527431640625,-780149.5889593901,0.16,56705.83913085938,13969.23,500,129,3371900
26501,3411923,0.001,7183.7952734375,-765651.1556871001,0.16,41933.10245117187,13969.23,501,128,3386900
26747,3425224,0.001,7329.96591796875,-773999.08584199,0.17,77156.79186523438,13952.24,502,128,3400200
27022,3440224,0.001,7280.379033203125,-760413.7720597701,0.17,44750.66037109375,13952.24,503,127,3415200
27297,3455224,0.001,7340.12126953125,-760828.9715783601,0.17,50708.16260742187,13952.24,504,126,3430200
27572,3470224,0.001,7353.099072265625,-763809.8896558702,0.17,38464.44134765625,13952.24,505,125,3445200
27848,3485224,0.001,7291.18638671875,-766962.9260388803,0.17,60934.16583007813,13952.24,506,125,3460200
28085,3498123,0.001,7402.19974609375,-767236.34302576,0.18,44412.39647460938,13931.23,507,124,3473100
28359,3513123,0.001,7335.0919921875,-758208.1844396702,0.18,62930.088662109374,13931.23,508,123,3488100
28613,3526972,0.001,7408.30162109375,-756775.33994069,0.19,58402.47123046875,13919.72,509,123,3501900
28888,3541972,0.001,7308.63494140625,-758243.5525584401,0.19,35178.6360546875,13919.72,510,122,3516900
29163,3556950,0.001,7192.546337890625,-759853.16445974,0.2,42591.882734375,13919.5,511,121,3531900
29438,3571950,0.001,7261.347568359375,-759454.12367727,0.2,30128.042548828125,13919.5,512,121,3546900
29713,3586950,0.001,7312.598271484375,-762687.28916102,0.2,54588.31104492187,13919.5,513,120,3561900
29988,3601950,0.001,7431.06763671875,-747716.67088051,0.2,75551.33219726563,13919.5,514,120,3576900
30263,3616950,0.001,7357.2353125,-750188.4864070499,0.2,81081.80186523437,13919.5,515,119,3591900
30539,3631950,0.001,7389.590185546875,-752672.1332994901,0.2,69823.31483398438,13919.5,516,118,3606900
30814,3646950,0.001,7405.17734375,-757022.2730497599,0.19,111898.43861328125,13982.01,517,118,3621900
31030,3658737,0.001,7384.462724609375,-753808.0030159099,0.2,117564.52090820312,13949.88,518,117,3633700
31306,3673737,0.001,7486.929326171875,-747058.35588068,0.2,40856.1246875,13949.88,519,117,3648700
31581,3688737,0.001,7290.872626953125,-744728.0098167901,0.2,65958.26134765625,13949.88,520,116,3663700
31856,3703737,0.001,7183.386337890625,-749581.7896480102,0.19,57694.86080078125,14007.82,521,116,3678700
32131,3718737,0.001,7075.198759765625,-748513.73734167,0.19,61038.17919921875,14007.82,522,115,3693700
32406,3733737,0.001,7164.680009765625,-748507.0241945201,0.19,111559.98205078125,14007.82,523,115,3708700
32526,3740272,0.001,7165.672470703125,-742077.69327094,0.19,46170.38439453125,13965.76,524,114,3715200
32623,3745576,0.001,7149.073232421875,-730555.78404873,0.2,99849.47442382813,13868.8,525,114,3720500
32709,3750257,0.001,7125.947578125,-726910.32832861,0.21,47127.98130859375,13765.61,526,114,3725200
32983,3765257,0.001,7173.776396484375,-728701.95012637,0.21,54912.75276367187,13765.61,527,114,3740200
33090,3771066,0.001,7189.85646484375,-725406.76080479,0.22,98070.3245703125,13673.7,528,113,3746000
33365,3786066,0.001,7178.20080078125,-727808.48565347,0.21,43105.66633789062,13746.79,529,113,3761000
33648,3801066,0.001,7805.7223046875,-775709.7620287999,0.21,52792.617119140625,13746.79,530,112,3776000
33923,3816066,0.001,7855.540126953125,-773148.7514397998,0.21,70707.18993164062,13746.79,531,112,3791000
34201,3831066,0.001,7739.898984375,-779189.2946753998,0.21,79970.222109375,13746.79,532,112,3806000
34305,3836692,0.001,7893.28341796875,-772913.1660384699,0.22,58840.85365234375,13653.05,533,111,3811600
