time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,rollout/success rate,time/episodes,time/total timesteps,train/actor_loss,train/learning_rate,train/n_updates,train/critic_loss
2050,-348468.50790208334,5000.0,58,0.0,24,120000,5922.1905859375,0.001,94900,13660.251898193359
2140,-343233.67608323996,5000.0,58,0.0,25,125000,5950.97419921875,0.001,99900,27655.758979492188
2230,-339759.5397347308,5000.0,58,0.0,26,130000,5920.676025390625,0.001,104900,37790.544029541015
2320,-337366.2417612963,5000.0,58,0.0,27,135000,5909.154580078125,0.001,109900,13484.761333007813
2409,-329590.4542608928,5000.0,58,0.0,28,140000,5874.667548828125,0.001,114900,16961.808829345704
2500,-340929.5624278621,5000.0,57,0.0,29,145000,5908.954013671875,0.001,119900,8430.510379638672
2590,-335709.6608048667,5000.0,57,0.0,30,150000,5899.470849609375,0.001,124900,89738.19193847656
2681,-335867.4769755161,5000.0,57,0.0,31,155000,5911.26626953125,0.001,129900,10990.66591430664
2770,-331907.17466400005,5000.0,57,0.0,32,160000,5949.07423828125,0.001,134900,5405.995858154297
2861,-327389.0920335455,5000.0,57,0.0,33,165000,5894.57775390625,0.001,139900,16612.96383911133
2951,-345352.0213793824,5000.0,57,0.0,34,170000,6073.318388671875,0.001,144900,46695.94110351562
3041,-341368.39158742863,5000.0,57,0.0,35,175000,6122.141162109375,0.001,149900,26002.686524658202
3131,-338702.6557429445,5000.0,57,0.0,36,180000,6166.8665625,0.001,154900,9347.694136962891
3220,-334876.02691691904,5000.0,57,0.0,37,185000,6069.58587890625,0.001,159900,13146.999438476563
3310,-330432.03582542116,5000.0,57,0.0,38,190000,6031.757275390625,0.001,164900,14274.019881591797
3400,-327413.42277384625,5000.0,57,0.0,39,195000,6029.5444140625,0.001,169900,137943.63821777343
3489,-325197.0772822,5000.0,57,0.0,40,200000,6029.876083984375,0.001,174900,7711.104305419922
3579,-327652.0176598293,5000.0,57,0.0,41,205000,6013.215322265625,0.001,179900,8637.748682861327
3670,-322769.8164665715,5000.0,57,0.0,42,210000,5923.3344140625,0.001,184900,19776.586763916017
3760,-320943.30385362793,5000.0,57,0.0,43,215000,5860.8760546875,0.001,189900,8480.374897460937
3849,-323308.10026734095,5000.0,57,0.0,44,220000,5916.378466796875,0.001,194900,11564.74707397461
3939,-324427.2898618667,5000.0,57,0.0,45,225000,5988.10345703125,0.001,199900,16812.439538574217
4029,-321260.2852374131,5000.0,57,0.0,46,230000,5955.392900390625,0.001,204900,31950.317801513673
4119,-317959.3699720213,5000.0,57,0.0,47,235000,5874.431689453125,0.001,209900,21739.440137939455
4209,-315010.1535304375,5000.0,57,0.0,48,240000,5839.154287109375,0.001,214900,30703.767958984376
4301,-313819.247030551,5000.0,56,0.0,49,245000,5878.40814453125,0.001,219900,46723.691923828126
4392,-310559.77087706,5000.0,56,0.0,50,250000,5751.98857421875,0.001,224900,13784.958881835937
4482,-309758.9809633725,5000.0,56,0.0,51,255000,5768.962978515625,0.001,229900,20657.21808959961
4573,-307406.35013730766,5000.0,56,0.0,52,260000,5739.458564453125,0.001,234900,18853.019626464844
4663,-305668.1920290943,5000.0,56,0.0,53,265000,5784.81115234375,0.001,239900,37985.194747314454
4754,-302953.949018963,5000.0,56,0.0,54,270000,5772.93828125,0.001,244900,18195.746567382812
4843,-300559.9960544909,5000.0,56,0.0,55,275000,5681.172802734375,0.001,249900,11140.411901855468
4933,-298802.0786570893,5000.0,56,0.0,56,280000,5690.269365234375,0.001,254900,29174.043771972658
5022,-296927.0944379649,5000.0,56,0.0,57,285000,5645.305546875,0.001,259900,13637.594616699218
5112,-295125.19940955174,5000.0,56,0.0,58,290000,5641.872451171875,0.001,264900,10633.920399169921
5201,-294478.7751056441,5000.0,56,0.0,59,295000,5678.23474609375,0.001,269900,24659.47147949219
5292,-292410.86424705,5000.0,56,0.0,60,300000,5587.215576171875,0.001,274900,12681.697309570312
5381,-291190.0390870328,5000.0,56,0.0,61,305000,5526.133447265625,0.001,279900,26180.936337890624
5471,-289997.20192206453,5000.0,56,0.0,62,310000,5607.47267578125,0.001,284900,16069.341767578126
5561,-287971.8203191587,5000.0,56,0.0,63,315000,5586.902490234375,0.001,289900,50799.44973388672
5651,-285654.05835215625,5000.0,56,0.0,64,320000,5462.86505859375,0.001,294900,53933.112941894535
5741,-283892.73526412307,5000.0,56,0.0,65,325000,5453.75353515625,0.001,299900,12620.18755859375
5832,-287555.6800095454,5000.0,56,0.0,66,330000,5555.276396484375,0.001,304900,10399.797873535157
5921,-287746.7844425671,5000.0,56,0.0,67,335000,5619.470791015625,0.001,309900,52959.68152587891
6011,-286139.651350647,5000.0,56,0.0,68,340000,5605.7232421875,0.001,314900,9103.022900390624
6101,-284618.95530191297,5000.0,56,0.0,69,345000,5627.447666015625,0.001,319900,8218.51533203125
6192,-287410.69438675704,5000.0,56,0.0,70,350000,5703.42697265625,0.001,324900,19315.895595703125
6281,-285505.8657965633,5000.0,56,0.0,71,355000,5681.47412109375,0.001,329900,53778.32868408203
6370,-283732.8674401806,5000.0,56,0.0,72,360000,5700.502216796875,0.001,334900,12938.670661621094
6460,-282595.3119482466,5000.0,56,0.0,73,365000,5726.505146484375,0.001,339900,11020.586533203124
6550,-281061.9699183108,5000.0,56,0.0,74,370000,5726.008310546875,0.001,344900,93109.70784667968
6640,-279577.05224544,5000.0,56,0.0,75,375000,5637.418154296875,0.001,349900,24607.121591796877
6730,-277933.14102086844,5000.0,56,0.0,76,380000,5577.75951171875,0.001,354900,50720.62316162109
6819,-276130.546506987,5000.0,56,0.0,77,385000,5560.917216796875,0.001,359900,12757.916149902343
6909,-274583.8059230898,5000.0,56,0.0,78,390000,5596.935673828125,0.001,364900,13116.433532714844
6998,-272757.8010059874,5000.0,56,0.0,79,395000,5523.155859375,0.001,369900,26916.30893798828
7088,-271414.411284075,5000.0,56,0.0,80,400000,5501.3441015625,0.001,374900,8354.297028808594
7179,-270116.6789907654,5000.0,56,0.0,81,405000,5503.925498046875,0.001,379900,48443.18607421875
