time/time_elapsed,rollout/ep_rew_mean,train/actor_loss,time/episodes,rollout/ep_len_mean,train/n_updates,train/learning_rate,time/fps,time/total timesteps,rollout/success rate,train/critic_loss
16078,-238490.75691312,2465.31638671875,896,10863.27,6630700,0.001,412,6630819,0.46,19414.44418701172
16367,-240391.98868917,2433.7685400390624,897,10964.6,6641900,0.001,405,6642084,0.46,11933.625432128907
16485,-240025.49319478002,2454.251640625,898,10940.76,6646500,0.001,403,6646676,0.46,18453.462204589843
16792,-241585.64875426,2397.4803515625,899,11028.63,6658500,0.001,396,6658618,0.46,11077.174421386719
17078,-235863.46334580003,2504.808576660156,900,10995.63,6669700,0.001,390,6669808,0.46,15561.501201171875
17462,-237096.843541,2439.37384765625,901,11032.52,6684700,0.001,382,6684808,0.45,20175.50310058594
17840,-239849.13478441,2479.9435766601564,902,11030.51,6699500,0.001,375,6699607,0.46,11454.406475830077
18227,-243017.28821708,2466.8042822265625,903,11158.7,6714500,0.001,368,6714607,0.45,17289.456784667967
18515,-242923.10087526002,2420.080021972656,904,11121.44,6725700,0.001,363,6725881,0.46,13059.340603027344
18898,-244840.48038214995,2455.752978515625,905,11213.08,6740700,0.001,356,6740881,0.45,113145.99986083985
19255,-252287.26545394,2473.711875,906,11314.91,6754700,0.001,350,6754831,0.45,30083.3570703125
19639,-252507.00618616998,2417.053200683594,907,11314.91,6769700,0.001,344,6769831,0.45,20992.883186035157
20023,-253166.17904061,2559.5476611328127,908,11314.91,6784700,0.001,338,6784831,0.45,20620.292133789062
20407,-259445.47086621,2538.539453125,909,11332.3,6799700,0.001,333,6799831,0.44,13070.533336181641
20791,-260125.9417895,2667.70291015625,910,11332.3,6814700,0.001,327,6814831,0.44,8409.716721191406
20918,-258856.51577237004,2653.1397119140624,911,11231.74,6819600,0.001,326,6819775,0.45,13112.013100585937
21305,-257799.9279408,2591.106474609375,912,11265.99,6834600,0.001,320,6834775,0.44,9546.017907714844
21689,-258136.95998502997,2601.9629443359377,913,11265.99,6849600,0.001,315,6849775,0.44,9664.76103515625
22021,-259259.947733,2503.5503759765625,914,11316.48,6862600,0.001,311,6862704,0.44,12092.598974609375
22223,-258545.17005762004,2529.13908203125,915,11243.55,6870300,0.001,309,6870411,0.45,10850.00348388672
22620,-259609.09958939,2571.361865234375,916,11243.55,6885300,0.001,304,6885411,0.45,10647.477056884765
23005,-260036.14933336005,2538.7666357421876,917,11243.55,6900300,0.001,299,6900411,0.45,8056.2916259765625
23389,-270283.50495055004,2600.81375,918,11243.55,6915300,0.001,295,6915411,0.45,11442.012060546875
23771,-270375.6728905,2598.4046923828123,919,11243.55,6930300,0.001,291,6930411,0.45,10343.631147460937
24156,-272763.39145538,2578.8233349609377,920,11383.4,6945300,0.001,287,6945411,0.44,13776.872368164062
24538,-273043.57422224,2557.7475537109376,921,11383.4,6960300,0.001,283,6960411,0.44,13519.069973144531
24746,-270205.4625077,2531.23822265625,922,11314.56,6968400,0.001,281,6968527,0.45,9047.841896972655
25130,-271170.83645223,2547.33458984375,923,11328.61,6983400,0.001,277,6983527,0.44,9891.009743652343
25463,-278729.42598068,2528.127587890625,924,11308.06,6996300,0.001,274,6996472,0.45,9103.507622070312
25638,-278225.81150176,2531.3132763671874,925,11250.38,7003200,0.001,273,7003335,0.45,9891.103217773438
26021,-280206.2594411,2542.3007739257814,926,11382.07,7018200,0.001,269,7018335,0.44,14510.005061035155
26262,-280995.09047585,2529.59048828125,927,11447.0,7027600,0.001,267,7027760,0.44,15181.275278320312
26645,-281700.70782703,2513.221171875,928,11478.51,7042600,0.001,264,7042760,0.43,8435.133090820313
26933,-281612.29806813004,2544.831494140625,929,11441.15,7053900,0.001,261,7054024,0.44,8944.940068359376
27317,-276780.84597395995,2534.62416015625,930,11441.15,7068900,0.001,258,7069024,0.44,13428.80783203125
27700,-278730.84573572,2592.2598828125,931,11534.33,7083900,0.001,255,7084024,0.43,13789.10873046875
27892,-280251.14454675006,2505.818193359375,932,11582.8,7091400,0.001,254,7091528,0.43,12180.474614257813
28044,-279059.91460046003,2480.384677734375,933,11492.14,7097300,0.001,253,7097462,0.44,10273.696978759766
28253,-280034.97622387996,2568.1979638671874,934,11562.58,7105500,0.001,251,7105640,0.44,7076.519962158203
28486,-277699.79639261996,2491.63873046875,935,11504.08,7114600,0.001,249,7114790,0.45,11872.934187011719
