train/actor_loss,train/n_updates,time/fps,rollout/success rate,rollout/ep_rew_mean,rollout/ep_len_mean,train/learning_rate,time/time_elapsed,time/total timesteps,time/episodes,train/std,train/ent_coef,train/ent_coef_loss,train/critic_loss
59.94623565673828,15014,1960,0.01,-56.488602699999994,99.62,0.0003,153,300400,3060,0.049660276621580124,0.040709659457206726,-3.2383217811584473,25.516708374023438
60.50434875488281,15034,956,0.01,-56.949434769999996,99.62,0.0003,314,300800,3064,0.04966253042221069,0.040710464119911194,-5.354281425476074,27.44884490966797
59.77476119995117,15054,647,0.02,-57.23529433999999,99.43,0.0003,465,301181,3068,0.049662478268146515,0.0406985767185688,-0.7604366540908813,43.17364501953125
59.84043884277344,15074,492,0.02,-57.03636514000001,99.43,0.0003,612,301581,3072,0.04965810477733612,0.04062623530626297,1.667130470275879,68.11245727539062
59.72505569458008,15094,396,0.02,-56.64983567,99.43,0.0003,761,301981,3076,0.0496542863547802,0.04057623818516731,-0.15909546613693237,61.03782272338867
59.471771240234375,15114,332,0.02,-56.62868339,99.43,0.0003,908,302381,3080,0.049650639295578,0.04050837457180023,-0.06844291090965271,39.91048049926758
59.350425720214844,15134,289,0.02,-57.00006584,99.43,0.0003,1044,302781,3084,0.049648743122816086,0.04047449678182602,0.5992546081542969,31.34894561767578
59.54511260986328,15154,248,0.02,-56.74391553,99.43,0.0003,1221,303181,3088,0.049650661647319794,0.040493596345186234,0.9817993640899658,24.608463287353516
59.55971145629883,15169,227,0.03,-55.94398117000001,98.6,0.0003,1335,303498,3092,0.0496525764465332,0.040535587817430496,-3.4873850345611572,33.17237854003906
60.17913818359375,15189,204,0.03,-55.16862583,98.6,0.0003,1486,303898,3096,0.0496518537402153,0.04055493697524071,1.256065845489502,13.726643562316895
60.11474609375,15209,186,0.03,-55.28680162999999,98.6,0.0003,1632,304298,3100,0.04964802786707878,0.04050063714385033,-2.7612979412078857,64.91466522216797
60.00708770751953,15225,174,0.04,-54.160541200000004,97.66,0.0003,1749,304604,3104,0.049643129110336304,0.04044684022665024,2.5159106254577637,12.405950546264648
58.557369232177734,15245,161,0.04,-53.963747430000005,97.66,0.0003,1894,305004,3108,0.049643002450466156,0.0404462032020092,3.171858310699463,39.455039978027344
58.913177490234375,15260,151,0.04,-53.5424328,97.07,0.0003,2014,305307,3112,0.04964695870876312,0.040471676737070084,-2.162531852722168,42.77671432495117
59.7318115234375,15280,140,0.04,-52.854259309999996,97.07,0.0003,2170,305707,3116,0.049649909138679504,0.04047519341111183,1.1076284646987915,67.85816955566406
58.75096130371094,15300,131,0.04,-52.16319484,97.07,0.0003,2327,306107,3120,0.04964910075068474,0.04043606296181679,-0.03759808838367462,40.906219482421875
59.525184631347656,15320,123,0.04,-52.178587019999995,97.07,0.0003,2476,306507,3124,0.049650877714157104,0.04042888060212135,-1.8565043210983276,37.02971649169922
58.75389099121094,15340,117,0.04,-51.60195604,97.07,0.0003,2603,306907,3128,0.04964620992541313,0.04035181179642677,1.0225743055343628,41.11090087890625
58.869659423828125,15360,111,0.04,-50.23950642,97.07,0.0003,2764,307307,3132,0.04964406415820122,0.04032919183373451,-1.0818620920181274,49.28053283691406
59.18278884887695,15380,105,0.04,-50.187423949999996,97.07,0.0003,2924,307707,3136,0.04964286834001541,0.04026726633310318,-0.9197609424591064,29.60531997680664
58.686195373535156,15400,100,0.04,-50.422368299999995,97.07,0.0003,3053,308107,3140,0.049645762890577316,0.04028444364666939,0.05877319723367691,2.3886616230010986
59.039310455322266,15420,96,0.04,-50.060375789999995,97.07,0.0003,3192,308507,3144,0.049645692110061646,0.040282849222421646,3.446833848953247,38.435264587402344
58.98717498779297,15440,93,0.04,-49.78837784000001,97.07,0.0003,3319,308907,3148,0.04964585229754448,0.04032011330127716,0.45515599846839905,31.311580657958984
59.210628509521484,15460,89,0.04,-50.15186694,97.07,0.0003,3459,309307,3152,0.04964469000697136,0.040325988084077835,1.5681641101837158,39.53562545776367
59.149757385253906,15479,85,0.05,-49.66888093000001,96.87,0.0003,3613,309687,3156,0.04964618384838104,0.04035259038209915,-6.4516730308532715,24.473350524902344
59.0367546081543,15499,82,0.05,-49.55509949,96.87,0.0003,3773,310087,3160,0.04964475333690643,0.0403011217713356,-0.09591785073280334,63.35554504394531
58.826881408691406,15519,79,0.05,-48.86847537,96.87,0.0003,3911,310487,3164,0.04964166879653931,0.040226392447948456,-0.6874838471412659,27.84052085876465
59.245086669921875,15539,76,0.04,-49.277876259999985,97.06,0.0003,4075,310887,3168,0.049641095101833344,0.04013827070593834,0.6559306383132935,1.7045892477035522
58.73696517944336,15559,73,0.04,-49.91893134,97.06,0.0003,4231,311287,3172,0.04963986203074455,0.040079012513160706,-4.984259605407715,60.45997619628906
58.88627624511719,15579,71,0.04,-49.92277532000001,97.06,0.0003,4374,311687,3176,0.04963764548301697,0.04004983976483345,2.178201198577881,37.14140319824219
58.16316223144531,15599,69,0.04,-50.003290789999994,97.06,0.0003,4515,312087,3180,0.04963985085487366,0.040102459490299225,1.541105031967163,13.198609352111816
58.035133361816406,15619,67,0.04,-49.61980745000001,97.06,0.0003,4646,312487,3184,0.04963857680559158,0.04007776826620102,-9.257293701171875,59.782527923583984
58.16442108154297,15639,65,0.04,-49.04082528,97.06,0.0003,4796,312887,3188,0.049635618925094604,0.04003395512700081,1.2760968208312988,41.07228088378906
58.35818862915039,15659,63,0.03,-49.522842839999996,97.89,0.0003,4931,313287,3192,0.04963546618819237,0.04001586139202118,-1.781373381614685,1.569223403930664
