rollout/ep_len_mean,time/fps,train/n_updates,time/total timesteps,train/learning_rate,rollout/ep_rew_mean,train/critic_loss,time/episodes,rollout/success rate,time/time_elapsed,train/actor_loss
64.09,203,203240,203356,0.001,-44.55918299,345.39409885406496,2466,0.5,1000,139.31429901123047
64.09,199,203340,203456,0.001,-44.70104890999999,494.92952690124514,2467,0.5,1021,139.19575042724608
64.09,193,203440,203556,0.001,-44.667257140000004,377.41130809783937,2468,0.5,1049,139.2340072631836
65.03,188,203540,203656,0.001,-45.21572135,526.0705865859985,2469,0.49,1079,138.23118438720704
65.03,184,203640,203756,0.001,-42.718963450000004,498.1875337600708,2470,0.49,1106,137.73908233642578
64.15,183,203660,203768,0.001,-42.08955124,503.3769702911377,2471,0.5,1111,137.61859588623048
63.2,181,,203773,,-41.72165538,,2472,0.51,1123,
62.8,178,203680,203791,0.001,-40.904906340000004,517.4026420593261,2473,0.51,1140,137.8517639160156
62.72,177,203700,203813,0.001,-40.73682628,510.1477090835571,2474,0.51,1147,139.06509704589843
62.29,174,203760,203870,0.001,-39.91280911999999,415.96337909698485,2475,0.52,1169,140.3859100341797
62.32,173,203780,203883,0.001,-39.90324804,381.1738103866577,2476,0.52,1174,139.50717315673828
61.73,172,203820,203924,0.001,-39.683440919999995,587.8623823165893,2477,0.53,1185,135.8639694213867
60.85,170,,203936,,-38.81450932,,2478,0.54,1197,
60.85,166,203920,204036,0.001,-38.70013464,450.24559383392335,2479,0.54,1225,137.34717559814453
60.85,161,204020,204136,0.001,-38.20407508,531.2749683380127,2480,0.54,1261,138.7881057739258
59.93,161,,204140,,-37.887493930000005,,2481,0.54,1263,
60.18,159,204060,204173,0.001,-37.85140827000001,402.0305541992187,2482,0.54,1278,135.2438217163086
60.83,156,204140,204246,0.001,-39.203661860000004,505.98936519622805,2483,0.54,1305,136.54342651367188
60.83,151,204240,204346,0.001,-40.496663160000004,440.19359703063964,2484,0.54,1346,138.42403411865234
