time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,rollout/ep_len_mean,time/iterations,train/n_updates,train/loss,train/clip_range,train/explained_variance,train/approx_kl,train/std,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/learning_rate
743,-559.29887347,302600,406,100.0,26,15120,2428.69384765625,0.2,-0.030827879905700684,0.057746,0.8749116659164429,-7.709504222869873,0.006448199372789532,4907.13837890625,0.3599999904632568,0.0003
767,-559.5226210800001,302700,394,100.0,27,15125,2553.486083984375,0.2,0.03019791841506958,0.019317389,0.8752986192703247,-7.710905838012695,-0.004172777592202692,5129.27744140625,0.28399999141693116,0.0003
790,-559.25968649,302800,383,100.0,28,15130,2599.430419921875,0.2,0.017816245555877686,0.14193551,0.8755021095275879,-7.713459491729736,-0.02135145898155315,5242.14560546875,0.5179999828338623,0.0003
813,-559.1425658,302900,372,100.0,29,15135,2492.787353515625,0.2,-0.04287123680114746,0.01599668,0.8752754926681519,-7.713609981536865,0.0014929098728316604,4980.89052734375,0.11399999633431435,0.0003
838,-559.08746355,303000,361,100.0,30,15140,2524.796142578125,0.2,0.0022729039192199707,0.020981392,0.874841570854187,-7.711415386199951,-0.00017146057871286757,5056.02109375,0.2739999949932098,0.0003
863,-559.0952205300001,303100,351,100.0,31,15145,2619.904296875,0.2,-0.0918581485748291,0.71887434,0.8744052648544312,-7.708409595489502,0.11030831176030916,5297.4146484375,0.6799999833106994,0.0003
887,-558.8700596800002,303200,341,100.0,32,15150,2867.9326171875,0.2,-0.026753902435302734,0.093863524,0.8741356730461121,-7.705982398986817,-0.002025483518082183,5761.43271484375,0.5059999883174896,0.0003
909,-558.8247557300001,303300,333,100.0,33,15155,2649.506591796875,0.2,-0.013934969902038574,0.0746133,0.8737376928329468,-7.704082870483399,0.02687536439334508,5316.62412109375,0.5059999942779541,0.0003
927,-559.0183406300001,303400,327,100.0,34,15160,2534.58203125,0.2,0.01097959280014038,0.8236816,0.8737567663192749,-7.701517009735108,0.058802469469083005,5076.933984375,0.5899999856948852,0.0003
963,-559.07989124,303500,314,100.0,35,15165,2449.69921875,0.2,-0.006343841552734375,1.2096537,0.8742896914482117,-7.7037858963012695,0.0731900619193766,4913.230859375,0.699999988079071,0.0003
997,-559.04285184,303600,304,100.0,36,15170,2461.404296875,0.2,0.011418044567108154,0.14720133,0.8746236562728882,-7.706924724578857,-0.0070307396796124525,4967.02421875,0.5019999921321869,0.0003
1034,-558.8801273400001,303700,293,100.0,37,15175,2273.4619140625,0.2,0.016509711742401123,0.019208094,0.8744826316833496,-7.707983684539795,0.0007209004535980057,4546.5908203125,0.23799999952316284,0.0003
1067,-558.7782005299999,303800,284,100.0,38,15180,2576.369873046875,0.2,0.02577275037765503,0.21084613,0.87394779920578,-7.705733394622802,-0.01927841460710624,5194.237890625,0.4499999821186066,0.0003
1096,-558.61727999,303900,277,100.0,39,15185,2396.2841796875,0.2,0.025658369064331055,0.025929198,0.8735671043395996,-7.70217981338501,-0.008586581025156192,4816.2751953125,0.27799998968839645,0.0003
1120,-558.25311363,304000,271,100.0,40,15190,2551.022216796875,0.2,0.029667258262634277,0.23077615,0.8733391761779785,-7.700207805633545,-0.00440884533454664,5111.901953125,0.5639999866485595,0.0003
1155,-558.01017885,304100,263,100.0,41,15195,2703.81591796875,0.2,-0.050362229347229004,0.08799013,0.8732374906539917,-7.698883152008056,-0.014169032547215465,5462.83955078125,0.29199998937547206,0.0003
1191,-557.62631345,304200,255,100.0,42,15200,2370.26806640625,0.2,-0.012579798698425293,0.022642707,0.8731271624565125,-7.698215770721435,-0.004434363670588937,4750.44638671875,0.24599999114871024,0.0003
1222,-557.23202374,304300,249,100.0,43,15205,2448.863525390625,0.2,0.019136488437652588,0.2851755,0.8728498220443726,-7.696973133087158,-0.001473405206343159,4904.99248046875,0.6079999804496765,0.0003
