rollout/ep_rew_mean,train/n_updates,time/fps,time/time_elapsed,rollout/ep_len_mean,train/critic_loss,time/episodes,train/learning_rate,rollout/success rate,train/actor_loss,time/total timesteps
-21.88498568,304420,225,1350,41.17,544.0521821975708,4478,0.001,0.7,122.14665222167969,304523
-21.533143380000002,,224,1355,40.89,,4479,,0.7,,304536
-22.04132345,304520,220,1381,41.22,441.4043998718262,4480,0.001,0.69,122.0319923400879,304636
-22.24691193,304620,217,1403,41.22,492.9738124847412,4481,0.001,0.69,121.68573226928712,304736
-22.24621854,304640,215,1411,41.21,422.16243600845337,4482,0.001,0.69,121.17187271118163,304741
-20.855707669999997,,215,1416,40.35,,4483,,0.7,,304755
-20.705577319999996,,214,1417,40.27,,4484,,0.7,,304759
-20.89943806,304740,211,1440,40.27,332.61480751037595,4485,0.001,0.7,121.89114227294922,304859
-20.913177689999998,304760,211,1443,40.32,527.2569868087769,4486,0.001,0.7,121.22780685424804,304868
-20.710247900000002,304860,207,1468,40.32,353.0419013977051,4487,0.001,0.7,121.74719619750977,304968
-21.763309900000003,304960,205,1488,41.26,479.8614717483521,4488,0.001,0.69,121.41533432006835,305068
-21.172861159999997,304980,204,1493,40.41,394.4300611495972,4489,0.001,0.7,120.92956237792968,305083
-21.030678199999997,305080,200,1519,40.41,594.5039220809937,4490,0.001,0.7,120.85748672485352,305183
-21.019537189999998,,200,1521,40.4,,4491,,0.7,,305189
-21.04126413,305100,200,1525,40.45,546.6392986297608,4492,0.001,0.7,122.37196502685546,305206
-20.37631797,,199,1527,39.53,,4493,,0.71,,305214
-21.10852375,305200,197,1543,40.37,343.8623685836792,4494,0.001,0.7,123.30546188354492,305314
-21.110039070000003,305220,197,1545,40.37,496.6843228340149,4495,0.001,0.7,122.35980606079102,305321
-20.9232366,,197,1549,40.2,,4496,,0.7,,305333
-20.926416150000005,305240,196,1557,40.24,491.719314956665,4497,0.001,0.7,122.40606689453125,305341
-20.922410300000003,,195,1559,40.22,,4498,,0.7,,305348
-20.948787530000004,305260,193,1575,40.36,298.3933133125305,4499,0.001,0.7,123.39279174804688,305367
-20.07173262,,192,1583,39.42,,4500,,0.71,,305373
-20.22667806,305360,190,1603,39.42,383.701828956604,4501,0.001,0.71,119.53775100708008,305473
-20.291057340000005,305400,189,1612,39.68,688.4076705932617,4502,0.001,0.71,121.29533081054687,305503
-20.893079120000003,305500,186,1636,40.2,546.6845991134644,4503,0.001,0.7,120.25622329711913,305603
-20.66348626,305600,184,1660,40.2,508.9278158187866,4504,0.001,0.7,121.2217025756836,305703
-20.666222640000004,,183,1664,40.22,,4505,,0.7,,305718
-20.946014060000003,305620,183,1670,40.32,398.64506874084475,4506,0.001,0.7,121.14061813354492,305736
-20.95174395,305640,182,1672,40.33,338.64951972961427,4507,0.001,0.7,122.2008544921875,305745
-21.15085849,,182,1675,40.33,,4508,,0.7,,305751
-21.2600148,305740,180,1695,40.33,401.66020069122317,4509,0.001,0.7,120.7876594543457,305851
-21.783094000000002,305840,177,1719,41.29,546.1766374588012,4510,0.001,0.69,120.65828094482421,305951
