time/fps,train/critic_loss,rollout/ep_len_mean,time/time_elapsed,time/total timesteps,train/n_updates,train/actor_loss,rollout/success rate,rollout/ep_rew_mean,train/learning_rate,time/episodes
13,1422.003197479248,74.94,10297,139895,139780,223.133642578125,0.35,-82.25438826999999,0.001,1648
13,1379.7860946655273,75.03,10373,140245,140140,224.1563507080078,0.35,-84.28766927999999,0.001,1652
13,802.1025115966797,74.41,10470,140583,140480,227.5952163696289,0.36,-82.00181607999998,0.001,1656
13,1464.136456298828,75.24,10571,140983,140880,224.01807556152343,0.35,-81.88545346,0.001,1660
13,1458.0866760253907,77.97,10695,141383,141280,224.22760925292968,0.32,-84.55853536,0.001,1664
13,1120.4185646057128,79.06,10785,141783,141680,226.4517044067383,0.3,-78.95760982,0.001,1668
13,1397.7165435791017,78.17,10849,142002,141900,223.868798828125,0.32,-75.5323729,0.001,1672
13,1325.4533393859863,77.77,10923,142317,142200,226.49236297607422,0.32,-80.74813837999999,0.001,1676
12,1085.4458274841309,77.38,10993,142564,142460,227.74625244140626,0.32,-79.93033788999999,0.001,1680
12,942.7746650695801,75.31,11030,142702,142600,228.88466186523436,0.34,-72.59267178,0.001,1684
12,1034.4620250701905,74.24,11101,142955,142840,227.33832702636718,0.36,-71.99321818,0.001,1688
12,1373.6017601013184,72.44,11143,143105,143000,228.33861846923827,0.38,-66.89071298,0.001,1692
12,1604.2470710754394,73.73,11241,143505,143400,227.55255889892578,0.36,-68.44260043,0.001,1696
12,1296.82575340271,71.4,11272,143578,143460,227.97112121582032,0.39,-66.17549016,0.001,1700
12,1131.654006576538,70.61,11342,143814,143700,229.14414672851564,0.39,-66.87919871999999,0.001,1704
12,1272.364079284668,70.4,11407,144064,143960,227.24461975097657,0.39,-66.98843199000001,0.001,1708
12,1584.3651657104492,71.13,11500,144449,144340,229.14200286865236,0.39,-66.00482969,0.001,1712
12,1841.9238998413086,72.12,11580,144767,144660,229.78929595947267,0.38,-67.12621992,0.001,1716
12,1436.4997543334962,72.41,11646,145088,144980,230.26367645263673,0.37,-72.11076848,0.001,1720
12,1039.917169189453,71.53,11721,145400,145280,229.21995697021484,0.38,-75.26375382,0.001,1724
12,1423.8290618896485,73.03,11834,145800,145680,232.13106384277344,0.36,-78.77346506,0.001,1728
12,1615.97964553833,72.46,11920,146143,146040,231.66344604492187,0.37,-80.16057253999999,0.001,1732
12,997.1864562988281,75.08,12021,146543,146440,234.7231430053711,0.34,-87.96722484999998,0.001,1736
12,1451.635241317749,75.29,12092,146780,146660,231.12581634521484,0.34,-89.47271769,0.001,1740
12,1022.0942806243896,75.23,12173,147091,146980,238.6439407348633,0.34,-92.48823682999999,0.001,1744
12,810.0603351593018,75.19,12249,147414,147300,235.38768310546874,0.34,-94.6561998,0.001,1748
11,1362.8990810394287,75.02,12317,147747,147640,233.76831665039063,0.34,-95.38862319,0.001,1752
11,1509.6996799468993,74.11,12369,147994,147880,235.26746673583983,0.35,-92.65306849000002,0.001,1756
11,1710.2371711730957,74.11,12477,148394,148280,235.38443298339843,0.35,-96.2109333,0.001,1760
11,1510.3695880889893,73.92,12601,148775,148660,239.13329620361327,0.36,-97.27441260000002,0.001,1764
11,1550.2597953796387,73.24,12692,149107,149000,236.4901580810547,0.38,-96.15259076999999,0.001,1768
11,1334.0489151000977,73.95,12763,149397,149280,238.28476257324218,0.37,-96.48241859,0.001,1772
11,1400.0446922302247,73.97,12872,149714,149600,236.32884063720704,0.37,-91.94253852,0.001,1776
11,1629.0526268005372,75.5,12993,150114,150000,237.7139633178711,0.35,-96.69842704000001,0.001,1780
11,1279.8518623352052,77.02,13066,150404,150300,237.1219451904297,0.34,-99.06731939999997,0.001,1784
11,1534.1799839019775,77.73,13147,150728,150620,238.18353118896485,0.32,-103.38589584000002,0.001,1788
11,1241.1019943237304,78.7,13199,150975,150860,241.74410095214844,0.31,-102.78227516000001,0.001,1792
11,1222.7275020599366,76.94,13274,151199,151080,241.0325500488281,0.33,-103.09892061000001,0.001,1796
11,1134.929902267456,78.66,13328,151444,151340,239.30914764404298,0.31,-103.96194376,0.001,1800
11,1291.19072265625,77.62,13368,151576,151460,240.77547760009764,0.32,-101.60803222,0.001,1804
11,1512.8694793701172,76.82,13413,151746,151640,239.2323226928711,0.34,-100.38660083999999,0.001,1808
11,2401.04612197876,75.58,13494,152007,151900,238.76668701171874,0.35,-102.19206297000001,0.001,1812
11,1487.7765899658202,76.13,13591,152380,152260,238.46854705810546,0.35,-100.71978646,0.001,1816
11,1711.2137664794923,76.08,13677,152696,152580,241.42145385742188,0.35,-93.20482054999998,0.001,1820
11,1090.7748664855958,76.67,13775,153067,152960,245.22364196777343,0.35,-92.04183643,0.001,1824
11,1300.300235748291,76.67,13895,153467,153360,243.03609161376954,0.35,-89.90450971000001,0.001,1828
10,1217.2370697021483,76.32,13992,153775,153660,242.85748138427735,0.35,-87.21930886000001,0.001,1832
10,1431.470505142212,76.0,14083,154143,154040,241.57220611572265,0.36,-85.35479067,0.001,1836
10,1535.6009254455566,77.63,14188,154543,154440,242.97667999267577,0.34,-85.43394680000002,0.001,1840
10,1648.959555053711,77.85,14269,154876,154760,241.91981353759766,0.34,-85.44665829000002,0.001,1844
10,1723.8127635955811,76.84,14327,155098,154980,240.76083679199218,0.36,-79.92575939,0.001,1848
10,1098.2974296569823,76.92,14440,155439,155320,244.29724578857423,0.36,-78.0063904,0.001,1852
10,1128.889644241333,77.01,14501,155695,155580,243.72596130371093,0.37,-79.10479046000002,0.001,1856
10,1669.7055797576904,75.24,14570,155918,155800,240.88236236572266,0.39,-72.39994334,0.001,1860
10,1403.5523796081543,73.11,14635,156086,155980,243.5736862182617,0.41,-69.45509063000002,0.001,1864
10,810.8918025970459,72.9,14720,156397,156280,245.14982147216796,0.4,-69.86908337000001,0.001,1868
10,1309.5933311462402,74.0,14816,156797,156680,246.27587890625,0.38,-75.44080054999999,0.001,1872
10,1619.8238857269287,74.21,14924,157135,157020,244.10372467041014,0.38,-77.05163102,0.001,1876
10,1139.2210632324218,73.5,15014,157464,157360,245.62924346923828,0.39,-74.15590487,0.001,1880
10,926.6396110534668,74.6,15146,157864,157760,245.69747924804688,0.37,-72.81464362000001,0.001,1884
10,1564.668934249878,75.23,15265,158251,158140,244.00155487060547,0.37,-70.52070343999999,0.001,1888
10,1108.1307544708252,75.92,15355,158567,158460,248.67497863769532,0.36,-69.92638579,0.001,1892
10,1506.9045669555665,76.91,15450,158890,158780,246.4738525390625,0.35,-68.33461252,0.001,1896
10,1640.7523483276368,78.46,15547,159290,159180,246.40089721679686,0.33,-72.29426294999999,0.001,1900
10,1186.2645221710204,79.45,15626,159521,159420,247.83291015625,0.32,-74.17376678999999,0.001,1904
10,1330.9298877716064,81.1,15726,159856,159740,248.15694732666014,0.29,-77.84354275,0.001,1908
10,1547.2480682373048,82.49,15857,160256,160140,247.9220733642578,0.27,-76.00937396,0.001,1912
10,1027.5782165527344,81.45,15944,160525,160420,249.51653137207032,0.28,-78.11803129,0.001,1916
10,2004.0376388549805,81.74,16034,160870,160760,245.98275146484374,0.28,-79.59518562,0.001,1920
