time/time_elapsed,rollout/ep_rew_mean,train/critic_loss,train/actor_loss,time/episodes,rollout/ep_len_mean,train/learning_rate,train/n_updates,time/fps,time/total timesteps,rollout/success rate
2805,-106.35591643999999,548.4743177413941,156.32752380371093,1210,80.06,0.001,109200,38,109311,0.28
2839,-106.25572169000002,444.6448682785034,158.71801147460937,1211,80.06,0.001,109300,38,109411,0.28
2863,-105.64191050000001,621.6457332611084,156.1573699951172,1212,80.06,0.001,109400,38,109511,0.28
2883,-106.51894855,570.7960252761841,160.3367691040039,1213,80.84,0.001,109500,38,109611,0.27
2923,-106.24088958,628.3059543609619,158.10888061523437,1214,80.84,0.001,109600,37,109711,0.27
2941,-106.39361902000002,507.3909622192383,156.67014923095704,1215,80.84,0.001,109700,37,109811,0.27
2954,-105.30676090000001,754.0566555023194,156.82571411132812,1216,80.05,0.001,109720,37,109832,0.28
2976,-107.81764933000001,672.5225625991822,157.41197967529297,1217,80.88,0.001,109820,36,109932,0.27
3014,-107.77364128,971.3563961029053,158.92611236572264,1218,80.88,0.001,109920,36,110032,0.27
3054,-108.14831776000001,635.3694261550903,158.75280151367187,1219,81.57,0.001,110000,36,110114,0.27
3083,-103.8538216,477.1562002182007,157.95180053710936,1220,81.57,0.001,110100,35,110214,0.27
3110,-101.85847337000001,625.639080619812,158.64049072265624,1221,81.57,0.001,110200,35,110314,0.27
3140,-102.10867887,706.3816848754883,157.07066192626954,1222,82.34,0.001,110280,35,110399,0.27
3178,-102.85638786999999,547.8304273605347,158.39583435058594,1223,82.34,0.001,110380,34,110499,0.27
3211,-103.41167644000001,699.4191251754761,157.2618606567383,1224,83.09,0.001,110480,34,110599,0.26
3244,-104.0358027,585.8445129394531,159.87319793701172,1225,83.87,0.001,110580,34,110699,0.25
3268,-104.54811341,604.022822189331,157.5608657836914,1226,83.87,0.001,110680,33,110799,0.25
3291,-105.11682744,593.876333618164,155.8265594482422,1227,84.47,0.001,110780,33,110899,0.24
3303,-105.25324480999998,443.5026222229004,159.14711303710936,1228,84.41,0.001,110820,33,110931,0.24
3305,-104.68302020999998,,,1229,83.46,,,33,110936,0.25
3336,-104.91532448999996,558.5506303787231,157.9459243774414,1230,83.55,0.001,110920,33,111036,0.24
3372,-105.58952598999998,734.3192646026612,156.62252349853514,1231,83.55,0.001,111020,32,111136,0.24
3402,-103.84152175,541.5362573623657,158.23129577636718,1232,83.55,0.001,111120,32,111236,0.24
3429,-103.95902894,379.27293453216555,158.52965850830077,1233,83.55,0.001,111220,32,111336,0.24
3469,-103.57755824999998,618.2533790588379,158.73552551269532,1234,83.55,0.001,111320,32,111436,0.24
3495,-104.66259007,572.4496414184571,158.99834594726562,1235,84.25,0.001,111420,31,111536,0.23
3518,-105.16311533,635.0266834259033,156.2802719116211,1236,84.63,0.001,111520,31,111636,0.22
3543,-101.81663121,296.48334980010986,159.42919921875,1237,84.3,0.001,111600,31,111703,0.23
3576,-101.29927475000001,899.2267127990723,156.76063232421876,1238,84.3,0.001,111700,31,111803,0.23
3586,-100.87803044,681.0147094726562,158.55151824951173,1239,83.65,0.001,111720,31,111838,0.24
3615,-101.06055305999996,584.246397781372,155.87365112304687,1240,83.65,0.001,111820,30,111938,0.24
3633,-102.45907604999998,358.888173866272,157.8710159301758,1241,84.04,0.001,111920,30,112038,0.23
3665,-98.80758261999999,479.24589347839355,157.82079010009767,1242,84.04,0.001,112020,30,112138,0.23
3691,-99.85779237999999,582.7427932739258,157.71957397460938,1243,84.72,0.001,112100,30,112213,0.23
3713,-100.732376,631.9607515335083,158.64068603515625,1244,84.72,0.001,112200,30,112313,0.23
3741,-105.77102438,449.6307020187378,157.8636505126953,1245,85.33,0.001,112300,30,112413,0.22
3770,-104.75795178,662.6523004531861,157.51291198730468,1246,85.33,0.001,112400,29,112513,0.22
3807,-100.53701062,524.542099571228,157.4619903564453,1247,85.33,0.001,112500,29,112613,0.22
3831,-100.93721376000002,505.8369167327881,158.15429229736327,1248,86.23,0.001,112600,29,112713,0.21
3846,-99.23401461000002,466.89672603607175,157.11561584472656,1249,85.61,0.001,112640,29,112751,0.22
3870,-99.69042578000003,669.3407608032227,156.6825744628906,1250,86.05,0.001,112740,29,112851,0.21
3895,-99.00349152000001,642.9255834579468,157.06502227783204,1251,86.05,0.001,112840,28,112951,0.21
3931,-96.41815408000001,743.7378665924073,156.81817321777345,1252,86.05,0.001,112940,28,113051,0.21
3964,-96.25201143999999,499.64999465942384,159.5049270629883,1253,86.05,0.001,113040,28,113151,0.21
3993,-96.19841876000001,714.4410663604737,158.773681640625,1254,86.05,0.001,113140,28,113251,0.21
4004,-95.47242145999999,584.4280687332154,159.80653381347656,1255,85.39,0.001,113180,28,113285,0.22
4009,-95.49417038999998,529.2162004470825,159.47852630615233,1256,85.51,0.001,113200,28,113302,0.22
4036,-91.10157704999997,623.9927253723145,158.3807357788086,1257,85.51,0.001,113300,28,113402,0.22
4069,-90.33942998,475.023673248291,157.71746826171875,1258,85.51,0.001,113400,27,113502,0.22
4088,-89.83475238999999,445.63821029663086,159.18662719726564,1259,84.98,0.001,113440,27,113549,0.23
4113,-87.69551191999997,713.4728754043579,158.35690612792968,1260,84.98,0.001,113540,27,113649,0.23
4149,-88.24599153999998,499.7320508956909,157.60875549316407,1261,84.98,0.001,113640,27,113749,0.23
4184,-88.99012089999997,714.8421031951905,158.46734466552735,1262,85.91,0.001,113740,27,113849,0.22
4208,-83.88254455999999,597.7605728149414,159.49139099121095,1263,85.91,0.001,113840,27,113949,0.22
4242,-83.74779953,605.2164016723633,157.50956268310546,1264,85.91,0.001,113940,26,114049,0.22
4274,-80.50290061,676.5663368225098,158.06380920410157,1265,85.91,0.001,114040,26,114149,0.22
4287,-79.80998589999999,,,1266,84.98,,,26,114156,0.23
4317,-79.06686919,588.1620124816894,157.77823181152343,1267,84.98,0.001,114140,26,114256,0.23
4335,-78.0277947,575.8326070785522,157.06965179443358,1268,84.62,0.001,114200,26,114320,0.24
4359,-77.95014977,505.33117218017577,158.33193359375,1269,84.62,0.001,114300,26,114420,0.24
4391,-78.68617284,690.2080350875855,158.3879409790039,1270,85.33,0.001,114400,26,114520,0.23
4412,-78.58675470000001,830.1138891220093,157.30847625732423,1271,85.33,0.001,114500,25,114620,0.23
4439,-78.42416136000001,585.0365001678467,157.52706451416014,1272,85.33,0.001,114600,25,114720,0.23
4467,-78.94293200000001,486.8404262542725,158.40701904296876,1273,85.33,0.001,114700,25,114820,0.23
4507,-77.50161859,417.5237644195557,159.86280212402343,1274,85.33,0.001,114800,25,114920,0.23
4529,-80.91986154000001,491.1695323944092,160.57157440185546,1275,85.33,0.001,114900,25,115020,0.23
4535,-76.47650098000001,586.4488157272339,157.66246795654297,1276,84.4,0.001,114920,25,115027,0.24
4540,-76.13570470000002,527.206090927124,157.31160736083984,1277,84.37,0.001,114940,25,115041,0.24
4571,-76.81730895000001,592.7676218032836,157.7394821166992,1278,84.37,0.001,115040,25,115141,0.24
4590,-76.54009449000002,664.8394870758057,156.9483444213867,1279,84.33,0.001,115080,25,115200,0.24
4622,-76.54414634000001,752.4423210144043,158.0695053100586,1280,84.33,0.001,115180,24,115300,0.24
4653,-81.26252188,572.4119110107422,158.0472183227539,1281,84.33,0.001,115280,24,115400,0.24
4690,-82.07433590000001,661.8073175430297,159.50224761962892,1282,85.19,0.001,115380,24,115500,0.23
