time/time_elapsed,time/episodes,rollout/ep_rew_mean,train/critic_loss,rollout/success rate,train/n_updates,train/actor_loss,rollout/ep_len_mean,time/fps,time/total timesteps,train/learning_rate
14392,110,-142106.65144803,11495.328330078126,0.01,548100,2745.493291015625,4982.2,38,548220,0.001
14518,111,-142007.89089172,14908.861467285156,0.01,553100,2794.9098583984373,4982.2,38,553220,0.001
14645,112,-140253.58995217,12933.191531982422,0.01,558100,2769.8073779296874,4982.2,38,558220,0.001
14771,113,-139863.52188131,15776.923637695312,0.01,563100,2763.931494140625,4982.2,38,563220,0.001
14899,114,-139710.08447136,11637.4172265625,0.01,568100,2732.7701416015625,4982.2,38,568220,0.001
15031,115,-138791.06068551,19520.08685546875,0.01,573100,2716.876884765625,4982.2,38,573220,0.001
15162,116,-138373.04161891,15588.0571484375,0.01,578100,2734.9120361328123,4982.2,38,578220,0.001
15294,117,-137561.28920856002,20822.89094970703,0.01,583100,2730.24384765625,4982.2,38,583220,0.001
15426,118,-137025.43123744,13444.520678710938,0.01,588100,2754.8626904296875,4982.2,38,588220,0.001
15561,119,-136417.91927657,35798.011931152345,0.01,593100,2695.4183837890623,4982.2,38,593220,0.001
15692,120,-136416.12797076,8872.183488769531,0.01,598100,2728.1861962890625,4982.2,38,598220,0.001
15823,121,-138564.17101323,11353.86177734375,0.01,603100,2721.0662158203127,4982.2,38,603220,0.001
15952,122,-138946.23382513,22708.55401611328,0.01,608100,2690.033095703125,4982.2,38,608220,0.001
16082,123,-139150.33299154,10571.428820800782,0.01,613100,2679.2274267578123,4982.2,38,613220,0.001
16212,124,-139127.70619039,25675.41243652344,0.01,618100,2698.773310546875,4982.2,38,618220,0.001
16341,125,-139349.02459404,13418.274458007812,0.01,623100,2696.5515087890626,4982.2,38,623220,0.001
16467,126,-138983.71427443,31559.842265625,0.01,628100,2684.39486328125,4982.2,38,628220,0.001
16594,127,-139002.42899863,8053.068088378906,0.01,633100,2692.722548828125,4982.2,38,633220,0.001
16720,128,-138570.12160384,48572.12383056641,0.01,638100,2674.7142919921876,4982.2,38,638220,0.001
16847,129,-138771.87209331003,12268.503779296874,0.01,643100,2711.9937158203124,4982.2,38,643220,0.001
16974,130,-139801.17089234001,11718.236042480468,0.01,648100,2689.6035107421876,4982.2,38,648220,0.001
17099,131,-140625.06465968,9848.39046875,0.01,653100,2712.123349609375,4982.2,38,653220,0.001
17225,132,-140494.41450083,10067.805251464844,0.01,658100,2725.3177099609375,4982.2,38,658220,0.001
17352,133,-140900.0922551,10822.134603271485,0.01,663100,2680.9868701171877,4982.2,38,663220,0.001
17478,134,-141211.23329956998,9353.172346191406,0.01,668100,2751.639658203125,4982.2,38,668220,0.001
17605,135,-144623.35845128,9454.746013183594,0.0,673100,2728.3327783203126,5000.0,38,673220,0.001
17731,136,-144879.42115456003,23825.501938476562,0.0,678100,2761.177451171875,5000.0,38,678220,0.001
17858,137,-144914.23518705,22193.41475097656,0.0,683100,2774.2904541015623,5000.0,38,683220,0.001
17985,138,-145939.60565141,13662.77489013672,0.0,688100,2728.51873046875,5000.0,38,688220,0.001
18112,139,-144643.9093207,17160.398967285157,0.0,693100,2759.8817333984375,5000.0,38,693220,0.001
18238,140,-140666.2214867,16651.011328125,0.0,698100,2740.978173828125,5000.0,38,698220,0.001
18364,141,-137859.31977090996,11263.470556640625,0.0,703100,2763.9062646484376,5000.0,38,703220,0.001
