train/actor_loss,rollout/ep_len_mean,time/fps,train/ent_coef,train/ent_coef_loss,train/std,time/time_elapsed,rollout/success rate,train/critic_loss,train/n_updates,rollout/ep_rew_mean,time/episodes,time/total timesteps,train/learning_rate
5.676281452178955,100.0,3,0.9988057017326355,-0.001365305157378316,0.04980786144733429,123,0.0,87.62530517578125,14,-531.66814475,4,400,0.0003
5.884747505187988,100.0,3,0.9928963780403137,-0.01859595626592636,0.0498286709189415,209,0.0,43.67982864379883,34,-540.7255843749999,8,800,0.0003
6.979436874389648,100.0,3,0.9859090447425842,-0.052484046667814255,0.04984816163778305,300,0.0,13.747973442077637,54,-544.2677715833333,12,1200,0.0003
8.181032180786133,100.0,4,0.9785815477371216,-0.09166161715984344,0.04986734315752983,387,0.0,3.641045570373535,74,-547.583899875,16,1600,0.0003
7.773088455200195,100.0,4,0.9710010290145874,-0.14101842045783997,0.04988601431250572,467,0.0,2.30794620513916,94,-549.5143346,20,2000,0.0003
4.027202606201172,100.0,4,0.9634039998054504,-0.2995535731315613,0.04990268498659134,553,0.0,2.3678231239318848,114,-551.0546653333333,24,2400,0.0003
-1.210503101348877,100.0,4,0.9555413722991943,-0.6127239465713501,0.04991763085126877,633,0.0,26.213390350341797,134,-552.4962282142858,28,2800,0.0003
4.446780204772949,100.0,4,0.9480433464050293,-0.38328060507774353,0.049932487308979034,716,0.0,1.5742249488830566,154,-551.61722640625,32,3200,0.0003
4.37904167175293,100.0,4,0.9409148693084717,-0.4631967842578888,0.04994678497314453,797,0.0,0.8831926584243774,174,-553.6513265,36,3600,0.0003
4.228133201599121,100.0,4,0.9338301420211792,-0.5417451858520508,0.04995857924222946,889,0.0,0.8798991441726685,194,-554.9029744,40,4000,0.0003
3.9980006217956543,100.0,4,0.9267867207527161,-0.6119294166564941,0.049970805644989014,990,0.0,0.9368739128112793,214,-553.9553897727272,44,4400,0.0003
4.764624118804932,99.0625,4,0.920634925365448,-0.6130285859107971,0.0499812476336956,1064,0.020833333333333332,1.8552119731903076,232,-549.1789553541666,48,4755,0.0003
4.236417770385742,98.51923076923077,4,0.9143519997596741,-0.7554756999015808,0.04999339580535889,1142,0.038461538461538464,0.5137618780136108,251,-547.1586125384615,52,5123,0.0003
2.9719207286834717,98.625,4,0.9075027108192444,-0.9790453910827637,0.050002362579107285,1225,0.03571428571428571,0.45488741993904114,271,-548.6954331785715,56,5523,0.0003
4.517462730407715,98.71666666666667,4,0.9008709788322449,-0.9141685962677002,0.05001039430499077,1314,0.03333333333333333,0.6669062376022339,291,-548.9523366833333,60,5923,0.0003
5.096524238586426,98.796875,4,0.8944638967514038,-0.8872560858726501,0.05002008005976677,1402,0.03125,1.2926056385040283,311,-549.3110310625,64,6323,0.0003
4.802764892578125,98.86764705882354,4,0.8881006836891174,-1.039739727973938,0.050030749291181564,1489,0.029411764705882353,0.8704519867897034,331,-549.8721332794117,68,6723,0.0003
5.572645664215088,98.93055555555556,4,0.881912112236023,-1.0837883949279785,0.05004020780324936,1573,0.027777777777777776,0.9162082672119141,351,-550.6705940694444,72,7123,0.0003
4.872991561889648,98.98684210526316,4,0.8757089972496033,-1.2122846841812134,0.0500476211309433,1657,0.02631578947368421,0.844989538192749,371,-550.999668368421,76,7523,0.0003
3.827500343322754,99.0375,4,0.8695211410522461,-1.5769779682159424,0.05005359649658203,1731,0.025,2.1334822177886963,391,-551.7184714875,80,7923,0.0003
5.297636032104492,99.08333333333333,4,0.8634451627731323,-1.3424253463745117,0.0500594899058342,1814,0.023809523809523808,0.6224533319473267,411,-551.8568088095237,84,8323,0.0003
5.71397590637207,99.125,4,0.8574742078781128,-1.4485561847686768,0.05006503313779831,1891,0.022727272727272728,0.815735936164856,431,-551.9588821250001,88,8723,0.0003
6.495645523071289,99.16304347826087,4,0.851556658744812,-1.3595547676086426,0.05007101222872734,1970,0.021739130434782608,1.1291320323944092,451,-552.8140433152174,92,9123,0.0003
6.467972278594971,99.19791666666667,4,0.8459360003471375,-1.532244086265564,0.050078343600034714,2063,0.020833333333333332,0.8463895320892334,471,-553.4293076354166,96,9523,0.0003
6.186356067657471,99.23,4,0.8401119709014893,-1.7609333992004395,0.0500822588801384,2163,0.02,0.6307436227798462,491,-553.73504944,100,9923,0.0003
6.280375957489014,99.23,4,0.8344051837921143,-1.7405210733413696,0.050085023045539856,2243,0.02,0.777929425239563,511,-555.2093491,104,10323,0.0003
6.737715721130371,99.23,4,0.8287364840507507,-1.8249551057815552,0.050087377429008484,2334,0.02,0.6087721586227417,531,-555.83979416,108,10723,0.0003
7.5177001953125,99.23,4,0.8232643008232117,-1.8127917051315308,0.050092123448848724,2414,0.02,0.6072878837585449,551,-556.06128773,112,11123,0.0003
6.642353057861328,99.12,4,0.817963719367981,-2.0395965576171875,0.050097160041332245,2494,0.03,0.6700793504714966,570,-555.56630634,116,11512,0.0003
7.148681163787842,99.12,4,0.8125975131988525,-2.1739046573638916,0.050102900713682175,2579,0.03,1.2234220504760742,590,-555.6406791999999,120,11912,0.0003
8.415989875793457,99.12,4,0.8072178363800049,-1.9837501049041748,0.05010540038347244,2660,0.03,0.6233155131340027,610,-555.7870207899999,124,12312,0.0003
7.540734767913818,99.12,4,0.8019053339958191,-2.3530232906341553,0.050107598304748535,2745,0.03,0.669568657875061,630,-556.03784871,128,12712,0.0003
9.931821823120117,99.12,4,0.7965039610862732,-1.887019157409668,0.05010925978422165,2827,0.03,4.252137660980225,650,-556.39365849,132,13112,0.0003
