train/actor_loss,rollout/ep_len_mean,rollout/success rate,time/fps,train/critic_loss,train/n_updates,train/learning_rate,time/episodes,rollout/ep_rew_mean,time/total timesteps,time/time_elapsed
,48.68,0.61,285,,,,6727,-43.78992572,405068,1418
184.69707183837892,47.95,0.62,284,1081.6733669281007,404980,0.001,6728,-43.185779999999994,405095,1424
184.35104064941407,48.89,0.61,280,1217.3757957458497,405080,0.001,6729,-43.48801947999999,405195,1445
,48.83,0.61,279,,,,6730,-43.017937280000005,405200,1447
184.71802673339843,47.89,0.62,279,1497.9008178710938,405100,0.001,6731,-41.997745910000006,405206,1450
183.87538299560546,47.93,0.61,275,1016.408805847168,405200,0.001,6732,-41.72917648000001,405306,1470
,47.72,0.61,275,,,,6733,-41.673634250000006,405310,1473
185.7743667602539,48.5,0.6,271,1261.8859840393065,405300,0.001,6734,-41.91058367000001,405410,1493
,47.6,0.61,270,,,,6735,-41.146979380000005,405420,1496
183.44373474121093,47.6,0.61,267,1568.6274185180664,405400,0.001,6736,-42.02988482000001,405520,1514
187.22675018310548,47.61,0.61,267,1055.4906860351562,405420,0.001,6737,-42.02911134,405530,1517
184.307861328125,47.38,0.61,265,1321.0687767028808,405440,0.001,6738,-40.72507061000001,405560,1526
184.22981719970704,47.41,0.61,265,1175.4861297607422,405460,0.001,6739,-41.007720590000005,405570,1529
,47.31,0.61,264,,,,6740,-41.02296171,405574,1531
181.7607681274414,48.2,0.6,259,1446.2379302978516,405560,0.001,6741,-41.59258595,405674,1561
186.90355682373047,47.94,0.6,255,870.85927734375,405580,0.001,6742,-40.31316896,405683,1585
184.94509887695312,48.54,0.59,251,1374.0803619384765,405680,0.001,6743,-40.997330410000004,405783,1612
187.5546676635742,47.76,0.6,250,1163.8713775634765,405700,0.001,6744,-40.1936771,405805,1619
,46.84,0.61,250,,,,6745,-37.96311699,405813,1622
186.2175552368164,46.92,0.61,249,1104.0046272277832,405720,0.001,6746,-37.99935843,405827,1627
,45.98,0.62,249,,,,6747,-37.30631484,405833,1629
185.04749298095703,45.98,0.62,245,904.0577472686767,405820,0.001,6748,-36.86149525,405933,1652
184.6678268432617,45.98,0.62,242,1181.8831939697266,405920,0.001,6749,-36.987467650000006,406033,1673
186.47179260253907,46.01,0.62,242,1341.6654846191407,405940,0.001,6750,-37.179148360000006,406043,1675
186.14924011230468,46.89,0.61,239,1066.6835636138917,406040,0.001,6751,-37.9662149,406143,1698
,46.89,0.61,238,,,,6752,-37.95406151,406152,1702
,45.93,0.62,238,,,,6753,-36.980869260000006,406156,1704
188.86618194580078,45.04,0.63,237,1258.95615234375,406060,0.001,6754,-35.605078920000004,406167,1708
,44.15,0.64,237,,,,6755,-34.39640388,406178,1713
184.8847900390625,44.15,0.64,234,1325.334841156006,406160,0.001,6756,-34.81153527000001,406278,1733
186.68241271972656,44.16,0.64,233,1262.3675567626954,406180,0.001,6757,-34.814652300000006,406287,1736
,44.15,0.64,233,,,,6758,-34.81450111,406292,1740
184.50867462158203,44.71,0.64,231,1035.7095680236816,406260,0.001,6759,-35.41627532,406364,1755
190.30628204345703,45.54,0.63,228,1305.2517650604248,406360,0.001,6760,-35.97603351,406464,1776
188.69276275634766,45.54,0.63,226,1404.235922241211,406460,0.001,6761,-34.19834312,406564,1795
187.3813247680664,44.71,0.64,225,1292.6433143615723,406480,0.001,6762,-30.60320669,406581,1804
,44.36,0.64,224,,,,6763,-30.24261664,406589,1807
185.49720764160156,44.4,0.64,223,1060.7324142456055,406500,0.001,6764,-30.390342020000002,406603,1817
,44.36,0.64,223,,,,6765,-29.835470570000002,406611,1820
187.6697555541992,43.48,0.65,222,1335.2360908508301,406520,0.001,6766,-28.9946093,406623,1824
187.44597320556642,43.48,0.65,220,1173.3053848266602,406620,0.001,6767,-28.64664461,406723,1847
,43.49,0.65,219,,,,6768,-28.728993750000004,406732,1857
188.5743377685547,43.58,0.65,218,1309.3247497558593,406640,0.001,6769,-28.79185246,406747,1860
,43.6,0.65,218,,,,6770,-28.742607539999998,406756,1864
189.884765625,43.87,0.65,217,1509.3978675842286,406680,0.001,6771,-28.94154242,406788,1873
185.48383483886718,44.68,0.64,214,1341.4592018127441,406780,0.001,6772,-29.560323199999992,406888,1895
,44.67,0.64,213,,,,6773,-29.519976729999993,406895,1903
,43.71,0.65,213,,,,6774,-28.44147999999999,406899,1904
187.06604614257813,44.53,0.64,210,1668.7038635253907,406880,0.001,6775,-29.60799929,406999,1934
188.73217163085937,45.44,0.63,207,921.7022148132324,406980,0.001,6776,-30.397197259999995,407099,1961
188.06152954101563,45.52,0.63,207,1135.391930770874,407000,0.001,6777,-30.536204469999998,407110,1965
,45.5,0.63,206,,,,6778,-30.74074347,407119,1974
188.7005828857422,44.55,0.64,205,1302.8088569641113,407020,0.001,6779,-30.13432131,407124,1982
186.01573638916017,44.61,0.64,204,1805.930014038086,407040,0.001,6780,-29.945212350000006,407143,1988
192.09632720947266,44.61,0.64,202,1000.4079872131348,407140,0.001,6781,-31.036704840000002,407243,2014
,43.67,0.65,201,,,,6782,-30.23035379,407249,2016
,43.62,0.65,201,,,,6783,-30.160085200000005,407254,2024
187.09180908203126,44.48,0.64,198,1155.373358154297,407240,0.001,6784,-31.018379749999994,407354,2052
187.54465942382814,43.68,0.65,197,1743.8732559204102,407260,0.001,6785,-28.85092431,407374,2057
190.02291259765624,43.54,0.65,197,1243.30111618042,407280,0.001,6786,-28.752355750000003,407387,2062
,43.51,0.65,197,,,,6787,-28.737381610000003,407391,2064
187.1178955078125,44.41,0.64,194,1364.6472454071045,407380,0.001,6788,-30.457147879999997,407491,2090
188.49071197509767,44.41,0.64,192,1350.9668113708497,407480,0.001,6789,-30.09290861,407591,2115
189.79905548095704,45.27,0.63,189,1485.5482467651368,407580,0.001,6790,-30.875946049999996,407691,2150
188.10089569091798,46.11,0.62,187,1438.9858016967773,407680,0.001,6791,-31.459419630000003,407791,2180
,45.18,0.63,186,,,,6792,-29.89585009,407798,2183
188.32075958251954,45.18,0.63,185,1584.4695053100586,407700,0.001,6793,-29.90123528,407803,2195
,44.3,0.64,185,,,,6794,-28.900204,407815,2198
188.52472229003905,43.86,0.64,184,1212.7759399414062,407720,0.001,6795,-28.63491468,407823,2206
,42.9,0.65,184,,,,6796,-27.851576000000005,407827,2208
190.63175048828126,42.04,0.66,184,1325.6613342285157,407740,0.001,6797,-27.555287310000004,407841,2212
191.62330627441406,42.79,0.65,182,1453.3338321685792,407840,0.001,6798,-27.850794910000005,407941,2239
,41.96,0.66,181,,,,6799,-27.27558069,407958,2244
187.65386810302735,41.64,0.66,181,1810.065749359131,407880,0.001,6800,-27.818830410000004,407988,2252
,41.67,0.66,180,,,,6801,-27.82593339,407996,2255
191.06847076416017,42.57,0.65,178,1079.4701179504395,407980,0.001,6802,-28.40496632,408096,2287
,41.6,0.66,178,,,,6803,-27.50514723,408099,2289
189.0804641723633,41.6,0.66,177,1746.9581581115722,408000,0.001,6804,-27.582351019999997,408106,2298
,41.68,0.66,177,,,,6805,-27.47167249,408117,2302
188.1397689819336,41.68,0.66,175,1614.127680206299,408100,0.001,6806,-28.17858482,408217,2325
190.15769805908204,41.59,0.66,175,1057.608674621582,408120,0.001,6807,-28.200323730000004,408227,2329
