rollout/ep_len_mean,time/episodes,time/fps,time/time_elapsed,train/critic_loss,train/n_updates,time/total timesteps,rollout/success rate,train/actor_loss,rollout/ep_rew_mean,train/learning_rate
100.0,4,3,118,0.3476611476391554,280,400,0.0,8.925648164749145,-544.89901275,0.001
100.0,8,3,258,1.0935796290636062,680,800,0.0,9.742277002334594,-390.51691162500003,0.001
100.0,12,3,395,1.2669138982892036,1080,1200,0.0,10.086800861358643,-374.526945,0.001
100.0,16,3,508,2.1538859069347382,1480,1600,0.0,10.625993919372558,-337.54371837499997,0.001
100.0,20,3,610,1.1012469872832298,1880,2000,0.0,9.492637062072754,-284.06821074999993,0.001
100.0,24,3,717,0.898607674241066,2280,2400,0.0,8.211427879333495,-256.7492485,0.001
100.0,28,3,845,1.276895433664322,2680,2800,0.0,7.2692386388778685,-243.7090608571429,0.001
100.0,32,3,981,1.391537943482399,3080,3200,0.0,6.43102490901947,-221.2933673125,0.001
100.0,36,3,1101,1.2314653351902962,3480,3600,0.0,5.844127559661866,-210.91036180555554,0.001
100.0,40,3,1216,0.8125811770558358,3880,4000,0.0,5.267546606063843,-194.74302919999997,0.001
98.18181818181819,44,3,1328,1.008746547996998,4200,4320,0.022727272727272728,5.321276140213013,-186.94435509090908,0.001
96.39583333333333,48,3,1426,1.1450071141123772,4520,4627,0.041666666666666664,4.96395697593689,-175.2725558333333,0.001
94.82692307692308,52,3,1539,0.7486479386687279,4820,4931,0.057692307692307696,4.641502261161804,-167.3078809807692,0.001
