time/total timesteps,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,rollout/success rate,time/episodes,train/n_updates,time/time_elapsed,train/critic_loss,train/actor_loss
601366,0.001,50.62,-57.26312345,1451,0.58,10569,601260,414,5209.0341796875,316.2914184570312
601466,0.001,51.32,-57.05310496000001,1361,0.57,10570,601360,441,4723.498272705078,310.5354949951172
601472,,51.33,-56.90041800000001,1354,0.57,10571,,444,,
601481,0.001,50.42,-56.54378648,1326,0.58,10572,601380,453,5280.703948974609,307.1845001220703
601488,,49.49,-55.57224852999999,1317,0.59,10573,,456,,
601493,,49.41,-55.54494951999999,1295,0.59,10574,,464,,
601593,0.001,50.36,-57.84366763,1209,0.58,10575,601480,497,4804.606384277344,308.32794494628905
601598,,50.4,-57.85159449,1204,0.58,10576,,499,,
601620,0.001,50.6,-58.030573200000006,1177,0.58,10577,601500,510,4428.455258178711,302.28997192382815
601623,0.001,49.63,-57.40549919,1161,0.59,10578,601520,517,4254.603802490235,311.705615234375
601669,0.001,50.05,-58.03328002,1129,0.59,10579,601560,532,5086.836724853516,303.8324005126953
601682,0.001,49.18,-57.45106425000001,1118,0.6,10580,601580,537,5538.310485839844,307.15770568847654
601691,,49.17,-57.49793271000001,1112,0.6,10581,,540,,
601791,0.001,50.11,-57.95346901,1045,0.59,10582,601680,575,6333.2709686279295,310.67835388183596
601825,0.001,50.4,-58.53574344,1028,0.59,10583,601720,585,5702.422161865235,309.247900390625
601836,,50.37,-58.80445175,1023,0.59,10584,,588,,
601851,0.001,50.46,-58.76578678,1013,0.59,10585,601740,593,5162.496472167969,309.55498657226565
601881,0.001,49.76,-59.57238353,1001,0.6,10586,601780,601,4297.522155761719,311.3847381591797
601981,0.001,50.29,-60.43130394,955,0.59,10587,601880,629,5432.085900878907,302.1692199707031
602081,0.001,51.19,-61.70021213,906,0.58,10588,601980,664,5697.574871826172,309.1483642578125
602181,0.001,52.1,-62.25077972,879,0.57,10589,602080,685,4393.796868896485,310.1479949951172
602281,0.001,52.1,-57.62130423000001,846,0.57,10590,602180,711,6984.777062988282,308.15911865234375
602381,0.001,53.06,-58.52329725,817,0.56,10591,602280,737,5585.209509277343,305.6684814453125
602389,,52.14,-58.08158079,814,0.57,10592,,739,,
602489,0.001,53.07,-58.68966685,780,0.56,10593,602380,771,3494.999418640137,308.29273376464846
602493,,52.11,-57.64077644000001,778,0.57,10594,,774,,
602593,0.001,52.96,-58.43985663,738,0.56,10595,602480,815,4063.1933166503904,312.5359161376953
602693,0.001,52.96,-55.183704739999996,713,0.56,10596,602580,844,4145.653121948242,309.73615112304685
602793,0.001,53.86,-56.42739421,692,0.55,10597,602680,870,5336.6154113769535,317.943896484375
602893,0.001,53.86,-56.122677089999996,670,0.55,10598,602780,899,4374.645486450196,312.63548583984374
602896,,53.85,-56.167095630000006,664,0.55,10599,,906,,
602996,0.001,54.22,-55.61498951000001,642,0.54,10600,602880,938,6501.644943237305,303.2889007568359
603000,,53.26,-55.01971095000001,641,0.55,10601,,940,,
603015,0.001,52.41,-55.059871210000004,638,0.56,10602,602900,944,5768.541204833984,304.721435546875
603115,0.001,53.37,-55.70469439000001,621,0.55,10603,603000,970,4276.585195922851,305.0728698730469
603142,0.001,53.45,-55.37715707,615,0.55,10604,603040,979,3977.767904663086,306.4153198242187
603150,,52.53,-54.78309657999999,613,0.56,10605,,983,,
603174,0.001,51.77,-54.30144329999999,605,0.57,10606,603060,995,3784.5327178955076,306.9964233398438
603186,0.001,50.99,-53.7790134,603,0.57,10607,603080,998,3841.7657257080077,311.1359039306641
603286,0.001,50.99,-53.19582411,585,0.57,10608,603180,1030,5211.819076538086,311.0367431640625
603323,0.001,51.21,-53.40378731,579,0.57,10609,603220,1041,4952.626504516602,309.4094757080078
603357,0.001,51.45,-55.25681456,574,0.57,10610,603240,1051,3980.7162658691404,320.4246307373047
603457,0.001,51.45,-55.349485660000006,562,0.57,10611,603340,1072,4208.510150146484,312.5781585693359
603557,0.001,51.45,-55.21747246000001,551,0.57,10612,603440,1094,4196.472689819336,310.19838562011716
603564,0.001,50.52,-51.32643447000001,549,0.58,10613,603460,1097,3778.7472900390626,312.2228576660156
603569,,50.47,-51.309092820000004,548,0.58,10614,,1099,,
603596,0.001,50.69,-51.534644400000005,545,0.58,10615,603480,1105,4623.8587890625,312.7050354003906
603696,0.001,50.69,-51.859831330000006,531,0.58,10616,603580,1135,5065.031295776367,318.8136688232422
603796,0.001,50.69,-54.53385960000001,517,0.58,10617,603680,1165,5416.861819458008,309.73155517578124
603896,0.001,51.65,-55.21301942000001,502,0.57,10618,603780,1202,6132.234790039062,317.8111572265625
603909,0.001,50.78,-51.42747879,497,0.58,10619,603800,1212,4264.301461791993,310.0320770263672
603914,,50.72,-51.05929583000001,492,0.58,10620,,1225,,
604014,0.001,51.65,-52.58190933000001,480,0.57,10621,603900,1255,3724.922088623047,313.3596130371094
604020,,51.68,-52.58804123000001,480,0.57,10622,,1258,,
604120,0.001,52.64,-53.39512277000001,469,0.56,10623,604000,1286,4746.582316589355,311.33811950683594
604142,0.001,51.86,-53.50236285000001,467,0.57,10624,604040,1293,5875.542822265625,309.7966339111328
604242,0.001,52.82,-57.493831960000016,458,0.56,10625,604140,1317,6130.613232421875,309.4001495361328
604244,,52.73,-57.37494342000001,457,0.56,10626,,1319,,
604344,0.001,52.73,-57.26214046,448,0.56,10627,604240,1347,5928.565417480469,302.2009338378906
604444,0.001,52.73,-57.21019968,437,0.56,10628,604340,1381,4906.663299560547,308.3089172363281
604544,0.001,53.37,-57.87654249000001,428,0.55,10629,604440,1411,5883.171990966797,298.9770843505859
