train/critic_loss,time/time_elapsed,rollout/ep_len_mean,rollout/success rate,time/episodes,time/fps,time/total timesteps,train/actor_loss,train/learning_rate,rollout/ep_rew_mean,train/n_updates
10852.717681884766,10150,11078.69,0.48,1049,826,8390142,1967.5486889648437,0.001,-208839.08252969998,8390000
7473.34148071289,10533,11194.78,0.47,1050,797,8405142,1958.3652001953126,0.001,-210310.76686764997,8405000
16215.314425048828,10642,11087.42,0.48,1051,790,8409406,1961.5297998046874,0.001,-206957.44447756998,8409300
12366.69393798828,11027,11112.97,0.47,1052,763,8424406,1949.7905078125,0.001,-207155.57738749997,8424300
10840.523381347657,11195,11077.04,0.47,1053,753,8430987,1948.5324462890626,0.001,-206616.03000138997,8430800
14687.533791503905,11579,11077.04,0.47,1054,729,8445987,1961.7576293945312,0.001,-206450.65311331005,8445800
8434.004094238282,11963,11211.55,0.46,1055,707,8460987,1949.631474609375,0.001,-208305.30979498,8460800
11138.827817382813,12345,11353.07,0.45,1056,686,8475987,2030.0535424804686,0.001,-210708.42740344998,8475800
12122.451918945313,12729,11462.74,0.44,1057,667,8490987,1984.6601953125,0.001,-212313.22784158,8490800
13139.220854492187,12779,11410.63,0.44,1058,664,8492956,1974.08181640625,0.001,-211588.13703456998,8492800
8198.853389892578,13163,11410.63,0.44,1059,646,8507956,1957.397646484375,0.001,-209510.96301887996,8507800
5944.792961425781,13419,11392.9,0.44,1060,634,8517967,1995.8522875976562,0.001,-208940.10334107996,8517800
12305.335552978515,13757,11376.12,0.45,1061,620,8531289,2004.8458325195313,0.001,-208788.91391896,8531100
19664.020538330078,14144,11376.12,0.45,1062,604,8546289,2144.8043920898435,0.001,-238402.30850503995,8546100
9974.577463378906,14311,11291.81,0.46,1063,597,8552858,2163.9741284179686,0.001,-237079.75375528,8552700
55881.67265625,14695,11291.81,0.46,1064,583,8567858,2186.298681640625,0.001,-236901.16188546,8567700
14253.57389038086,14888,11217.79,0.47,1065,575,8575456,2156.8006787109375,0.001,-235881.37006535,8575300
18019.83595825195,15051,11132.01,0.48,1066,570,8581878,2223.00146484375,0.001,-234979.89664428998,8581700
23559.293708496094,15131,11013.23,0.49,1067,567,8585000,2202.60140625,0.001,-233241.96446749,8584800
10297.176182861329,15514,11089.33,0.48,1068,554,8600000,2180.6018212890626,0.001,-235010.3164973,8599800
20026.600080566408,15896,11089.33,0.48,1069,541,8615000,2234.278679199219,0.001,-234544.34307983,8614800
8998.164671630859,16281,11171.5,0.47,1070,530,8630000,2210.5938427734377,0.001,-235443.04749954998,8629800
36173.10457275391,16666,11279.89,0.46,1071,518,8645000,2266.5006591796873,0.001,-236552.41132801998,8644800
20507.676462402345,16824,11192.18,0.47,1072,514,8651229,2227.59814453125,0.001,-235498.97526684002,8651100
16367.643712158204,16931,11084.15,0.48,1073,511,8655426,2247.8392822265623,0.001,-234031.80768601,8655300
10618.61987548828,17314,11104.18,0.47,1074,500,8670426,2233.155202636719,0.001,-234285.29983399998,8670300
24476.18885986328,17699,11104.18,0.47,1075,490,8685426,2230.0226391601564,0.001,-234346.52794087,8685300
13800.283186035156,17817,11097.4,0.47,1076,487,8690027,2291.7012109375,0.001,-237185.46576311,8689900
10912.22133544922,18201,11097.4,0.47,1077,478,8705027,2237.5693969726562,0.001,-237052.64966708,8704900
24735.234458007813,18583,11097.4,0.47,1078,469,8720027,2326.773447265625,0.001,-246082.08727003,8719900
15458.814897460938,18675,10983.69,0.48,1079,467,8723656,2329.391579589844,0.001,-244338.10796079002,8723500
12148.076706542968,19060,10983.69,0.48,1080,458,8738656,2301.98966796875,0.001,-244648.69400648001,8738500
11377.73919921875,19453,10983.69,0.48,1081,449,8753656,2352.9087451171877,0.001,-249953.17700524002,8753500
