train/critic_loss,train/ent_coef,train/ent_coef_loss,rollout/success rate,train/learning_rate,time/total timesteps,time/time_elapsed,rollout/ep_len_mean,train/n_updates,time/episodes,time/fps,train/std,rollout/ep_rew_mean,train/actor_loss
45.92774200439453,0.0371701642870903,-1.1155736446380615,0.04,0.0003,400300,107,97.18,20009,4084,3710,0.04955308139324188,-54.863542589999994,50.389732360839844
30.777400970458984,0.03716163709759712,-1.7529265880584717,0.04,0.0003,400686,281,97.89,20029,4088,1425,0.04955444857478142,-55.93372131,49.864933013916016
61.09752655029297,0.037125363945961,-0.7779748439788818,0.04,0.0003,401086,459,97.89,20049,4092,872,0.04955340921878815,-55.48632546000001,48.611900329589844
1.9329473972320557,0.0371590256690979,-3.36053204536438,0.04,0.0003,401486,633,97.89,20069,4096,634,0.049559012055397034,-56.047040419999995,49.47052764892578
28.63848876953125,0.03709767013788223,1.3799108266830444,0.04,0.0003,401886,809,97.89,20089,4100,496,0.049558453261852264,-56.36123090000001,50.31132888793945
9.743631362915039,0.03709189593791962,-0.3907179534435272,0.04,0.0003,402286,993,97.89,20109,4104,404,0.04956158995628357,-56.52631512,49.871856689453125
7.34071159362793,0.03706683963537216,-4.652164936065674,0.04,0.0003,402686,1167,97.89,20129,4108,344,0.04956236109137535,-55.69461872,49.64851379394531
24.27273178100586,0.03697745129466057,1.176878571510315,0.04,0.0003,403086,1368,97.89,20149,4112,294,0.04955972358584404,-55.98238597999999,49.2830810546875
28.221355438232422,0.03691508620977402,1.5575661659240723,0.04,0.0003,403426,1497,98.21,20166,4116,269,0.0495578870177269,-55.69624829,50.116722106933594
31.98935317993164,0.036817390471696854,2.6922497749328613,0.04,0.0003,403826,1675,98.21,20186,4120,241,0.049552202224731445,-55.873275330000006,49.529571533203125
46.95018768310547,0.036838725209236145,1.2180161476135254,0.04,0.0003,404226,1811,98.21,20206,4124,223,0.04955395683646202,-56.288369890000006,49.54833984375
27.100000381469727,0.03686429560184479,-3.566084384918213,0.04,0.0003,404626,1966,98.21,20226,4128,205,0.049558140337467194,-56.137612229999995,50.082542419433594
8.767228126525879,0.036861974745988846,1.6791912317276,0.04,0.0003,405026,2120,98.21,20246,4132,190,0.04955986887216568,-55.23133691000001,49.14453125
15.682981491088867,0.03681521117687225,-2.4204001426696777,0.05,0.0003,405369,2262,97.64,20263,4136,179,0.04955565556883812,-55.08256382000001,49.849281311035156
12.752360343933105,0.03670170530676842,1.3767714500427246,0.05,0.0003,405769,2424,97.64,20283,4140,167,0.04954932630062103,-55.627822210000005,49.13848114013672
59.760047912597656,0.036657050251960754,1.766681432723999,0.04,0.0003,406169,2583,98.58,20303,4144,157,0.049549978226423264,-55.867805649999994,50.26225280761719
18.283023834228516,0.03660542517900467,0.6412690877914429,0.04,0.0003,406569,2753,98.58,20323,4148,147,0.0495491623878479,-55.017663809999995,49.319602966308594
1.3735333681106567,0.036574073135852814,1.021445393562317,0.04,0.0003,406969,2911,98.58,20343,4152,139,0.049548886716365814,-54.65805778,49.45486068725586
27.083698272705078,0.036551084369421005,-5.3035759925842285,0.04,0.0003,407288,3067,97.88,20359,4156,132,0.04954798147082329,-55.125836420000006,49.612449645996094
1.669310450553894,0.03654578700661659,-0.289336621761322,0.04,0.0003,407688,3236,97.88,20379,4160,125,0.04954838380217552,-55.21068483,50.28192901611328
27.332035064697266,0.03660073131322861,-3.0195672512054443,0.04,0.0003,408088,3393,97.88,20399,4164,120,0.049552496522665024,-55.291693859999995,49.79338073730469
23.21535301208496,0.03662140667438507,-2.1903107166290283,0.04,0.0003,408488,3553,97.88,20419,4168,114,0.04955604299902916,-55.10567285000001,49.072975158691406
17.02701187133789,0.036576107144355774,-2.839419364929199,0.04,0.0003,408888,3720,97.88,20439,4172,109,0.04955362528562546,-54.950077920000005,49.29163360595703
12.90029525756836,0.03654901310801506,1.6019890308380127,0.05,0.0003,409242,3855,97.42,20457,4176,106,0.04955468326807022,-54.031029540000006,49.41314697265625
18.79823875427246,0.036544185131788254,-1.4569604396820068,0.05,0.0003,409642,4030,97.42,20477,4180,101,0.04955826699733734,-53.644811340000004,49.02490234375
15.589385986328125,0.03654801845550537,-2.187904119491577,0.05,0.0003,410042,4169,97.42,20497,4184,98,0.04956097528338432,-53.78779795000001,49.25310134887695
79.2520751953125,0.03648964688181877,-1.5725798606872559,0.05,0.0003,410422,4325,97.36,20516,4188,94,0.049554482102394104,-53.51985025999999,48.795204162597656
38.2198486328125,0.036443889141082764,1.2960331439971924,0.06,0.0003,410761,4473,96.75,20533,4192,91,0.049550529569387436,-53.248597450000005,49.394386291503906
41.9278678894043,0.0364445336163044,-3.9715452194213867,0.06,0.0003,411161,4653,96.75,20553,4196,88,0.04955139383673668,-52.38702281,49.28351974487305
13.640193939208984,0.036416374146938324,-0.10630780458450317,0.06,0.0003,411561,4822,96.75,20573,4200,85,0.04955274984240532,-51.47177505999999,49.7600212097168
11.442378997802734,0.036355309188365936,-1.0836257934570312,0.06,0.0003,411961,4966,96.75,20593,4204,82,0.049552615731954575,-51.282843650000004,48.946327209472656
37.47504425048828,0.03636063262820244,-5.342467308044434,0.06,0.0003,412361,5129,96.75,20613,4208,80,0.04955735802650452,-51.85658688999998,48.73652648925781
40.819725036621094,0.03635207563638687,2.1391305923461914,0.07,0.0003,412706,5267,96.2,20630,4212,78,0.049559127539396286,-51.539460749999996,49.057220458984375
28.4801025390625,0.03632910177111626,3.548767566680908,0.06,0.0003,413106,5428,96.8,20650,4216,76,0.04955800622701645,-52.618848750000005,49.140201568603516
