rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/approx_kl,train/loss,train/explained_variance,train/clip_range,train/entropy_loss,train/std,train/value_loss,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/clip_fraction
-564.3031787599999,100.0,400100,1,16,24290,,,,,,,,,,,
-563.9822063,100.0,400200,2,34,11714,1.9350796,10977.4033203125,-0.0014743804931640625,0.2,-7.61865463256836,0.862036406993866,22494.378125,0.0003,20000,0.15250256776780588,0.6739999771118164
-564.0503253,100.0,400300,3,56,7060,0.9727268,9197.673828125,-0.012732148170471191,0.2,-7.618942642211914,0.8620727062225342,19331.7953125,0.0003,20005,0.16043814998865855,0.6099999904632568
-563.8931267200002,100.0,400400,4,78,5114,0.43783638,8660.4912109375,0.010491371154785156,0.2,-7.619162464141846,0.862099826335907,18350.8359375,0.0003,20010,0.05568038272431295,0.5199999868869781
-563.5791497700001,100.0,400500,5,99,4023,0.89859605,7531.88818359375,0.019854307174682617,0.2,-7.61935863494873,0.8621332049369812,16028.2111328125,0.0003,20015,0.11812314006965607,0.6159999787807464
-563.2473995100002,100.0,400600,6,120,3311,0.7956427,6644.51953125,-0.04189014434814453,0.2,-7.619604969024659,0.8621683120727539,14132.7537109375,0.0003,20020,0.12426372170448304,0.6199999809265136
-562.95841168,100.0,400700,7,140,2852,0.6679132,6256.03173828125,0.022619664669036865,0.2,-7.619850826263428,0.862208366394043,13319.3392578125,0.0003,20025,0.17733997363247908,0.551999980211258
-563.1292671599999,100.0,400800,8,164,2431,0.67336255,5428.5400390625,-0.004313468933105469,0.2,-7.620169639587402,0.8622588515281677,11488.8990234375,0.0003,20030,0.07557699377648533,0.5959999859333038
-563.10507791,100.0,400900,9,184,2168,0.75060624,4915.2373046875,-0.018834352493286133,0.2,-7.62047758102417,0.8622886538505554,10369.0423828125,0.0003,20035,0.10385724520601798,0.5679999828338623
-563.19498117,100.0,401000,10,212,1884,0.82375133,4102.599609375,0.02539271116256714,0.2,-7.620709705352783,0.8623455762863159,8556.559375,0.0003,20040,0.16168670195329468,0.6039999842643737
-563.30719142,100.0,401100,11,231,1732,0.22873862,4508.0439453125,0.018559753894805908,0.2,-7.621219158172607,0.8624240159988403,9305.215625,0.0003,20045,0.052589829140924846,0.4879999965429306
-562.62298077,100.0,401200,12,254,1575,0.16263385,3736.427978515625,-0.04540395736694336,0.2,-7.62173376083374,0.8624843955039978,7621.47548828125,0.0003,20050,0.029673166912107262,0.4119999945163727
-562.77189824,100.0,401300,13,280,1428,0.08250305,2844.8916015625,0.022235870361328125,0.2,-7.621913909912109,0.8624228239059448,5741.5537109375,0.0003,20055,-0.005160112343946821,0.3299999989569187
-562.68020523,100.0,401400,14,301,1329,0.044944387,3299.794677734375,-0.003960847854614258,0.2,-7.621831798553467,0.8627018928527832,6628.08662109375,0.0003,20060,0.006666260938800406,0.28799999952316285
-563.09180222,100.0,401500,15,325,1233,0.104026526,2773.2265625,0.04293525218963623,0.2,-7.624631118774414,0.8630945086479187,5593.2916015625,0.0003,20065,0.007185371622472303,0.39999999701976774
-563.07286486,100.0,401600,16,346,1160,0.1386938,2988.5498046875,0.020464420318603516,0.2,-7.626356601715088,0.8631159663200378,5994.6890625,0.0003,20070,-0.003552294272230938,0.4739999890327454
-563.27791555,100.0,401700,17,371,1080,0.13658172,2776.812744140625,0.00730210542678833,0.2,-7.62500410079956,0.8626184463500977,5557.29091796875,0.0003,20075,0.0402637639635941,0.4059999883174896
-563.1641501400001,100.0,401800,18,393,1020,0.20043682,2542.919921875,-0.05125844478607178,0.2,-7.621545886993408,0.8621262311935425,5105.6447265625,0.0003,20080,0.09273493072250857,0.5339999914169311
-563.35745937,100.0,401900,19,408,983,0.084794536,2427.18359375,0.009047150611877441,0.2,-7.618404579162598,0.8616761565208435,4875.7189453125,0.0003,20085,0.00599799653282389,0.37199999392032623
-563.84334715,100.0,402000,20,439,915,0.028379982,2923.399169921875,0.0025653839111328125,0.2,-7.615355110168457,0.8611811399459839,5844.7212890625,0.0003,20090,0.01780134452274069,0.35999998450279236
-563.82671052,100.0,402100,21,462,869,0.11514967,3075.1220703125,0.006616830825805664,0.2,-7.611122894287109,0.8604017496109009,6153.99814453125,0.0003,20095,0.032400701343431135,0.5419999837875367
-564.30669985,100.0,402200,22,476,843,0.37166175,2547.1533203125,0.0020232796669006348,0.2,-7.606024742126465,0.8598300814628601,5111.93046875,0.0003,20100,0.060122910037171094,0.6120000004768371
-564.6959167699999,100.0,402300,23,492,816,0.12341023,3016.559814453125,0.01057809591293335,0.2,-7.602604007720947,0.8594395518302917,6041.8728515625,0.0003,20105,0.0029362410117755645,0.5619999885559082
-564.63811381,100.0,402400,24,512,785,0.08786485,2925.33740234375,-0.003914356231689453,0.2,-7.600074291229248,0.8591785430908203,5851.96650390625,0.0003,20110,-0.012345909496070817,0.4159999847412109
-564.39183323,100.0,402500,25,526,764,0.18396086,2518.152099609375,0.01377636194229126,0.2,-7.598497486114502,0.8590387105941772,5037.9423828125,0.0003,20115,0.020283462235238404,0.4799999952316284
-564.70371226,100.0,402600,26,543,740,0.46326247,2394.41650390625,-0.0027788877487182617,0.2,-7.597011852264404,0.8586239814758301,4797.774609375,0.0003,20120,0.010770590387983248,0.6179999947547913
-564.7715913300001,100.0,402700,27,568,708,0.044910625,3013.287353515625,-0.008791089057922363,0.2,-7.5936047554016115,0.8579584956169128,6038.37275390625,0.0003,20125,-0.005441314960626187,0.33999999463558195
