rollout/ep_len_mean,rollout/ep_rew_mean,time/total timesteps,rollout/success rate,train/actor_loss,train/critic_loss,train/n_updates,time/fps,time/episodes,train/learning_rate,time/time_elapsed
6915.92,-229703.62360845003,2479818,0.19,4142.421381835938,10807.799072265625,2479700,202,464,0.001,12275
6965.92,-231362.34047334,2489818,0.19,4183.022705078125,35567.64695800781,2489700,198,465,0.001,12527
7030.31,-233208.47698178,2499818,0.18,4149.7486962890625,11134.874736328125,2499700,195,466,0.001,12780
7088.69,-235736.32045592004,2509818,0.17,4098.426479492187,18107.933876953124,2509700,192,467,0.001,13031
7138.69,-238600.14562767,2519818,0.17,4097.144389648438,10785.879057617187,2519700,189,468,0.001,13282
7156.36,-239416.80074236,2526585,0.18,4142.306909179688,19169.436513671873,2526400,187,469,0.001,13456
7206.36,-240867.00459037998,2536585,0.18,4085.3310693359376,29760.283779296875,2536400,184,470,0.001,13723
7256.36,-243870.29421095998,2546585,0.18,4014.1222900390626,29145.17861328125,2546400,182,471,0.001,13988
7306.36,-245610.48109547,2556585,0.18,4036.930029296875,16470.053745117188,2556400,179,472,0.001,14254
7346.84,-248289.06093849998,2565633,0.19,3971.22009765625,10432.428442382812,2565500,177,473,0.001,14493
7396.84,-249588.79888311998,2575633,0.19,3972.862939453125,12580.146384277345,2575500,174,474,0.001,14763
7446.84,-251071.17828594,2585633,0.19,3927.625185546875,17524.710830078126,2585500,172,475,0.001,15021
7496.84,-252385.25643758997,2595633,0.19,3913.16318359375,11611.6627734375,2595500,169,476,0.001,15272
7557.64,-254139.90965691,2605633,0.18,3869.6369580078126,10859.787563476562,2605500,167,477,0.001,15522
7536.36,-254180.92442309,2608505,0.19,3894.8011962890623,13515.38177001953,2608400,167,478,0.001,15595
7515.87,-253700.78563349,2611456,0.2,3862.57302734375,12225.858315429687,2611300,166,479,0.001,15669
7565.87,-255496.42466634006,2621456,0.2,3837.5173193359374,20270.932314453126,2621300,164,480,0.001,15920
7615.87,-255690.24718384002,2631456,0.2,3784.9868798828124,15702.50173828125,2631300,162,481,0.001,16171
7665.87,-257408.20679512003,2641456,0.2,3810.4822607421875,10425.424677734374,2641300,160,482,0.001,16421
7666.36,-257665.94501737002,2646505,0.21,3775.22853515625,16745.49240234375,2646400,159,483,0.001,16549
7716.36,-260540.68512890005,2656505,0.21,3787.3746484375,9087.714074707032,2656400,158,484,0.001,16801
7766.36,-262896.97444646,2666505,0.21,3764.7430908203123,18750.24283935547,2666400,156,485,0.001,17053
7816.36,-263118.63496153004,2676505,0.21,3767.3126513671873,15168.154753417968,2676400,154,486,0.001,17304
7866.36,-264830.81854005,2686505,0.21,3704.8443017578124,18318.50067626953,2686400,153,487,0.001,17555
7916.36,-266257.65408751,2696505,0.21,3713.8044873046874,17178.008364257814,2696400,151,488,0.001,17806
7966.36,-269900.46832443005,2706505,0.21,3703.0751025390623,27565.336928710938,2706400,149,489,0.001,18058
8016.36,-271760.40274243,2716505,0.21,3691.7493359375,10987.315505371094,2716400,148,490,0.001,18310
8066.36,-273500.37171365,2726505,0.21,3711.66384765625,14992.126486816407,2726400,146,491,0.001,18560
8045.7,-273354.88297427,2729439,0.22,3685.4506005859375,17461.468327636718,2729300,146,492,0.001,18634
8032.38,-273519.38769998995,2733107,0.23,3655.97373046875,18452.114396972655,2733000,145,493,0.001,18726
8109.65,-276110.27549591,2743107,0.22,3686.26517578125,16060.951806640625,2743000,144,494,0.001,18978
8177.65,-278001.07795237,2753107,0.21,3674.0800732421876,21816.545815429687,2753000,143,495,0.001,19228
8227.65,-278191.35541392,2763107,0.21,3614.9941845703124,12101.793891601563,2763000,141,496,0.001,19481
8277.65,-279989.87541854003,2773107,0.21,3581.084296875,15353.602360839845,2773000,140,497,0.001,19732
8327.65,-281587.76588920003,2783107,0.21,3517.976103515625,14561.446748046876,2783000,139,498,0.001,19983
8377.65,-281985.89372578,2793107,0.21,3534.57662109375,11557.128898925781,2793000,138,499,0.001,20236
8347.54,-281844.80053947,2795096,0.22,3501.3362939453127,10917.301940917969,2794900,137,500,0.001,20285
8397.54,-283668.15563047,2805096,0.22,3507.3925537109376,14214.76612548828,2804900,136,501,0.001,20537
8447.54,-285160.17516702,2815096,0.22,3509.815361328125,18248.85224609375,2814900,135,502,0.001,20788
8459.76,-285835.65300454,2821318,0.23,3497.289697265625,13691.983735351563,2821200,134,503,0.001,20943
8509.76,-288563.27108314,2831318,0.23,3502.1426220703124,14152.898056640624,2831200,133,504,0.001,21194
8559.76,-290284.43889645004,2841318,0.23,3491.87837890625,21966.068349609373,2841200,132,505,0.001,21445
8613.18,-291739.26308946003,2851318,0.22,3472.0829833984376,10406.131923828125,2851200,131,506,0.001,21696
8630.88,-296497.81723267003,2858088,0.23,3527.8297216796873,10756.120866699219,2857900,130,507,0.001,21869
8635.52,-296909.60421347,2863552,0.24,3458.012060546875,15285.239187011719,2863400,130,508,0.001,22011
8635.52,-290063.67567499,2873552,0.24,3484.4449169921877,19806.60662109375,2873400,128,509,0.001,22282
8552.55,-282150.86198062997,2875255,0.25,3460.2349169921877,16391.970493164063,2875100,128,510,0.001,22327
8635.29,-283726.83175501996,2884297,0.25,3415.8136083984373,9299.034782714843,2884100,127,511,0.001,22571
8635.29,-278244.95087719,2894297,0.25,3434.085283203125,9725.399162597656,2894100,126,512,0.001,22838
8556.63,-272682.64675535,2896431,0.26,3438.1870458984376,11007.056896972656,2896300,126,513,0.001,22896
8556.63,-269108.29585225997,2906431,0.26,3440.583251953125,13148.771884765625,2906300,125,514,0.001,23166
8534.93,-266003.25555681,2914261,0.27,3428.562685546875,12651.449106445312,2914100,124,515,0.001,23378
8534.93,-269438.59462323994,2924261,0.27,3431.992744140625,13649.576857910157,2924100,123,516,0.001,23650
8534.93,-268516.53456908,2934261,0.27,3372.1283251953123,18316.702573242186,2934100,122,517,0.001,23925
8534.93,-263373.25287606,2944261,0.27,3389.8097802734374,11081.728994140625,2944100,121,518,0.001,24199
8534.93,-260956.96164986,2954261,0.27,3389.3536767578125,17123.069116210936,2954100,120,519,0.001,24473
8580.72,-261893.55504451,2964261,0.26,3406.7492236328126,9070.981340332031,2964100,119,520,0.001,24747
8537.45,-259879.42476586002,2969934,0.27,3407.0060546875,14694.261291503906,2969800,119,521,0.001,24903
8505.17,-258159.32621131,2976706,0.28,3356.6824365234374,12501.769489746093,2976600,118,522,0.001,25087
8432.96,-255432.92976041004,2979485,0.29,3355.33064453125,8548.682800292969,2979300,118,523,0.001,25158
8506.02,-257397.36566556,2989485,0.28,3359.045654296875,11126.557583007812,2989300,117,524,0.001,25409
8506.02,-249776.62404176005,2999485,0.28,3325.6334326171873,9401.72716796875,2999300,116,525,0.001,25659
8416.52,-247102.51943495005,3000535,0.29,3359.30443359375,28450.79219238281,3000400,116,526,0.001,25686
8333.24,-238423.75566852008,3002207,0.3,3371.5378271484374,24977.40966308594,3002100,116,527,0.001,25728
8292.53,-236602.62747492,3008136,0.31,3311.59228515625,12413.385473632812,3008000,116,528,0.001,25876
8303.0,-236776.61110596,3011455,0.31,3337.93998046875,18816.704702148436,3011300,116,529,0.001,25960
8303.0,-235346.29274131998,3021455,0.31,3333.991875,12463.101892089844,3021300,115,530,0.001,26212
8303.0,-231736.73780024,3031455,0.31,3294.48978515625,8716.059384765626,3031300,114,531,0.001,26464
8366.99,-232078.46040352003,3041455,0.3,3235.689501953125,11195.417221679687,3041300,113,532,0.001,26714
8366.99,-229569.60893624,3051455,0.3,3248.317314453125,20705.169829101564,3051300,113,533,0.001,26965
8366.99,-228736.70832128,3061455,0.3,3235.1558056640624,17138.911669921876,3061300,112,534,0.001,27216
8291.34,-226821.12857625,3063890,0.31,3204.014072265625,15338.595161132813,3063700,112,535,0.001,27278
8342.35,-227812.49051823,3073890,0.3,3203.5211083984377,23341.6642578125,3073700,111,536,0.001,27529
8342.35,-230636.57587053004,3083890,0.3,3189.6004443359375,12481.868725585937,3083700,111,537,0.001,27781
8307.96,-229147.16827656006,3087159,0.3,3219.373154296875,30199.970849609374,3087000,110,538,0.001,27863
8307.96,-219902.32672991,3097159,0.3,3193.1862060546873,18674.956213378908,3097000,110,539,0.001,28113
8307.96,-219291.28755026998,3107159,0.3,3222.2921044921877,10288.971899414062,3107000,109,540,0.001,28366
8256.38,-217359.53473192,3112001,0.31,3247.545302734375,12270.30575439453,3111900,109,541,0.001,28488
8256.38,-217152.69003571,3122001,0.31,3241.0815283203124,9528.843254394531,3121900,108,542,0.001,28739
8221.98,-216071.82139208005,3124730,0.31,3195.2924853515624,11694.904372558594,3124600,108,543,0.001,28808
8221.98,-214611.71967197,3134730,0.31,3220.230224609375,25643.02167236328,3134600,107,544,0.001,29067
8221.98,-213509.59662434002,3144730,0.31,3195.302158203125,13436.45866455078,3144600,107,545,0.001,29319
8221.98,-212236.83738700004,3154730,0.31,3107.323095703125,11239.20298095703,3154600,106,546,0.001,29570
8221.98,-213754.20095508004,3164730,0.31,3109.7215673828123,7432.825146484375,3164600,106,547,0.001,29822
8221.98,-213288.91287957,3174730,0.31,3081.1873388671875,16697.10367675781,3174600,105,548,0.001,30074
8221.98,-213718.50360115,3184730,0.31,3054.9650244140626,38258.38433105469,3184600,105,549,0.001,30326
8248.06,-214262.05751448002,3190188,0.31,3008.539326171875,10312.189523925781,3190000,104,550,0.001,30463
8224.03,-213916.55494638995,3197785,0.32,3008.4783154296874,11275.451767578124,3197600,104,551,0.001,30654
8172.9,-208646.85873342,3202672,0.33,2986.282216796875,14157.77681640625,3202500,104,552,0.001,30777
8182.72,-207729.55735145003,3211259,0.33,2956.849326171875,8751.997443847657,3211100,103,553,0.001,30993
8264.2,-209501.24976854,3221259,0.32,2965.8785595703125,19365.554001464843,3221100,103,554,0.001,31244
8264.2,-210167.02643565004,3231259,0.32,2925.616865234375,6403.475256347656,3231100,102,555,0.001,31496
8264.2,-210479.19359150005,3241259,0.32,2903.9132421875,7633.442014160156,3241100,102,556,0.001,31746
8264.2,-210496.91220430002,3251259,0.32,2906.250302734375,10230.779125976562,3251100,101,557,0.001,31998
8327.89,-210951.39301503001,3261259,0.31,2891.256123046875,8090.752282714844,3261100,101,558,0.001,32250
8262.78,-210368.21655123998,3264748,0.32,2881.5561181640624,7208.27228881836,3264600,100,559,0.001,32337
8271.22,-210501.77092651997,3266940,0.32,2855.62626953125,5178.655234375,3266800,100,560,0.001,32393
8194.2,-207369.62366533995,3269238,0.33,2865.4832080078127,15963.06723022461,3269100,100,561,0.001,32451
8153.23,-206495.44494712996,3275141,0.34,2843.6775341796874,8626.235451660155,3275000,100,562,0.001,32599
8153.23,-206503.47229156998,3285141,0.34,2821.7849853515627,9359.890418701172,3285000,100,563,0.001,32851
8064.96,-195185.75515878,3286314,0.35,2809.8422412109376,9651.316176757813,3286200,99,564,0.001,32881
8064.96,-193696.41951745993,3296314,0.35,2775.849267578125,6568.658811035156,3296200,99,565,0.001,33132
8064.96,-192872.76171026996,3306314,0.35,2784.976689453125,5855.104545898437,3306200,99,566,0.001,33383
8031.42,-191110.36060119997,3312960,0.36,2743.571923828125,6430.897518310547,3312800,98,567,0.001,33550
8031.42,-193643.53363315,3322960,0.36,2757.81794921875,7699.01720703125,3322800,98,568,0.001,33802
7974.96,-192374.90608253996,3324081,0.36,2743.0221923828126,7202.629057617188,3323900,98,569,0.001,33831
7974.96,-193315.58969224,3334081,0.36,2735.8560498046877,6803.121884765625,3333900,97,570,0.001,34081
7910.25,-190349.06737534996,3337610,0.37,2729.8359130859376,15766.112351074218,3337500,97,571,0.001,34170
7910.25,-189347.8920312,3347610,0.37,2734.1750830078126,8725.739102783204,3347500,97,572,0.001,34422
7849.38,-186519.14407810997,3350571,0.37,2734.9891943359376,5827.209556884765,3350400,97,573,0.001,34496
7780.51,-185096.15530837997,3353684,0.38,2736.038984375,9947.050788574219,3353500,96,574,0.001,34575
