train/learning_rate,time/time_elapsed,rollout/ep_len_mean,time/total timesteps,train/actor_loss,time/episodes,time/fps,rollout/ep_rew_mean,train/critic_loss,train/n_updates,rollout/success rate
0.001,2888,97.37,10137,21.657457733154295,104,3,-127.74947218,14.384032917022704,10020,0.04
0.001,3014,97.65,10537,22.128856468200684,108,3,-111.83542149999998,16.09737410545349,10420,0.03
0.001,3145,97.65,10937,22.78151168823242,112,3,-96.63734994000001,14.275578165054322,10820,0.03
0.001,3293,97.65,11337,23.713800811767577,116,3,-86.68709494999999,18.691004240512846,11220,0.03
0.001,3378,98.34,11716,24.348399543762206,120,3,-84.02164509,15.48971962928772,11600,0.03
0.001,3504,98.34,12116,25.72382869720459,124,3,-83.00092601,18.25319697856903,12000,0.03
0.001,3644,98.34,12516,26.5979362487793,128,3,-83.53760390999997,18.323119163513184,12400,0.03
0.001,3726,98.34,12916,27.420271492004396,132,3,-81.65065129999999,20.518636107444763,12800,0.03
0.001,3816,97.65,13247,28.420074653625488,136,3,-83.74929309999999,18.235663866996767,13140,0.04
0.001,3918,97.65,13647,29.317372512817382,140,3,-85.93345598,17.986453461647034,13540,0.04
0.001,4030,97.65,14047,30.08905487060547,144,3,-85.15761720999998,22.81895170211792,13940,0.04
0.001,4131,98.24,14447,30.27630786895752,148,3,-85.05957934999998,27.748618936538698,14340,0.03
0.001,4232,98.24,14847,31.718957901000977,152,3,-85.99855213,19.41869764328003,14740,0.03
0.001,4323,97.15,15138,31.88400192260742,156,3,-83.59435438999999,21.094784522056578,15020,0.05
0.001,4417,97.15,15538,33.51347389221191,160,3,-83.82354998,23.621392810344695,15420,0.05
0.001,4524,96.73,15896,33.58168983459473,164,3,-82.98064353000001,26.230530405044554,15780,0.06
0.001,4611,96.37,16260,34.90034294128418,168,3,-82.11802289,34.82183954715729,16140,0.07
0.001,4704,96.37,16660,35.69481735229492,172,3,-82.65777261,31.53678195476532,16540,0.07
0.001,4786,96.07,17030,36.31224250793457,176,3,-83.40580834999999,31.13709650039673,16920,0.08
0.001,4887,96.07,17430,36.89673004150391,180,3,-82.02190805000001,40.26319897174835,17320,0.08
0.001,4980,96.07,17830,38.19043884277344,184,3,-80.97074121,32.39037630558014,17720,0.08
0.001,5080,96.07,18230,39.09416313171387,188,3,-77.71841468,31.227208948135377,18120,0.08
0.001,5165,95.51,18574,39.45966911315918,192,3,-76.94833517000001,37.987018728256224,18460,0.09
0.001,5266,96.37,18974,39.736566162109376,196,3,-77.69063934,50.76224112510681,18860,0.08
0.001,5366,96.11,19348,41.041312026977536,200,3,-76.83805767,47.305604863166806,19240,0.09
0.001,5474,95.23,19660,41.87384223937988,204,3,-72.57860408,36.449725484848024,19540,0.1
0.001,5577,95.23,20060,42.01323051452637,208,3,-72.27653706999999,47.139120769500735,19940,0.1
0.001,5674,95.23,20460,43.365818405151366,212,3,-73.44361483,42.61522698402405,20340,0.1
0.001,5780,95.23,20860,44.48175811767578,216,3,-74.06989676,53.48950986862182,20740,0.1
0.001,5862,94.54,21170,45.46953086853027,220,3,-76.851583,48.2721782207489,21060,0.1
0.001,5993,94.34,21550,45.48662567138672,224,3,-75.84341130000001,75.38961162567139,21440,0.11
0.001,6119,94.34,21950,47.29638252258301,228,3,-75.48538571,39.818211627006534,21840,0.11
0.001,6247,94.34,22350,47.36209983825684,232,3,-74.95235341,45.40818371772766,22240,0.11
0.001,6360,95.03,22750,48.60497703552246,236,3,-72.9331535,54.06419882774353,22640,0.1
0.001,6475,95.03,23150,49.315066528320315,240,3,-69.9199526,81.4429003238678,23040,0.1
0.001,6567,94.45,23492,49.604331970214844,244,3,-69.54298880999998,55.334024620056155,23380,0.11
0.001,6657,94.45,23892,50.29142799377441,248,3,-72.93724329999999,79.36977944374084,23780,0.11
0.001,6770,94.45,24292,51.35338935852051,252,3,-72.54012924999999,35.908218908309934,24180,0.11
0.001,6907,95.54,24692,51.94411964416504,256,3,-70.66049597,65.5168559551239,24580,0.09
0.001,7023,95.54,25092,52.92518844604492,260,3,-69.96319769,86.13030977249146,24980,0.09
0.001,7099,95.08,25404,53.56345138549805,264,3,-69.78190495999999,71.83228669166564,25300,0.09
0.001,7200,94.82,25742,54.40656089782715,268,3,-73.06590759,65.0960431098938,25640,0.09
0.001,7309,94.35,26095,55.09045677185058,272,3,-73.33530292,68.37818756103516,25980,0.1
0.001,7421,94.65,26495,55.456057739257815,276,3,-70.45727584000001,87.20404620170594,26380,0.09
0.001,7543,94.65,26895,56.73847427368164,280,3,-68.69407134,67.60064888000488,26780,0.09
0.001,7632,94.02,27232,57.24560546875,284,3,-68.32559695,96.95062942504883,27120,0.1
0.001,7705,92.69,27499,57.433570861816406,288,3,-67.48188045,97.649387550354,27380,0.12
0.001,7805,93.25,27899,58.8993579864502,292,3,-68.36239832,106.28748579025269,27780,0.11
0.001,7917,93.25,28299,60.005929946899414,296,3,-69.11263532,79.57341890335083,28180,0.11
0.001,8022,93.51,28699,59.87960929870606,300,3,-68.73809663,73.42137823104858,28580,0.1
0.001,8102,93.8,29040,60.53298988342285,304,3,-72.50834998,92.65859837532044,28920,0.11
0.001,8159,91.92,29252,61.16763687133789,308,3,-74.36425089000001,77.05242629051209,29140,0.14
0.001,8244,91.14,29574,61.52780685424805,312,3,-74.36814878,110.71941704750061,29460,0.15
0.001,8345,91.14,29974,62.88872528076172,316,3,-72.02171036,58.577989387512204,29860,0.15
0.001,8431,91.42,30312,62.97143478393555,320,3,-68.94401615000001,98.92502079010009,30200,0.15
0.001,8537,91.62,30712,63.5177806854248,324,3,-70.60746672,106.20189027786255,30600,0.14
0.001,8629,91.02,31052,64.21257286071777,328,3,-70.67944123000001,73.62863221168519,30940,0.15
0.001,8706,89.39,31289,64.56045341491699,332,3,-69.2531025,78.09693689346314,31180,0.18
0.001,8790,88.72,31622,65.60065956115723,336,3,-69.56648204999999,90.09990882873535,31520,0.19
0.001,8878,88.07,31957,66.20435256958008,340,3,-69.03992423,72.46824169158936,31840,0.2
0.001,8998,88.65,32357,65.77611122131347,344,3,-72.26460403000002,107.82972507476806,32240,0.19
0.001,9085,87.86,32678,67.27391815185547,348,3,-68.13422052,71.00561146736145,32560,0.21
0.001,9216,87.56,33048,67.3432243347168,352,3,-66.88927680000002,122.72972755432129,32940,0.22
0.001,9306,86.6,33352,67.88774032592774,356,3,-67.45552278,102.35355768203735,33240,0.24
0.001,9398,86.6,33752,68.32739028930663,360,3,-67.91958948999999,169.7112117767334,33640,0.24
0.001,9527,87.48,34152,68.74449157714844,364,3,-69.43304883,158.14361743927003,34040,0.23
0.001,9593,86.92,34434,68.83218307495117,368,3,-65.34104858,163.9562618255615,34320,0.24
0.001,9711,87.31,34826,70.29806137084961,372,3,-64.11289844,158.62286643981935,34720,0.24
0.001,9816,86.79,35174,71.60090713500976,376,3,-65.28194136,86.78375082015991,35060,0.25
0.001,9917,86.79,35574,72.22191619873047,380,3,-65.81021705,111.01969633102416,35460,0.25
0.001,10018,86.59,35891,72.71137390136718,384,3,-65.42939709000001,126.49701795578002,35780,0.25
0.001,10104,87.1,36209,73.48870544433593,388,3,-65.87956632,125.13013496398926,36100,0.24
0.001,10175,85.61,36460,74.07254180908203,392,3,-64.64211514,125.8725640296936,36340,0.26
0.001,10272,85.61,36860,75.08983993530273,396,3,-65.59842122,117.96299686431885,36740,0.26
0.001,10376,84.75,37174,75.98838729858399,400,3,-65.06788722,94.27783460617066,37060,0.27
0.001,10451,84.47,37487,75.55958709716796,404,3,-62.02536544,115.49375352859497,37380,0.26
0.001,10556,86.35,37887,76.02347183227539,408,3,-61.33309235000001,210.1989191055298,37780,0.23
0.001,10636,86.09,38183,76.49865493774413,412,3,-59.640090810000004,157.10677785873412,38080,0.24
0.001,10763,86.09,38583,77.54573287963868,416,3,-60.94487217999999,181.51022272109986,38480,0.24
0.001,10865,85.82,38894,78.12569732666016,420,3,-59.492036909999996,167.98195419311523,38780,0.24
0.001,10980,85.82,39294,79.8984359741211,424,3,-57.691587549999994,153.8343596458435,39180,0.24
0.001,11097,86.42,39694,79.56878051757812,428,3,-59.609793169999996,125.17080430984497,39580,0.23
0.001,11187,87.51,40040,80.66648025512696,432,3,-64.14544000000001,111.09254341125488,39920,0.21
0.001,11287,87.48,40370,81.62832870483399,436,3,-63.57395122999999,127.90796213150024,40260,0.21
0.001,11418,88.13,40770,81.71657791137696,440,3,-64.79730893000001,147.8424680709839,40660,0.2
0.001,11519,87.41,41098,81.88326492309571,444,3,-61.05757326999999,185.37493114471437,40980,0.21
0.001,11640,87.51,41429,83.30704650878906,448,3,-60.869207929999995,176.5503005027771,41320,0.2
0.001,11722,86.48,41696,83.57526550292968,452,3,-60.73145634,161.1591594696045,41580,0.21
0.001,11834,87.44,42096,85.56721725463868,456,3,-60.36559322000001,106.7695987701416,41980,0.19
0.001,11915,86.7,42422,85.21074295043945,460,3,-59.97493191,170.01330852508545,42320,0.2
0.001,12027,86.7,42822,86.03578720092773,464,3,-59.49559483,268.86152000427245,42720,0.2
0.001,12111,87.09,43143,87.89986572265624,468,3,-60.20536916000001,152.46582107543946,43040,0.19
0.001,12232,87.02,43528,86.99927444458008,472,3,-61.30555761999999,130.13276462554933,43420,0.2
0.001,12345,87.54,43928,87.84300384521484,476,3,-59.55224294,251.06378269195557,43820,0.19
0.001,12446,86.77,44251,89.67703399658203,480,3,-58.74916115,204.49257640838624,44140,0.2
0.001,12593,87.19,44610,89.7182487487793,484,3,-58.16523918,225.40911636352538,44500,0.2
0.001,12690,86.76,44885,90.31096878051758,488,3,-58.89770365,231.6927710533142,44780,0.21
