time/total timesteps,train/n_updates,time/fps,time/episodes,rollout/ep_rew_mean,train/actor_loss,train/critic_loss,train/learning_rate,rollout/ep_len_mean,rollout/success rate,time/time_elapsed
469024,468900,67,57,-6078.151261877193,78.31884300231934,5.639710153788328,0.001,8228.491228070176,0.5964912280701754,6994
474844,474700,67,58,-5990.504224603449,76.58365036010743,0.23453222706913948,0.001,8186.9655172413795,0.603448275862069,7083
481423,481300,67,59,-5930.7638024237285,77.12669570922851,5.035226745903492,0.001,8159.71186440678,0.6101694915254238,7180
488012,487900,67,60,-5877.9721927166665,77.28064620971679,1.3580506259948015,0.001,8133.533333333334,0.6166666666666667,7281
488379,488200,67,61,-5782.682853295081,76.3215340423584,0.9100562148541212,0.001,8006.213114754099,0.6229508196721312,7287
490571,490400,67,62,-5725.991531177418,74.45936058044434,1.7657109129428863,0.001,7912.435483870968,0.6290322580645161,7321
493342,493200,66,63,-5669.439407460317,75.10856216430665,0.3816875052452087,0.001,7830.825396825397,0.6349206349206349,7365
494696,494500,66,64,-5591.6712534843755,76.62650283813477,1.1287806501984596,0.001,7729.625,0.640625,7388
502369,502200,66,65,-5581.7920536923075,74.716763381958,2.1127597846090795,0.001,7728.753846153846,0.6461538461538462,7505
508902,508800,66,66,-5540.325604090909,75.38277153015137,0.3345949087291956,0.001,7710.636363636364,0.6515151515151515,7604
510009,509900,66,67,-5463.9683287462685,74.15942367553711,0.2291109139472246,0.001,7612.074626865671,0.6567164179104478,7620
510665,510500,66,68,-5386.7200795,74.47473625183106,1.0828034964203834,0.001,7509.779411764706,0.6617647058823529,7630
512122,512000,66,69,-5321.745319173912,71.78864356994629,0.6608146696537733,0.001,7422.057971014493,0.6666666666666666,7653
514342,514200,66,70,-5271.8680533,74.32298820495606,2.6214374908804894,0.001,7347.742857142857,0.6714285714285714,7687
514990,514800,66,71,-5201.371997225352,72.32833869934082,1.843080202192068,0.001,7253.380281690141,0.676056338028169,7697
516160,516000,66,72,-5139.515835013889,74.07025535583496,0.9696078269183636,0.001,7168.888888888889,0.6805555555555556,7716
520826,520700,66,73,-5119.089572945206,76.23805587768555,0.3080490855127573,0.001,7134.602739726028,0.684931506849315,7787
521696,521500,66,74,-5051.248322837838,72.70593811035157,2.8324569148570298,0.001,7049.945945945946,0.6891891891891891,7799
523744,523600,66,75,-4996.254687826667,74.27401268005372,3.6169797218590976,0.001,6983.253333333333,0.6933333333333334,7833
525128,525000,66,76,-4940.096519144737,74.04092933654785,15.581416437849402,0.001,6909.578947368421,0.6973684210526315,7854
527396,527200,66,77,-4896.051810974026,73.59278938293457,6.336449913829565,0.001,6849.298701298701,0.7012987012987013,7887
528564,528400,66,78,-4840.481615141026,72.29691986083985,2.4173514848947524,0.001,6776.461538461538,0.7051282051282052,7905
540213,540100,66,79,-5100.090480329114,76.9139518737793,0.5411642575263977,0.001,6838.139240506329,0.7088607594936709,8079
540827,540700,66,80,-5038.989343912501,76.21603019714355,0.5057346942275762,0.001,6760.3375,0.7125,8088
541969,541800,66,81,-4978.970282580248,75.79885925292969,1.1715682466700672,0.001,6690.975308641975,0.7160493827160493,8105
