time/fps,rollout/ep_len_mean,train/critic_loss,train/actor_loss,rollout/success rate,train/learning_rate,train/n_updates,rollout/ep_rew_mean,time/total timesteps,time/time_elapsed,time/episodes
3,100.0,76.70097513198853,65.27580184936524,0.0,0.001,41880,-118.18118511,42000,11381,420
3,100.0,102.02140636444092,66.28851089477538,0.0,0.001,42280,-117.35918727999999,42400,11512,424
3,100.0,99.88928780555725,66.21645812988281,0.0,0.001,42680,-117.92985694,42800,11612,428
3,100.0,130.5613528251648,66.78616714477539,0.0,0.001,43080,-116.74823027999997,43200,11741,432
3,100.0,90.9306236743927,67.52337341308593,0.0,0.001,43480,-116.47344538000002,43600,11853,436
3,100.0,82.16441850662231,68.41792449951171,0.0,0.001,43880,-116.79408138000001,44000,11952,440
3,100.0,142.6549395084381,68.44685211181641,0.0,0.001,44280,-115.26495605,44400,12048,444
3,100.0,119.4571798801422,68.14805908203125,0.0,0.001,44680,-114.12231973,44800,12178,448
3,100.0,118.26765565872192,68.47418975830078,0.0,0.001,45080,-113.61581385,45200,12272,452
3,100.0,128.04677090644836,69.21404876708985,0.0,0.001,45480,-114.03825949999998,45600,12387,456
3,100.0,102.54350032806397,69.50005340576172,0.0,0.001,45880,-112.17522795000001,46000,12519,460
3,100.0,91.69328546524048,70.61728515625,0.0,0.001,46280,-114.29050936,46400,12608,464
3,100.0,100.91424894332886,70.85578384399415,0.0,0.001,46680,-114.14241668000003,46800,12710,468
3,100.0,90.54881601333618,71.10803451538087,0.0,0.001,47080,-114.20346119999998,47200,12829,472
3,100.0,66.47386631965637,72.12009201049804,0.0,0.001,47480,-114.11592012000003,47600,12935,476
3,100.0,155.42851781845093,71.2334358215332,0.0,0.001,47880,-113.52249612000001,48000,13038,480
3,100.0,117.47712931632995,72.66170196533203,0.0,0.001,48280,-113.77976555,48400,13160,484
3,100.0,106.80913925170898,72.4471534729004,0.0,0.001,48680,-114.95898537999997,48800,13267,488
3,100.0,59.75601916313171,73.64692764282226,0.0,0.001,49080,-115.97947855999999,49200,13349,492
3,100.0,152.96131200790404,72.90110473632812,0.0,0.001,49480,-115.09555189000001,49600,13465,496
3,100.0,83.32825021743774,74.14829940795899,0.0,0.001,49880,-115.03082892,50000,13582,500
3,100.0,102.17302803993225,74.81640625,0.0,0.001,50280,-115.29139407999999,50400,13688,504
3,100.0,161.43252077102662,73.63581237792968,0.0,0.001,50680,-114.79750880000002,50800,13819,508
3,100.0,89.90460567474365,75.02558898925781,0.0,0.001,51080,-113.94341085,51200,13938,512
3,100.0,106.5150092601776,75.95350799560546,0.0,0.001,51480,-113.55531140000002,51600,14043,516
3,100.0,129.81550755500794,75.4933837890625,0.0,0.001,51880,-114.79323846999999,52000,14164,520
3,100.0,106.94535112380981,76.43014297485351,0.0,0.001,52280,-114.53721071000001,52400,14283,524
3,100.0,114.82820119857789,76.651904296875,0.0,0.001,52680,-113.19799751999999,52800,14426,528
3,100.0,114.69351730346679,77.08370971679688,0.0,0.001,53080,-113.81643945,53200,14530,532
3,100.0,111.31190195083619,77.31330947875976,0.0,0.001,53480,-112.63146291000001,53600,14655,536
3,100.0,126.76771845817566,77.51463928222657,0.0,0.001,53880,-111.70196200000001,54000,14781,540
3,100.0,119.39198665618896,77.49968338012695,0.0,0.001,54280,-111.51906325999998,54400,14876,544
3,100.0,159.47119655609131,77.90042114257812,0.0,0.001,54680,-112.31281980000001,54800,14974,548
3,100.0,109.41362237930298,78.54530029296875,0.0,0.001,55080,-112.79617192000002,55200,15081,552
3,100.0,150.89137353897095,78.77378921508789,0.0,0.001,55480,-112.86722213000004,55600,15201,556
3,100.0,150.61222496032715,79.78081130981445,0.0,0.001,55880,-114.09184489,56000,15305,560
3,100.0,169.23937072753907,80.10449142456055,0.0,0.001,56280,-113.78014784000001,56400,15417,564
3,100.0,164.6664203643799,79.33595275878906,0.0,0.001,56680,-113.34913047000002,56800,15525,568
3,100.0,119.10769267082215,80.90868530273437,0.0,0.001,57080,-113.04014248000001,57200,15627,572
3,100.0,175.1019164085388,81.04876098632812,0.0,0.001,57480,-112.89895876999998,57600,15747,576
3,100.0,173.30551061630248,81.17681350708008,0.0,0.001,57880,-112.10878095999999,58000,15876,580
3,100.0,157.13653264045715,81.25052413940429,0.0,0.001,58280,-112.60266328,58400,15988,584
3,100.0,141.33732662200927,82.26290588378906,0.0,0.001,58680,-112.68073123999999,58800,16089,588
3,100.0,140.55033111572266,82.21907348632813,0.0,0.001,59080,-111.10597991000003,59200,16210,592
3,100.0,121.31384983062745,81.97490310668945,0.0,0.001,59480,-111.08943102,59600,16324,596
3,100.0,111.59131212234497,83.79014205932617,0.0,0.001,59880,-110.91153329999999,60000,16469,600
3,100.0,136.53550386428833,84.12541885375977,0.0,0.001,60280,-110.29175963000002,60400,16611,604
