rollout/success rate,time/time_elapsed,rollout/ep_len_mean,train/actor_loss,time/episodes,train/learning_rate,train/critic_loss,time/fps,train/n_updates,time/total timesteps,rollout/ep_rew_mean
0.74,3416,37.39,341.9404602050781,4784,0.001,3017.569232177734,91,311980,312099,-40.8938289
0.73,3480,38.08,343.9133026123047,4788,0.001,3609.2367889404295,89,312140,312241,-41.088627400000014
0.73,3539,38.64,345.07830505371095,4792,0.001,3848.233644104004,88,312420,312529,-37.03927841
0.73,3559,38.54,343.5357177734375,4796,0.001,3426.906100463867,87,312440,312558,-36.76783361
0.74,3573,37.57,347.06231689453125,4800,0.001,3574.4975555419924,87,312480,312597,-35.98725861
0.75,3634,37.97,339.2437774658203,4804,0.001,3972.6483001708984,86,312740,312859,-34.52334135
0.75,3655,37.23,341.25299377441405,4808,0.001,4368.68334350586,85,312800,312907,-34.13615726
0.76,3705,37.42,343.5595764160156,4812,0.001,3324.057096862793,84,312960,313069,-34.55613062
0.75,3788,39.08,342.9707061767578,4816,0.001,3577.3040313720703,82,313240,313356,-38.51098123
0.73,3868,40.83,342.95395812988284,4820,0.001,2914.959523010254,81,313480,313583,-43.524665539999994
0.73,3903,40.53,342.05927124023435,4824,0.001,3262.8509765625,80,313600,313717,-43.50441692
0.74,3954,39.79,343.0754791259766,4828,0.001,4039.859713745117,79,313740,313858,-41.48639374999999
0.74,4002,40.33,345.0733154296875,4832,0.001,3612.4550506591795,78,313940,314043,-43.100682199999994
0.75,4032,39.98,343.48716735839844,4836,0.001,3847.45986328125,77,314020,314138,-45.13915499000001
0.73,4089,41.01,338.6856323242188,4840,0.001,4986.221208190918,76,314260,314361,-46.23284816
0.73,4126,41.08,345.4838562011719,4844,0.001,3490.4664978027345,76,314380,314500,-45.811017910000004
0.73,4178,40.98,343.825244140625,4848,0.001,3890.793016052246,75,314580,314688,-41.929497770000005
0.73,4209,41.02,341.2586730957031,4852,0.001,3424.568225097656,74,314700,314817,-41.747423270000006
0.75,4233,39.56,343.04042358398436,4856,0.001,3271.6201293945314,74,314780,314882,-40.19491568000001
0.75,4292,39.87,342.97252502441404,4860,0.001,4171.209210205078,73,314940,315057,-41.16404151
0.73,4354,42.0,342.64886779785155,4864,0.001,3487.1223655700683,72,315200,315309,-42.603805439999995
0.74,4414,40.79,341.77723999023436,4868,0.001,4028.0243545532226,71,315440,315547,-34.9090387
0.71,4512,44.28,340.4628051757812,4872,0.001,3582.3193298339843,70,315840,315942,-38.18936961000001
0.72,4559,43.53,343.01776733398435,4876,0.001,4391.115701293946,69,315980,316095,-36.1417103
0.71,4635,44.36,344.2057250976562,4880,0.001,3443.6529998779297,68,316200,316312,-33.28365399
0.71,4693,44.29,345.91864013671875,4884,0.001,3881.318423461914,67,316420,316528,-33.292231210000004
0.7,4744,45.26,343.08289489746096,4888,0.001,3403.188430786133,66,316660,316767,-36.64760733
0.72,4768,43.08,343.2204254150391,4892,0.001,3990.6277877807615,66,316720,316837,-35.25952082
0.7,4844,45.13,347.4759155273438,4896,0.001,2649.911622619629,65,316960,317071,-37.766846310000005
0.7,4880,45.94,344.1676727294922,4900,0.001,2879.518086242676,64,317080,317191,-38.481164140000004
0.71,4895,43.72,345.8778533935547,4904,0.001,2992.7151641845703,64,317120,317231,-37.27789412999999
0.71,4916,43.56,343.97959594726564,4908,0.001,3891.049165344238,64,317160,317263,-37.17656218
0.7,4953,43.29,343.2109313964844,4912,0.001,4363.863342285156,64,317280,317398,-36.76930272
0.72,4970,40.77,346.1787628173828,4916,0.001,3541.3481201171876,63,317320,317433,-32.50868155
0.74,4991,39.01,340.4622283935547,4920,0.001,4965.282446289062,63,317380,317484,-27.55985219
0.74,5056,39.91,343.88816833496094,4924,0.001,3559.139305114746,62,317600,317708,-28.50771605
0.74,5099,39.97,344.15960693359375,4928,0.001,3231.395248413086,62,317740,317855,-29.150734779999993
0.74,5161,40.33,344.04058837890625,4932,0.001,3558.242779541016,61,317960,318076,-29.034301999999997
0.73,5196,40.76,341.4235809326172,4936,0.001,3827.94899597168,61,318100,318214,-26.922328909999997
0.75,5259,40.41,344.2364074707031,4940,0.001,3890.0419921875,60,318300,318402,-27.172217300000003
0.75,5312,41.35,345.9138610839844,4944,0.001,3550.5099075317385,59,318520,318635,-32.02447664
0.76,5339,40.69,343.6537780761719,4948,0.001,4907.89094696045,59,318640,318757,-33.45758625
0.77,5357,39.94,344.20908813476564,4952,0.001,4508.992506408691,59,318700,318811,-32.94943357
0.76,5390,40.53,343.2616424560547,4956,0.001,3674.203192138672,59,318820,318935,-37.93270834
0.76,5425,40.01,341.13307800292966,4960,0.001,3949.8967346191407,58,318940,319058,-40.985920289999996
0.77,5469,39.09,348.9303802490234,4964,0.001,2578.667834472656,58,319100,319218,-40.81583921
0.79,5490,37.14,345.4710296630859,4968,0.001,2538.839483642578,58,319160,319261,-39.80302265
0.81,5525,34.49,347.1994995117187,4972,0.001,3913.1135437011717,57,319280,319391,-37.621132450000005
0.8,5576,35.12,345.96935119628904,4976,0.001,3536.515623474121,57,319500,319607,-40.84285336
0.81,5613,34.5,343.5497589111328,4980,0.001,3596.751641845703,56,319660,319762,-43.96645896
0.81,5676,34.64,344.8602569580078,4984,0.001,2935.388961791992,56,319880,319992,-43.40702674999999
0.81,5745,35.03,344.13916931152346,4988,0.001,4962.025122070312,55,320160,320270,-40.67603052999999
0.79,5805,36.63,343.65159606933594,4992,0.001,3293.881425476074,55,320380,320500,-46.58060739999999
0.81,5830,34.81,344.52081298828125,4996,0.001,2652.692691040039,54,320440,320552,-44.15615324999999
0.81,5842,33.93,348.1879943847656,5000,0.001,3334.371257019043,54,320480,320584,-43.28279815
0.81,5878,34.45,342.8033142089844,5004,0.001,2907.7756759643553,54,320560,320676,-44.40920547
0.79,5951,37.1,350.15915832519534,5008,0.001,3418.8700759887697,53,320860,320973,-47.425492680000005
0.8,5968,36.19,345.9035369873047,5012,0.001,3391.798959350586,53,320900,321017,-47.122955460000014
0.79,6024,37.35,344.90838012695315,5016,0.001,4558.235455322266,53,321060,321168,-48.117125630000004
0.77,6077,39.31,344.10511474609376,5020,0.001,3435.6166961669924,52,321300,321415,-54.21224216
0.77,6127,38.59,349.07384338378904,5024,0.001,3955.579719543457,52,321460,321567,-53.13174261000001
0.77,6193,39.24,344.17425537109375,5028,0.001,2911.2366836547853,51,321660,321779,-55.23145522000001
0.78,6213,37.52,345.065478515625,5032,0.001,3224.586752319336,51,321720,321828,-53.39855127
0.77,6284,39.19,344.9645294189453,5036,0.001,3043.5259506225584,51,322020,322133,-60.53554674000001
0.76,6327,38.91,340.8559936523437,5040,0.001,3897.623515319824,50,322180,322293,-61.51715019
0.74,6416,39.67,343.08387451171876,5044,0.001,3778.052899169922,50,322500,322602,-58.85290388000001
0.72,6485,40.87,347.6390014648438,5048,0.001,3213.8906158447267,49,322740,322844,-65.89996319999999
0.71,6522,41.55,343.95400085449216,5052,0.001,4419.30802154541,49,322860,322966,-66.09453699999999
0.7,6603,43.34,347.2768035888672,5056,0.001,2592.5706634521484,48,323160,323269,-63.26043795
0.69,6660,44.49,339.7323272705078,5060,0.001,3747.23175201416,48,323400,323507,-64.3766113
0.7,6703,44.35,343.2068695068359,5064,0.001,3162.704983520508,48,323540,323653,-63.49231030999999
0.68,6762,46.13,348.35097351074216,5068,0.001,3234.2358322143555,47,323760,323874,-74.6639094
0.67,6817,47.04,344.25669250488284,5072,0.001,3355.7484909057616,47,323980,324095,-76.29154436
0.67,6901,47.09,348.28383178710936,5076,0.001,4783.27342376709,46,324200,324316,-77.78327514
0.68,6942,46.9,343.30918579101564,5080,0.001,5217.526361083985,46,324340,324452,-72.97359563000002
0.69,6993,46.27,344.92816467285155,5084,0.001,3719.152507019043,46,324500,324619,-76.55807329000001
0.68,7079,46.63,347.54872741699216,5088,0.001,3437.6420028686525,45,324820,324933,-77.07787812000001
0.7,7104,44.8,350.1573089599609,5092,0.001,2361.6666397094727,45,324860,324980,-70.45365282
0.69,7150,45.95,347.50038452148436,5096,0.001,2853.0449447631836,45,325040,325147,-73.14494334000001
0.68,7197,46.91,347.2825225830078,5100,0.001,3377.370977783203,45,325160,325275,-74.57246511
0.67,7248,47.4,347.48743896484376,5104,0.001,4307.17048034668,44,325300,325416,-78.57108394999999
0.69,7267,44.97,348.78094177246095,5108,0.001,2957.5585174560547,44,325360,325470,-75.78938801
0.69,7302,45.7,347.05609436035155,5112,0.001,2784.572073364258,44,325480,325587,-75.68911700999999
0.69,7358,45.99,348.16322937011716,5116,0.001,3909.4231964111327,44,325660,325767,-76.08941579999998
0.71,7381,44.39,345.2915313720703,5120,0.001,4421.995751953125,44,325740,325854,-71.43146551
0.7,7432,45.1,347.7940277099609,5124,0.001,3304.038328552246,43,325960,326077,-75.23953846999999
0.7,7472,44.18,350.8410583496094,5128,0.001,2900.2550666809084,43,326080,326197,-72.75796514000001
0.7,7485,44.09,347.92542419433596,5132,0.001,3706.728436279297,43,326120,326237,-72.5477221
0.71,7549,43.21,347.2022247314453,5136,0.001,3125.566441345215,43,326340,326454,-67.14911161
0.71,7612,43.97,348.9138214111328,5140,0.001,3286.5052177429197,42,326580,326690,-67.18877377999999
0.71,7693,44.0,352.45233459472655,5144,0.001,2913.9457122802733,42,326900,327002,-67.58454352
0.71,7773,43.77,342.90317687988284,5148,0.001,4196.603250122071,42,327120,327221,-62.91249925000001
0.71,7821,44.11,347.9876342773438,5152,0.001,2668.8738189697265,41,327260,327377,-63.554469880000006
0.72,7878,42.91,347.6058288574219,5156,0.001,3024.921466064453,41,327440,327560,-63.82089075000002
0.73,7928,42.09,348.2123077392578,5160,0.001,3678.930714416504,41,327600,327716,-60.74523977999999
0.71,7979,42.77,347.5314453125,5164,0.001,3949.286195373535,41,327820,327930,-64.13996557
0.7,8069,44.17,348.17494201660156,5168,0.001,3568.4207122802736,40,328180,328291,-58.55217264
0.72,8107,43.33,349.84035034179686,5172,0.001,4104.244342041015,40,328320,328428,-57.382652320000005
0.73,8146,42.43,348.35349731445314,5176,0.001,4105.536184692382,40,328440,328559,-53.8789614
0.72,8200,42.53,341.28562927246094,5180,0.001,4639.1256301879885,40,328600,328705,-54.07636411999999
0.72,8262,42.61,349.8497680664062,5184,0.001,4221.722988891602,39,328760,328880,-50.523978049999975
0.73,8332,42.21,348.8554260253906,5188,0.001,4272.959312438965,39,329040,329154,-52.636575439999994
0.72,8375,43.03,352.1403015136719,5192,0.001,4016.6781677246095,39,329180,329283,-53.06885635
0.72,8427,42.89,349.0586700439453,5196,0.001,4217.315328979492,39,329320,329436,-53.45060129999999
0.71,8495,44.25,348.1258850097656,5200,0.001,3850.9807312011717,38,329580,329700,-53.32116564
0.72,8526,43.3,351.6991851806641,5204,0.001,3216.632293701172,38,329640,329746,-48.31997593
0.7,8587,45.02,352.00758056640626,5208,0.001,2765.52236328125,38,329860,329972,-52.34034503
0.69,8617,45.09,351.1173065185547,5212,0.001,3451.425688171387,38,329980,330096,-54.134699250000004
0.7,8638,43.53,349.12901306152344,5216,0.001,3536.225942993164,38,330000,330120,-52.724101069999996
0.7,8663,43.2,348.70557861328126,5220,0.001,3815.376428222656,38,330060,330174,-51.59053128999999
0.71,8712,42.28,349.3997100830078,5224,0.001,3656.700221252441,37,330200,330305,-47.96375904000001
0.69,8792,44.14,350.230224609375,5228,0.001,3569.8404556274413,37,330500,330611,-49.17359797000001
0.69,8827,44.4,350.70103454589844,5232,0.001,3909.0892486572266,37,330560,330677,-49.47110258
0.69,8873,43.57,348.0440612792969,5236,0.001,3986.622398376465,37,330700,330811,-47.85527196000001
0.68,8943,43.37,347.2222930908203,5240,0.001,3769.109608459473,37,330920,331027,-45.708568289999995
0.7,8986,41.78,348.61016845703125,5244,0.001,4580.046398925781,36,331060,331180,-45.61023016000001
0.7,9075,41.82,347.7083709716797,5248,0.001,5197.678411865234,36,331300,331403,-45.15697015000001
0.71,9095,40.91,351.2843444824219,5252,0.001,3185.9435424804688,36,331360,331468,-44.065181460000005
0.7,9160,41.2,354.3305297851563,5256,0.001,3318.744680786133,36,331560,331680,-44.01713806
0.71,9200,40.75,349.9485107421875,5260,0.001,4939.934643554688,36,331680,331791,-41.68125941000001
0.73,9235,39.79,349.3209228515625,5264,0.001,4579.723788452148,35,331800,331909,-38.181790379999995
0.76,9257,36.42,349.7877655029297,5268,0.001,3675.927505493164,35,331820,331933,-32.377177599999996
0.75,9293,36.34,346.38909912109375,5272,0.001,5342.725500488281,35,331960,332062,-35.227076329999996
0.76,9345,35.99,350.1793548583984,5276,0.001,4548.715597534179,35,332040,332158,-33.69861967
0.75,9424,37.23,347.7630157470703,5280,0.001,4569.654461669922,35,332320,332428,-34.264926970000005
0.75,9480,37.0,352.8115570068359,5284,0.001,2765.67077331543,35,332460,332580,-34.07168317000001
0.76,9525,35.6,351.77806091308594,5288,0.001,4308.281530761718,34,332600,332714,-30.80235204000001
0.77,9579,34.69,352.0440277099609,5292,0.001,3873.5067001342773,34,332640,332752,-30.405644970000008
0.77,9616,34.78,355.98081665039064,5296,0.001,2930.8963150024415,34,332800,332914,-32.10225807
0.77,9690,34.48,346.22484130859374,5300,0.001,4500.235925292969,34,333040,333148,-32.379991360000005
