rollout/ep_len_mean,time/iterations,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/loss,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/entropy_loss,train/learning_rate,train/value_loss,train/explained_variance,train/std,train/clip_range,train/clip_fraction
99.14,1,100100,48,2060,-552.05579101,,,,,,,,,,,
98.5,2,100200,93,1074,-548.2529912599999,2934.5517578125,-0.014630806297100207,5000,0.078127794,-8.25813159942627,0.0003,5903.5978515625,0.00040477514266967773,0.958662748336792,0.2,0.5119999885559082
98.5,3,100300,140,713,-548.2147873,2886.974853515625,-0.011437615715840366,5005,0.07828246,-8.258850479125977,0.0003,5855.96728515625,0.03560549020767212,0.9587449431419373,0.2,0.3459999904036522
98.5,4,100400,192,521,-547.77358139,2498.353759765625,-0.005302091530029429,5010,0.047629613,-8.25896987915039,0.0003,5052.65029296875,0.0066738128662109375,0.9586755633354187,0.2,0.28599998727440834
98.5,5,100500,237,422,-547.67848583,2440.647705078125,0.001835125319485087,5015,0.1271662,-8.258126640319825,0.0003,4919.73525390625,-0.046201109886169434,0.9584416747093201,0.2,0.48599998354911805
98.5,6,100600,284,353,-547.84073874,2257.53564453125,-0.009793800026091048,5020,0.04893543,-8.256801795959472,0.0003,4544.652734375,0.2245020866394043,0.958380401134491,0.2,0.3259999960660934
98.5,7,100700,342,293,-548.0604772600001,2663.317138671875,-0.005791960897113313,5025,0.0800658,-8.256696128845215,0.0003,5359.27724609375,-0.16556823253631592,0.9583551287651062,0.2,0.3579999849200249
98.5,8,100800,391,257,-547.6572515600001,2259.909423828125,-0.00869152330706129,5030,0.04118369,-8.256434059143066,0.0003,4544.37958984375,-0.1092379093170166,0.9583421945571899,0.2,0.3299999892711639
98.5,9,100900,438,230,-547.35066603,2385.092529296875,-0.006825253991416957,5035,0.102729015,-8.256339645385742,0.0003,4811.5431640625,-0.05365562438964844,0.9582449793815613,0.2,0.41799999475479127
98.5,10,101000,492,205,-547.34476222,2474.99658203125,-0.0168793157190521,5040,0.08958425,-8.255686187744141,0.0003,4987.6970703125,0.010547101497650146,0.9581486582756042,0.2,0.421999990940094
98.5,11,101100,539,187,-546.9505250300001,2350.028564453125,-0.013587977997667621,5045,0.060116794,-8.2553466796875,0.0003,4714.46669921875,0.04497230052947998,0.9581713676452637,0.2,0.389999994635582
98.5,12,101200,587,172,-547.0301509,2675.52490234375,-0.006106185353564797,5050,0.027867569,-8.25548152923584,0.0003,5375.768359375,0.0005540251731872559,0.9581174850463867,0.2,0.16599999368190765
98.5,13,101300,644,157,-547.1253587799999,2294.76318359375,-0.010045372411696007,5055,0.057615142,-8.254472541809083,0.0003,4633.744140625,-0.008719325065612793,0.9577912092208862,0.2,0.317999991774559
