time/episodes,time/time_elapsed,rollout/success rate,rollout/ep_len_mean,time/fps,time/total timesteps,rollout/ep_rew_mean,train/n_updates,train/learning_rate,train/critic_loss,train/actor_loss
21,601,0.0,100.0,3,2100,-55455.254029,1980,0.001,127286.577734375,1630.1192260742187
22,620,0.0,100.0,3,2200,-53271.967495227276,2080,0.001,138456.116015625,1601.5699584960937
23,639,0.0,100.0,3,2300,-51528.489322,2180,0.001,100327.490234375,1550.0375854492188
24,648,0.041666666666666664,97.79166666666667,3,2347,-49447.35904633333,2240,0.001,123740.802734375,1518.1370239257812
25,683,0.04,97.88,3,2447,-47747.67926072,2340,0.001,110631.9130859375,1560.3698608398438
26,702,0.038461538461538464,97.96153846153847,3,2547,-46311.62900646154,2440,0.001,110575.879296875,1560.9760009765625
27,716,0.037037037037037035,98.03703703703704,3,2647,-44823.182084037035,2540,0.001,112814.99765625,1589.9296875
28,741,0.03571428571428571,98.10714285714286,3,2747,-45004.51685435714,2640,0.001,122701.6228515625,1625.5498413085938
29,760,0.034482758620689655,98.17241379310344,3,2847,-43693.15246786207,2740,0.001,109916.890625,1610.8316284179687
30,809,0.03333333333333333,98.23333333333333,3,2947,-43967.324061666666,2840,0.001,138492.366796875,1689.2782958984376
31,884,0.03225806451612903,98.29032258064517,3,3047,-42858.74757512904,2940,0.001,125560.0755859375,1772.43017578125
32,922,0.03125,98.34375,3,3147,-41870.45702784375,3040,0.001,112452.550390625,1807.6774291992188
33,956,0.030303030303030304,98.39393939393939,3,3247,-40877.546535515154,3140,0.001,173680.484375,1834.6074462890624
34,976,0.029411764705882353,98.44117647058823,3,3347,-39804.96955241176,3240,0.001,116125.5533203125,1861.9816284179688
35,995,0.02857142857142857,98.48571428571428,3,3447,-38925.66188357143,3340,0.001,156836.1916015625,1829.6622192382813
36,1043,0.027777777777777776,98.52777777777777,3,3547,-38039.459509472224,3440,0.001,144625.5375,1810.992431640625
37,1062,0.02702702702702703,98.56756756756756,3,3647,-37226.50246294595,3540,0.001,130306.0046875,1828.7763061523438
38,1081,0.02631578947368421,98.60526315789474,3,3747,-36526.40252342106,3640,0.001,139019.0333984375,1918.6684814453124
39,1096,0.02564102564102564,98.64102564102564,3,3847,-35838.07444946154,3740,0.001,136293.5609375,1882.4082397460938
40,1116,0.025,98.675,3,3947,-35183.507548625006,3840,0.001,173013.7728515625,1865.9466430664063
41,1144,0.024390243902439025,98.70731707317073,3,4047,-34620.82647736586,3940,0.001,140457.80234375,1894.4210327148437
42,1180,0.023809523809523808,98.73809523809524,3,4147,-34013.84441002381,4040,0.001,144777.3671875,1921.8745239257812
