train/actor_loss,rollout/success rate,time/total timesteps,train/critic_loss,time/time_elapsed,rollout/ep_rew_mean,train/n_updates,rollout/ep_len_mean,time/episodes,time/fps,train/learning_rate
11065.78115234375,0.28,104634,2962289.484375,1968,-5071.510110429999,104520,80.55,1231,53,0.001
11049.55908203125,0.28,104734,3548254.10546875,1997,-5136.6498496799995,104620,80.55,1232,52,0.001
11153.9517578125,0.27,104834,2578912.076953125,2022,-5200.533712029999,104720,81.52,1233,51,0.001
11128.42158203125,0.26,104934,3385505.1625,2060,-5294.11635452,104820,82.42,1234,50,0.001
11139.53935546875,0.26,105034,3261800.13671875,2090,-5282.3722124099995,104920,82.42,1235,50,0.001
11102.00048828125,0.26,105134,2985851.23671875,2114,-5255.16892436,105020,82.42,1236,49,0.001
11172.24814453125,0.26,105234,3481582.98359375,2169,-5250.83676149,105120,82.42,1237,48,0.001
11180.2033203125,0.27,105244,1973339.4171875,2184,-5191.38044444,105140,81.52,1238,48,0.001
11199.63779296875,0.27,105344,2215353.25234375,2241,-5136.0704992,105240,81.52,1239,47,0.001
11113.49453125,0.26,105444,4323890.01328125,2283,-5204.604216639999,105340,82.09,1240,46,0.001
11164.2763671875,0.26,105544,3548087.09296875,2307,-5189.32562468,105440,82.09,1241,45,0.001
11157.6921875,0.26,105644,2518379.06796875,2352,-5157.727214969999,105540,82.09,1242,44,0.001
11196.23525390625,0.27,105683,3011661.041796875,2363,-5094.280888769999,105580,81.48,1243,44,0.001
11235.9900390625,0.27,105727,2617956.05546875,2385,-5117.597677939999,105620,81.83,1244,44,0.001
11116.99873046875,0.27,105827,3693559.76015625,2445,-5100.80475141,105720,81.83,1245,43,0.001
11312.594921875,0.27,105927,2107458.11640625,2485,-5079.77958987,105820,81.83,1246,42,0.001
11212.75185546875,0.27,106027,3913583.596875,2517,-5081.067082789999,105920,81.83,1247,42,0.001
11131.08759765625,0.26,106127,3728303.15625,2584,-5187.1254218799995,106020,82.51,1248,41,0.001
11185.48076171875,0.25,106227,2878612.05234375,2616,-5215.974800009999,106120,83.29,1249,40,0.001
11271.66015625,0.24,106327,2212952.63203125,2661,-5265.4890827300005,106220,83.67,1250,39,0.001
11184.5177734375,0.24,106427,2878453.92109375,2680,-5294.45080327,106320,83.67,1251,39,0.001
11222.409765625,0.23,106527,3773061.203125,2700,-5379.61107855,106420,84.61,1252,39,0.001
11233.98740234375,0.23,106627,2311435.106640625,2720,-5450.3772131,106520,84.61,1253,39,0.001
11330.68603515625,0.23,106727,2262093.30078125,2772,-5460.630092009998,106620,84.61,1254,38,0.001
,0.24,106731,,2784,-5419.689485769999,,83.65,1255,38,
11239.58291015625,0.23,106831,2991678.0046875,2823,-5457.85438565,106720,84.57,1256,37,0.001
11203.15205078125,0.23,106845,3107427.11484375,2827,-5463.73422034,106740,84.67,1257,37,0.001
,0.24,106854,,2850,-5412.50779127,,83.76,1258,37,
11263.25888671875,0.23,106954,3171686.81171875,2909,-5441.855373169999,106840,83.99,1259,36,0.001
11239.562109375,0.24,107006,3342188.58359375,2929,-5395.058936879999,106900,83.51,1260,36,0.001
11162.19130859375,0.24,107106,3913425.47578125,2952,-5435.034879869999,107000,83.51,1261,36,0.001
11144.44990234375,0.24,107206,3112378.5203125,2976,-5431.38076968,107100,83.51,1262,36,0.001
11141.152734375,0.24,107306,3522293.45078125,3002,-5421.3046110899995,107200,83.51,1263,35,0.001
11293.73271484375,0.25,107324,2306310.75078125,3048,-5329.094696859999,107220,82.69,1264,35,0.001
11160.47705078125,0.25,107424,3261787.5828125,3098,-5371.796779759999,107320,82.69,1265,34,0.001
11202.83759765625,0.25,107524,3176898.48828125,3138,-5382.51938754,107420,82.69,1266,34,0.001
11224.2046875,0.25,107624,3244447.528125,3164,-5399.06473408,107520,82.69,1267,34,0.001
11204.5984375,0.25,107724,4282348.0890625,3196,-5327.42883846,107620,82.69,1268,33,0.001
11267.828125,0.25,107824,2504757.5,3228,-5342.568930309999,107720,82.69,1269,33,0.001
11290.863671875,0.24,107924,3443418.677734375,3254,-5368.530928699999,107820,83.24,1270,33,0.001
11298.9044921875,0.24,108024,2662912.9296875,3347,-5412.764080859999,107920,83.24,1271,32,0.001
,0.25,108035,,3356,-5377.115462649999,,82.35,1272,32,
