time/episodes,time/total timesteps,train/learning_rate,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/actor_loss,train/n_updates,rollout/success rate,train/critic_loss
2644,209014,0.001,78,2676,63.28,-63.77170886999999,295.3326873779297,208900,0.56,2290.410176849365
2648,209239,0.001,76,2736,63.1,-63.27562729999999,291.0079345703125,209120,0.56,2036.310006713867
2652,209569,0.001,74,2831,63.15,-65.7786228,296.0982635498047,209460,0.55,2295.5649551391602
2656,209889,0.001,71,2923,62.35,-62.96309103000001,296.2871887207031,209780,0.56,2818.801030731201
2660,210268,0.001,69,3034,62.85,-61.56858306,295.96583557128906,210160,0.56,1759.1946281433106
2664,210476,0.001,68,3091,62.58,-59.01980709999999,296.2570739746094,210360,0.56,2059.939002227783
2668,210638,0.001,67,3131,62.54,-58.29331095999999,297.7106109619141,210520,0.56,2354.6455909729
2672,211038,0.001,65,3227,65.65,-65.6329897,297.53517761230466,210920,0.52,2719.500721740723
2676,211330,0.001,64,3299,66.07,-68.08964972000001,296.3890777587891,211220,0.52,2568.2455741882322
2680,211505,0.001,63,3343,65.36,-63.68061577,299.6256988525391,211400,0.53,2221.803530883789
2684,211858,0.001,61,3448,65.68,-62.54327820000001,297.17392883300784,211740,0.53,2233.7686332702638
2688,212092,0.001,60,3507,66.7,-64.02189738000001,301.4911346435547,211980,0.51,2394.5968170166016
2692,212372,0.001,59,3581,67.17,-64.11838881,300.1521759033203,212260,0.51,2049.48800201416
2696,212564,0.001,58,3639,65.85,-63.18002134,295.6784271240234,212460,0.52,2667.1906883239744
2700,212742,0.001,57,3695,64.97,-61.396548440000004,300.75450439453124,212640,0.52,1683.9809127807616
2704,212970,0.001,56,3769,64.75,-61.33194852,300.9497131347656,212860,0.52,2395.969854736328
2708,213226,0.001,55,3821,64.03,-64.18747472,299.67169494628905,213120,0.53,2444.941251373291
2712,213312,0.001,55,3857,62.21,-62.51462253,297.6255310058594,213200,0.54,2292.9431274414064
