train/n_updates,train/actor_loss,train/critic_loss,time/fps,time/total timesteps,rollout/success rate,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,time/episodes
5017600,1882.6652612304688,5272.26587890625,194,5017715,0.59,10277.15,-178813.01978727,25747,0.001,749
5025000,1871.2372412109376,10132.088840332031,193,5025138,0.6,10251.38,-178680.98331321002,25935,0.001,750
5040000,1867.9658911132813,12881.16422241211,191,5040138,0.59,10371.61,-180566.65289381004,26313,0.001,751
5043100,1877.0981762695312,7727.157736816406,191,5043202,0.6,10252.25,-178160.69967468,26391,0.001,752
5045400,1873.2283251953124,7640.632666015625,190,5045562,0.6,10200.32,-177204.45429382997,26450,0.001,753
5050400,1888.8741186523437,6842.034868164063,190,5050554,0.6,10226.45,-177444.86368605998,26576,0.001,754
5051800,1857.1307250976563,7487.743565673828,189,5051969,0.6,10112.43,-175187.63192445997,26612,0.001,755
5066800,1851.8533422851563,12830.538571777344,187,5066969,0.59,10201.96,-176489.40598773,26993,0.001,756
5081000,1897.4364477539064,17633.68827270508,185,5081173,0.59,10206.3,-175958.11073349,27354,0.001,757
5093700,1909.0199438476564,12538.799512939453,184,5093865,0.59,10281.12,-177101.41918083,27676,0.001,758
5095500,1860.2636328125,10187.195943603516,183,5095666,0.6,10149.13,-175709.58854022998,27722,0.001,759
5110500,1880.3607446289063,10541.007443847657,181,5110666,0.6,10149.13,-176950.28285018998,28101,0.001,760
5121800,1855.7990014648437,6387.224571533203,180,5121926,0.61,10111.73,-176667.59028304997,28387,0.001,761
5136800,1916.4617065429688,7280.5026025390625,178,5136926,0.6,10129.54,-177517.39600206996,28769,0.001,762
5151800,1885.983603515625,14739.007927246093,176,5151926,0.6,10129.54,-178202.45013204997,29153,0.001,763
5166800,1881.6602856445313,15632.704425048829,174,5166926,0.6,10129.54,-178285.76622244998,29543,0.001,764
5181800,1889.3403735351562,7873.3191796875,173,5181926,0.6,10129.54,-178447.7233577,29935,0.001,765
5196800,1903.2876318359374,7018.038900146485,171,5196926,0.6,10129.54,-178504.89827379,30316,0.001,766
5211800,1906.892041015625,8633.754812011719,169,5211926,0.59,10189.76,-179567.23348989,30695,0.001,767
5226800,1846.9909106445311,7771.69796875,168,5226926,0.58,10218.53,-179878.81313373998,31074,0.001,768
5241800,1864.1010986328124,6403.589764404297,166,5241926,0.57,10273.82,-180701.17164071,31454,0.001,769
5250200,1874.0734204101564,6341.8507788085935,165,5250365,0.58,10208.21,-179464.54343371995,31669,0.001,770
5261700,1768.2852734375,6653.684056396484,164,5261818,0.58,10245.61,-180176.91302828997,31960,0.001,771
5266800,1784.0888256835938,8684.161387939454,164,5266944,0.58,10184.74,-179730.13902819,32090,0.001,772
5281800,1775.4124536132813,4216.96423828125,162,5281944,0.58,10184.74,-165570.31358426,32469,0.001,773
5296800,1796.6125390625,6556.154011230468,161,5296944,0.57,10184.84,-165468.69601227998,32849,0.001,774
5301200,1805.7313525390625,8619.27890991211,160,5301308,0.57,10208.01,-167161.59477768998,32959,0.001,775
5316200,1812.7215942382813,7398.359116210938,159,5316308,0.56,10343.46,-168714.64832227997,33341,0.001,776
5331200,1774.55978515625,5134.277186279297,158,5331308,0.56,10343.46,-167708.47805672,33720,0.001,777
5346200,1743.9113305664061,9993.566037597657,156,5346308,0.56,10343.46,-167824.75075659997,34101,0.001,778
5361200,1715.9703930664064,8979.734445800781,155,5361308,0.55,10418.17,-168720.7915529,34480,0.001,779
5376200,1718.8383813476562,7585.331755371094,154,5376308,0.55,10418.17,-169078.10196973,34859,0.001,780
5391200,1722.9480810546875,6057.846870117188,152,5391308,0.55,10418.17,-164021.50814901,35239,0.001,781
5396300,1697.7112451171874,12083.647331542968,152,5396426,0.56,10319.35,-163351.09655244,35368,0.001,782
5410100,1692.9743676757812,4301.54603515625,151,5410255,0.57,10307.64,-163333.15800867,35718,0.001,783
5420900,1678.3427661132812,5572.673637695312,150,5421043,0.58,10265.52,-163204.70649554,35992,0.001,784
5435900,1690.8321240234375,7087.739869384765,149,5436043,0.57,10370.96,-164762.87238217,36374,0.001,785
5445000,1693.117021484375,10441.012771606445,148,5445132,0.57,10315.36,-164387.87580565,36604,0.001,786
5448000,1685.8800659179688,6119.382403564453,148,5448184,0.57,10213.52,-154595.51153921997,36682,0.001,787
5453900,1689.9656884765625,5267.215031738281,148,5454065,0.57,10226.7,-154833.07933247997,36831,0.001,788
5460600,1685.6782373046874,11432.515834960937,147,5460775,0.58,10143.8,-157066.07145432997,37002,0.001,789
5475600,1701.4467333984376,6295.737990112305,146,5475775,0.58,10143.8,-157100.94693063,37380,0.001,790
5489200,1704.9390869140625,7307.524029541016,145,5489363,0.59,10129.68,-156718.59261558997,37726,0.001,791
