train/critic_loss,time/fps,rollout/ep_len_mean,time/total timesteps,train/n_updates,train/actor_loss,rollout/ep_rew_mean,train/learning_rate,time/time_elapsed,time/episodes,rollout/success rate
344.2332628250122,2084,100.0,200400,200280,144.29554595947266,-120.44204285999996,0.001,96,2004,0.0
503.57535285949706,1164,100.0,200800,200680,144.17854766845704,-121.09433560999997,0.001,172,2008,0.0
363.7256996154785,684,100.0,201200,201080,144.20192108154296,-120.91511225999999,0.001,294,2012,0.0
393.60806827545167,492,100.0,201600,201480,144.1167236328125,-119.8467734,0.001,409,2016,0.0
290.963698387146,389,100.0,202000,201880,144.63461456298828,-120.74010198000002,0.001,519,2020,0.0
395.6143557548523,325,100.0,202400,202280,144.74063720703126,-119.92192225000001,0.001,622,2024,0.0
567.8576768875122,282,100.0,202800,202680,143.43460693359376,-118.48571915000001,0.001,718,2028,0.0
318.3979496002197,241,100.0,203200,203080,143.8759506225586,-117.50032566,0.001,839,2032,0.0
363.08857650756835,218,100.0,203600,203480,144.71758728027345,-117.57805771999998,0.001,933,2036,0.0
389.1391180038452,193,100.0,204000,203880,143.00904541015626,-117.64844789,0.001,1052,2040,0.0
401.0522804260254,181,100.0,204400,204280,144.02699279785156,-118.20135225999998,0.001,1126,2044,0.0
477.2612937927246,167,100.0,204800,204680,144.00730895996094,-119.51457559999999,0.001,1221,2048,0.0
410.3040969848633,154,100.0,205200,205080,143.47242431640626,-120.513619,0.001,1326,2052,0.0
382.509299659729,145,100.0,205600,205480,143.42162628173827,-121.45720533,0.001,1414,2056,0.0
425.64490337371825,134,100.0,206000,205880,144.0945831298828,-122.03576502000001,0.001,1525,2060,0.0
370.3127685546875,126,100.0,206400,206280,143.20353240966796,-121.95178892999998,0.001,1636,2064,0.0
404.0969596862793,118,100.0,206800,206680,143.24488983154296,-122.22709087999999,0.001,1740,2068,0.0
391.7442041397095,112,100.0,207200,207080,143.90395812988282,-122.39015961,0.001,1849,2072,0.0
390.3094180107117,106,100.0,207600,207480,142.49761810302735,-123.74020336,0.001,1953,2076,0.0
476.5302173614502,100,100.0,208000,207880,142.4249282836914,-123.25590482,0.001,2077,2080,0.0
437.84609060287477,95,100.0,208400,208280,143.4245574951172,-122.53966854999997,0.001,2184,2084,0.0
264.77523880004884,90,100.0,208800,208680,142.5331588745117,-121.97942993999999,0.001,2297,2088,0.0
511.87304134368895,86,100.0,209200,209080,142.30087585449218,-122.78426499000001,0.001,2410,2092,0.0
370.9906847000122,83,100.0,209600,209480,143.62966766357422,-123.38548348000002,0.001,2523,2096,0.0
462.3306070327759,80,100.0,210000,209880,144.17863006591796,-124.63644230999998,0.001,2615,2100,0.0
489.3194885253906,76,100.0,210400,210280,142.95652770996094,-122.98903474000001,0.001,2753,2104,0.0
375.2108684539795,74,100.0,210800,210680,142.75284118652343,-122.73370653,0.001,2847,2108,0.0
509.03471927642823,71,100.0,211200,211080,143.38043670654298,-122.55036468999998,0.001,2959,2112,0.0
385.9420328140259,69,100.0,211600,211480,143.7012161254883,-123.91697752,0.001,3055,2116,0.0
545.2433700561523,66,100.0,212000,211880,142.07874298095703,-123.88538536,0.001,3168,2120,0.0
483.08428087234495,64,100.0,212400,212280,143.33226318359374,-124.60008917,0.001,3276,2124,0.0
521.3460598945618,63,100.0,212800,212680,142.70019989013673,-126.49209248999996,0.001,3359,2128,0.0
341.05690612792966,61,100.0,213200,213080,143.66118774414062,-126.89150464999997,0.001,3480,2132,0.0
400.0272552490234,59,100.0,213600,213480,143.5998306274414,-126.50404057,0.001,3589,2136,0.0
517.6965806961059,57,100.0,214000,213880,143.1478500366211,-127.57927536,0.001,3696,2140,0.0
391.09033155441284,56,100.0,214400,214280,145.7172821044922,-127.11594996,0.001,3788,2144,0.0
308.7715633392334,54,100.0,214800,214680,145.0687728881836,-125.17503291999998,0.001,3906,2148,0.0
426.4789920806885,53,100.0,215200,215080,143.2867004394531,-124.95325221999998,0.001,3987,2152,0.0
439.1114105224609,52,100.0,215600,215480,142.27380828857423,-124.08977130000001,0.001,4072,2156,0.0
485.1123050689697,51,100.0,216000,215880,142.8530014038086,-123.40546714,0.001,4176,2160,0.0
424.5620030403137,50,100.0,216400,216280,142.2898956298828,-124.2635463,0.001,4285,2164,0.0
409.4681548118591,49,100.0,216800,216680,143.1017593383789,-124.65799329000001,0.001,4378,2168,0.0
518.1360330581665,48,100.0,217200,217080,142.3526123046875,-125.58700251,0.001,4465,2172,0.0
451.79304027557373,47,100.0,217600,217480,142.53921508789062,-124.20913932000002,0.001,4566,2176,0.0
377.428937625885,46,100.0,218000,217880,144.35812530517578,-124.31996176000001,0.001,4657,2180,0.0
288.6324768066406,45,100.0,218400,218280,143.4477081298828,-125.82113547,0.001,4763,2184,0.0
321.13580951690676,44,100.0,218800,218680,143.8599594116211,-125.918519,0.001,4862,2188,0.0
354.75387172698976,44,100.0,219200,219080,143.41981048583983,-126.45986308000002,0.001,4955,2192,0.0
324.33196182250975,43,100.0,219600,219480,143.09135894775392,-127.37968818000002,0.001,5051,2196,0.0
311.61160192489626,42,100.0,220000,219880,143.18577423095704,-127.65832984999997,0.001,5147,2200,0.0
353.84922752380373,42,100.0,220400,220280,143.04436340332032,-129.89099387,0.001,5237,2204,0.0
391.1964036941528,41,100.0,220800,220680,143.35445861816407,-129.70226802,0.001,5333,2208,0.0
508.46844959259033,40,100.0,221200,221080,141.38558502197264,-130.51110151999998,0.001,5437,2212,0.0
338.0585410118103,39,100.0,221600,221480,142.38864135742188,-130.03075531000002,0.001,5543,2216,0.0
